List of importing markets for a product exported by Afghanistan (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	71,046	71,593	187,399	205,917	263,815	252,369	351,259	507,935	1,280,309	590,259	493,648	457,681	705,276	
Albania	0	0	0	0	0	0	0	0	1	2	0	3	5	
Algeria	52	2,295	8	10	46	11	76	51	1,204	103	0	1	0	
Andorra	8	13	0	0										
Anguilla	1	0	0											
Antigua and Barbuda					12		0		1	0	1	5	0	
Argentina	1	0	137	2	0	61	266	7	0	0	8	19	441	
Armenia	0	0	0	0	0	0	0	0	3	18	3	2	6	
Australia	18	99	96	150	159	372	92	353	151	146	755	1,719	1,026	
Austria	259	148	399	218	52	185	253	67	24	117	124	56	57	
Azerbaijan	2	0	1	2	1	2	4	54	23	11	27	0		
Bahamas	0	0	0	0	0	0	0	0	0	0	0	0		
Bahrain	49	76	38	150	68	177	241	293	70	75	101			
Bangladesh	0	3,236	7,899	8,675	6,765	11,703	13,267							
Barbados	0	1	1	1	1	0	0	0	3	56	19	26	35	
Belarus	296	385	629	448	131	1,435	1,312	2,923	1,711	1,954	2,845	1,486	1,173	
Belgium	4,856	4,721	7,108	7,328	7,334	4,145	4,354	6,783	2,572	1,914	1,494	2,457	1,384	
Belize	1	0	0	0	138	0	0	10	0	0	0	0	0	
Benin	0	238	93	0	0	95	3	12	35	38	15	141	71	
Bermuda												4	13	
Bolivia	0	1	0	1	0	29	4	0	9	2	2	3		
Bosnia and Herzegovina			0	3	2	5	3	61	5	9	23	95	60	
Botswana	0	0	0	5	13	0	0	0	0	0	0	0	0	
Brazil	1,490	934	216	327	321	293	580	169	98	36	692	122	243	
Brunei Darussalam	47	25	54	25		18				2	9	2	9	
Bulgaria	6	1	43	47	4	19	8	189	0	6	14,950	3	4	
Burkina Faso	3	1	0	0	24		15	0	1	9	26	5		
Burundi	1	0	0	0	0	4	0	0	0	0	0	1	0	
Cabo Verde	0	0	0	0	0	0	11		0	0	0	0	0	
Cambodia	42	0	0	36	1	3	61	38	4	0	125	2		
Cameroon	0	0	19	94	2	0	2	41	1	0	0	5		
Canada	265	232	443	288	381	697	704	1,152	1,276	1,704	1,606	2,042	1,964	
Chile	26	136	35	0	8	25	40	40	1	9	24	52	167	
China	162	80	612	947	1,512	186	2,376	2,693	1,376	3,680	4,403	5,187	9,567	
Colombia	307	1,039	191	341	19	441	86	216	83	129	137	303	163	
Comoros	0	0	0	0	0	0	0	24	0					
Congo							0	1	0	0	0	0	20	
Costa Rica	53	388	137	91	44	67	127	6	2	40	36	18	25	
Côte d'Ivoire	0	0	0	0	0	84	2	1	18	11	0	11		
Croatia	19	60	254	388	10	46	229	198	83	130	100	130	11	
Cuba	50	30	109	51	56	51								
Cyprus	49	26	59	0	62	22	34	26	0	0	0	9	0	
Czech Republic	126	35	133	1,310	489	1,122	588	474	375	628	811	218	87	
Denmark	2,273	1,073	1,920	2,884	3,345	6,279	463	3,016	51	5,126	258	174	697	
Dominica	1	6	19	49	17	2	0	0	0	0	0	11		
Dominican Republic	0	513	599	44	234	1,789	643	5,724	736	421	91	261	163	
Ecuador	589	177	117	94	4	3	0	13	0	0	0	6	18	
Egypt	1,238	1,689	216	236	3,070	2,131	2,586	686	779	726	535	343	1,043	
El Salvador	153	0	0	0	125	390	10	6	10	1	0	706	42	
Estonia	10	0	15	19	25	0	16	9	0	0	27	12	0	
Ethiopia	89	49	80	38	0	13	41	1	5	9	4	3		
Faroe Islands	0	1	1	1	1	0	0	3	0					
Fiji		5	0	17	3	5	106	14	0	0	0	0		
Finland	7,145	6,887	5,844	5,615	10,709	14,145	11,137	20,940	5,204	7,686	9,949	12,771	16,924	
France	967	1,291	2,050	1,434	753	1,091	2,506	1,930	3,331	1,980	4,973	4,960	8,347	
French Polynesia	1	1	0	3	1	0	0	8	0	1	1	0	4	
Gabon	0	0	80	84	366	17	11	36	2					
Gambia	0	4	0	0	3	0	0	19	0	0	21			
Georgia	2	0	0	0	3	58	10	6	11	7	27	28	1,036	
Germany	7,287	5,475	5,030	11,294	4,055	4,678	6,954	4,021	7,389	31,357	15,172	19,604	16,559	
Ghana	11		2		1	16	0	2	0	0	6	0		
Greece	17	30	633	12	498	1,714	15	109	35	24	153	24	16	
