List of importing markets for a product exported by Andorra Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	
World	52,421	63,752	90,156	123,210	
Afghanistan	0	0	0	0	
Africa not elsewhere specified	28	6	4	2	
Albania	0	0	0	0	
Algeria	16	6	23	158	
Angola	0	0	13	0	
Area Nes	254	0	0	0	
Argentina	337	8	69	17	
Armenia	0	12	21	17	
Australia	0	0	11	0	
Austria	9	74	52	22	
Azerbaijan	0	0	0	0	
Bahamas	0	5	0	0	
Bahrain	0	15	10	0	
Bangladesh	0	0	0	0	
Barbados	0	0	0	0	
Belarus	38	101	64	0	
Belgium	17	80	2,754	2,518	
Bolivia	0	0	0	0	
Bosnia and Herzegovina	0	0	0	0	
Brazil	0	0	0	0	
Brunei Darussalam	0	0	0	0	
Bulgaria	19	8	9	20	
Burkina Faso	0	0	0	0	
Cambodia	0	0	0	0	
Cameroon	0	0	0	0	
Canada	1	0	16	0	
Central African Republic	0	0	0	0	
Chad	0	0	20	0	
Chile	55	63	23	20	
China	0	0	0	0	
Colombia	0	1	0	0	
Costa Rica	0	0	15	36	
Croatia	5	55	32	2	
Cuba	0	6	0	0	
Cyprus	63	181	7	2	
Czech Republic	0	2	0	0	
Democratic Republic of the Congo	0	0	0	0	
Denmark	12	19	12	10	
Dominica	0	0	0	0	
Dominican Republic	0	1	3	0	
Ecuador	2	6	0	26	
Egypt	0	0	0	0	
El Salvador	0	0	0	0	
Equatorial Guinea	12	0	0	0	
Estonia	0	0	0	0	
Ethiopia	0	0	0	0	
Falkland Islands (Malvinas)	0	0	0	0	
Fiji	0	0	0	0	
Finland	0	3	134	90	
France	13,644	18,611	17,181	29,197	
French Polynesia	0	0	6	0	
French South Antarctic Territories	0	0	0	0	
Gabon	0	0	0	0	
Georgia	0	24	43	25	
Germany	4,325	5,987	11,053	18,131	
Ghana	0	0	0	0	
Gibraltar	0	0	0	0	
Greece	21	132	274	447	
Greenland	0	0	0	0	
Grenada	0	0	1	0	
Guatemala	8	1	28	17	
Guinea	2	0	0	0	
Guyana	10	0	18	8	
Haiti	0	0	0	0	
Honduras	0	2	0	0	
Hong Kong, China	980	160	222	370	
Hungary	0	0	0	0	
Iceland	0	0	0	9	
India	36	16	27	48	
Indonesia	0	0	0	0	
Iran (Islamic Republic of)	0	0	0	0	
Ireland	0	0	3	0	
Israel	0	68	9	1	
Italy	180	392	734	489	
Jamaica	0	0	0	0	
Japan	117	96	141	0	
Jordan	0	15	8	16	
Kazakhstan	3	0	0	0	
Kenya	0	0	0	0	
Korea, Democratic People's Republic of	0	0	0	0	
Korea, Republic of	0	1	0	38	
Kuwait	0	0	0	0	
Kyrgyzstan	0	0	0	0	
Lao People's Democratic Republic	0	0	0	0	
Latvia	13	120	153	126	
Lebanon	28	56	21	38	
Lithuania	2,331	50	18	0	
Luxembourg	0	37	7	0	
Macao, China	0	0	0	0	
Macedonia, The Former Yugoslav Republic of	0	0	0	0	
Madagascar	0	0	0	0	
Malaysia	361	0	0	0	
Mali	0	0	0	0	
Malta	0	0	0	0	
Mauritania	0	0	12	1	
Mauritius	0	0	0	0	
Mayotte	0	0	0	0	
Mexico	2	2	21	5	
Morocco	10	0	31	4	
Mozambique	0	0	0	0	
Myanmar	0	0	0	0	
Namibia	0	0	0	0	
Nauru	0	0	0	0	
Nepal	0	0	0	0	
Netherland Antilles	0	0	0	0	
Netherlands	152	351	527	672	
New Caledonia	7	1	23	0	
New Zealand	0	0	0	2	
Nicaragua	0	0	0	0	
Niger	0	0	0	0	
Nigeria	10	5	5	110	
Northern Mariana Islands	0	0	0	0	
Norway	490	786	801	898	
Oman	0	7	0	0	
Pakistan	0	3	7	0	
Panama	0	0	0	0	
Peru	0	0	0	0	
Philippines	0	0	1	1	
Poland	17	6	40	7	
Portugal	168	234	2,792	3,486	
Qatar	0	0	0	0	
Republic of Moldova	0	0	0	0	
Romania	1	21	2	119	
Russian Federation	206	206	259	359	
Rwanda	3	0	0	0	
Saint Kitts and Nevis	0	0	0	5	
Saint Vincent and the Grenadines	0	0	0	0	
Sao Tome and Principe	0	0	0	0	
Saudi Arabia	0	0	0	3	
Senegal	8	18	0	0	
Serbia and Montenegro	0	66	66	79	
Seychelles	0	0	0	0	
Sierra Leone	0	10	0	0	
Singapore	0	0	3	0	
Slovakia	0	15	49	38	
Slovenia	0	0	0	0	
South Africa	0	0	11	3	
Spain	26,920	34,123	50,548	63,976	
Sri Lanka	0	0	0	9	
Sudan (North + South)	0	1	0	0	
Swaziland	0	0	0	0	
Sweden	177	172	371	525	
Switzerland	740	252	139	383	
Syrian Arab Republic	0	0	0	0	
Taipei, Chinese	0	9	0	0	
Tajikistan	0	0	0	0	
Tanzania, United Republic of	0	0	0	0	
Thailand	0	0	0	0	
Togo	0	0	0	0	
Tokelau	0	0	0	0	
Tunisia	5	0	53	0	
Turkey	2	0	0	0	
Uganda	3	0	4	0	
Ukraine	0	0	0	0	
United Arab Emirates	106	338	382	36	
United Kingdom	115	76	320	215	
United States Minor Outlying Islands	0	0	0	0	
United States of America	249	568	404	346	
Uruguay	105	60	47	16	
Uzbekistan	0	0	0	5	
Venezuela	1	2	0	6	
Viet Nam	0	0	0	0	
Yemen	0	0	0	0	
