List of importing markets for a product exported by Angola (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	6,747,580	7,941,646	9,318,801	12,768,618	22,086,059	31,982,862	41,694,931	67,747,255	40,176,489	53,442,013	66,230,897	74,658,798	70,980,070	
Albania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Algeria	14	215	28	32	37	172	112	177	46	3,845	41	121	183	
Andorra	0	0	0	0										
Argentina	0	0	0	0	0	15	3	9	0	4	18	6	13	
Armenia	0	0	0	0	0	0	0	9	0	0	0	0	0	
Australia	6	47	32	3	36	40	33	139	22	87	2,370	32	32,726	
Austria	5	2,395	4	24	60	29	82	312	15	28	68	4	6	
Azerbaijan	0	70	0	3	5	22	34	279	3	6	4	0		
Bahamas	0	0	0	0	0	0	0	0	0	0	0	0		
Bahrain	0	0	0	0	0	0	0	0	0	0	0			
Bangladesh	482	548	0	0	0	44	1							
Barbados	0	0	0	0	0	0	0	51	0	0	0	0	0	
Belarus	0	137	0	0	0	1	0	0	1	0	0	0	0	
Belgium	557,867	496,271	258,105	118,706	520,732	361,139	285,131	194,716	249,867	93,505	247,876	595,917	583,483	
Belize	0	0	0	0	0	0	0	898	0	0	0	0	0	
Benin	327	0	171	2	0	2	13	243	73	6	21	833	1,690	
Bolivia	0	0	0	0	15	0	0	0	9	9	5	2		
Bosnia and Herzegovina			0	0	0	11	3	0	0	0	0	0	0	
Botswana	97	0	34	12	3	26	300	713	478	155	56	0	26	
Brazil	174,837	11,629	7,552	3,581	120	464,424	944,790	2,240,264	137,760	500,753	438,079	45,922	726,836	
Brunei Darussalam	0	1	0	3		0				0	0	0	0	
Bulgaria	7	7	0	0	0	2	12	4	0	0	2	0	0	
Burkina Faso	235	0	0	12	0		0	1,000	106	0	2,133	2,371		
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cabo Verde	435	729	0	0	0	34	0		17	8	36	159	773	
Cambodia	0	0	0	28	201	0	1	0	0	0	8	0		
Cameroon	1,546	288	1,095	12	1	1	277	1,368	16	1	742	2,369		
Canada	25,757	26	34	38	274,661	534,404	1,117,814	2,607,325	1,207,222	1,575,914	2,469,609	1,930,849	1,507,323	
Central African Republic	0	0	0			0	0	0	0	1	0	16	0	
Chile	0	0	64,496	430,833	1,197,146	1,317,206	962,542	1,671,248	42,463	164	345	0	9	
China	721,828	1,087,049	2,205,935	4,717,339	6,581,829	10,933,295	12,888,665	22,382,524	14,675,831	22,815,049	24,922,180	33,561,897	31,955,188	
Colombia	5	13	23	52	0	33,528	12	24	166	37	58	66	0	
Congo							867,157	266,834	680,518	656,840	967,459	1,902,135	1,266,588	
Costa Rica	6	0	2	2	54	40	26	6	11	1	0	7,825	6	
Côte d'Ivoire	68	588	57	406	518	155	10	1,506	0	19	3,851	6,965		
Croatia	10	2	2	4	2	18	16	12	15	14	4	32	0	
Cuba	0	0	1	0	0	9								
Cyprus	0	0	2	0	0	0	0	0	0	4	220	0	0	
Czech Republic	0	0	4	2	28	24	291	3	12	1,630	64	159	30	
Denmark	205	29	515	1,322	14	526	1,529	20	79	148	67	88,758	152	
Dominica	0	0	0	10	0	0	0	0	0	0	0	0		
Dominican Republic	0	1	0	0	0	0	2	21	91	1,390	10	10,166	74	
Ecuador	0	80	120	0	25,814	42,782	122,293	127,330	51,154	41	38,820	27	4	
Egypt	4	8	276	1,345	0	49	83	27	52	0	9	2	499	
El Salvador	68	0	0	26	0	0	0	19,806	0	17	0	2	0	
Estonia	1	1	0	0	0	2	6	0	0	0	0	0	0	
Ethiopia	17	35	27	0	14	0	0	11	0	1	7	1		
Faroe Islands	0	0	0	0	0	0	0	10	26					
Fiji		0	4	0	0	0	0	0	0	0	0	0		
Finland	0	11	0	0	11	13	6	1	2	0	3	1	91	
France	657,618	635,741	693,959	815,351	1,749,101	1,553,209	2,370,503	4,010,271	3,270,520	2,126,303	1,825,619	1,199,927	1,226,087	
Gabon	0	0	89	796	559	673	1,176	3,173	2,519					
Gambia	3	0	81	0	15	3	2	24	16	0	0			
Georgia	0	27	0	0	0	0	0	0	0	0	0	0	0	
Germany	54,119	211,271	59,671	4,056	76,656	75,943	196,009	701,305	343,447	301,672	1,229,730	341,171	624,144	
Ghana	213		802		5	104	17	3	492	2,132	9,366	1,200		
Greece	0	2	0	0	0	0	0	0	0	1,941	1,930	0	4	
Greenland	0	0	0	0	0	0	0	0	0	0	1	0	0	
Guatemala	4	0	3	0	3	0	12	10,837	25	0	7	0	3	
Guinea	223	11		2	0	18	0	261		9,390	3,430	889		
Guyana	0	25	0	0	0	0	0	0	0	0	0	0	0	
Honduras	0	47	111	1,665	1,457	17	2,340	6,925	911	317	0	0	7	
Hong Kong, China	351	156	522	452	87,884	150,229	49,820	121,658	133,601	1,151	4,478	106,797		
Hungary	2	87	9	0	1	0	0	0	57	0	0	9	0	
Iceland	0	0	0	0	0	0	0	0	0	0	0	16,827	0	
India	11	7,162	0	661	2,830	183,067	920,236	1,289,285	3,394,217	4,838,457	6,005,485	8,020,442	6,798,300	
Indonesia	49	2	94,802	332,731	1,143	408	1,062	949	2,276	3,381	119,746	503,459	212,725	
Iran (Islamic Republic of)	0	0	0	0	0	0				0	0			
Ireland	13	56	25	14	19	40	25	32	16	25	13	160,662	165,960	
Israel	5	213	106	158	172	228	896	91	90	6,001	814	36	116	
Italy	55,626	289,331	202,682	35,356	83,737	51,661	195,529	453,740	35,097	353,332	2,071,749	879,814	732,557	
Japan	23,153	394,440	83,658	8,672	18,153	696,922	190,437	25,540	24,113	89,388	26,856	383,474	385,639	
Jordan	0	0	0	0		0	0	0	0	0	0	0	0	
Kazakhstan	0	13	0	0	3	23	46	16	18	108	0	0	0	
Kenya	73	317	9	80	135	1,240	12	4	88	16	45			
Korea, Republic of	219,709	177,717	267,634	137,398	681	218,671	342,585	743	118,155	114,383	2,529	139,542	136,179	
Kuwait	0	0	0	5		1	0	56,243						
Latvia	0	0	0	0	0	0	2	0	0	0	0	0	0	
Lebanon	0	5	31	6	13	49	459	241	0	6	0	0	0	
Lithuania	0	0	0	0	0	0	0	0	0	0	30,415	0	0	
Luxembourg	6	7	17	2	0	0	0	0	15	0	0	0	1	
Macao, China	0	0	0	0	0	0	0	22	29	1		388		
Macedonia, The Former Yugoslav Republic of	20	0	0	2	0	0	0		0	0	0	0	0	
Madagascar	11	0	0	18	0	0	1	0	1	4	42	4,619	3,381	
Malawi	0	0	0	0	5	0	0	5	0	3	52	1	5	
Malaysia	1	4	8	2	5	14	11	1,537	1,616	4,927	2,416	1,191	50,195	
Mali	0	0	11	2	0	0	0	0		0	0	112		
Malta	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mauritania	0	0	80	833	69		19	0	0	16	11	0		
Mauritius	0	0	0	0	0	0	0	12	18	1,977	5	70	6	
Mayotte	9	0	0	0	0	0	3	0	0					
Mexico	3,399	1	50	153	142	152	53,321	59,247	251	36	68,953	85	12	
Mongolia	0		0	0	0	0	0						0	
Montenegro						0	3	0	0	0	0	3	0	
Morocco	0	79	19	100	317	211	15,079	279	0	0	0	8,876	7,935	
Mozambique	69	2	118	95	18	32	155	2,988	92	231	12,598	3,489	3,367	
Namibia	1,382	5,551	4,511	3,834	3,546	1,320	2,239	4,745	12,048	6,184	9,274	3,842	3,777	
Nepal			0						0	8	0			
Netherland Antilles					2	22	0	13						
Netherlands	100,953	28,001	21,261	3,884	76,870	61,031	754,859	1,857,436	998,838	780,296	1,133,955	946,932	1,700,913	
New Caledonia	0	0	1	0	0	0	0	0	14	145	0	0	0	
New Zealand	0	8	6	14	1	3	1	0	2	0	2	2	31	
Nicaragua	0	0	0	0	0	0	0	3,416	0	0	0	0	0	
Niger	0	0	0	95	0	0	0	152	0	0	133	49	112	
Nigeria	831	5,981	2,428			297	64,747	17,423	257,582	228,356	57,701	52,956		
Norway	47	62	198	456	4,563	6,667	2,516	163,519	65,442	2,584	3,092	11,223	13,200	
Oman	2	12	1,986	0	0	0	0	0	0	0	0	0	0	
