List of importing markets for a product exported by Antigua and Barbuda (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	215,858	245,054	410,678	183,215	306,411	361,045	193,475	357,983	1,589,577	2,655,411	4,836,843	616,321	246,341	
Albania	0	0	63	0	0	28	113	496	59	5	14	23	10	
Algeria	9	0	212	3,917	1	5	0	2	1	11	55	6	11,611	
Anguilla	217	109	296											
Argentina	0	0	0	0	0	0	0	0	0	0	0	0	0	
Aruba					69				0	0	0	0		
Australia	1	1	1	4	12	92	244	751	230	228	569	414	13	
Austria	275	81	111	10	13	55	279	230	1	12	12	20	6	
Bahamas	124	42	35	69	216	2,583	58	125	196	408	1,232	7,111		
Bahrain	0	0	0	0	0	0	0	0	0	0	5			
Bangladesh	38	1	185	26	354	94	233							
Barbados	93	76	78	197	66	481	1,277	801	565	349	98	89	84	
Belarus	0	0	0	0	0	0	4	0	0	0	0	0	1	
Belgium	0	5	43	171	786	811	879	0	4	3	233	52	8	
Belize	0	47	22	0	24	27	40	441	34	76	2	1	0	
Benin	0	0	9	0	0	0	25	3	0	6	0	0	0	
Bermuda												14	7	
Bolivia	0	0	0	4	0	0	0	5	0	1	0	0		
Bosnia and Herzegovina			32	16	0	0	3	13	2	2	1	4	0	
Botswana	0	0	0	0	0	0	27	0	0	0	0	0	0	
Brazil	16	31	745	459	0	0	1	3	6	10	10	309	191	
Brunei Darussalam	535	0	0	0		0				0	0	0	0	
Bulgaria	2	0	0	0	0	8	0	17	5	0	5	0	1	
Burkina Faso	0	0	0	0	0		99	0	0	0	0	0		
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cabo Verde	0	8	0	0	10	9	7		0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	0	0	0		
Cameroon	0	0	0	2	0	0	39	0	16,885	30,311	31,993	26,842		
Canada	216	608	535	472	461	354	528	5,150	392	408	419	1,740	605	
Chile	0	0	0	0	0	0	0	1	0	0	0	0	0	
China	0	1	0	0	0	5	0	75	96	53	51	71	339	
Colombia	49	329	0	2	682	21	235	3,312	60	125	8	51	218	
Comoros	0	0	0	0	0	0	0	0	20					
Congo							82	1	169	66	0	0	0	
Costa Rica	2	0	2	5	0	3	41	45	28	90	2	0	81	
Côte d'Ivoire	0	0	0	0	0	0	0	0	0	1	0	30		
Croatia	0	0	0	36	6	0	0	48	6	2	20	0	13	
Cuba	6	11	7	24	0	8								
Cyprus	0	0	0	11	0	0	5	5	0	0	0	0	0	
Czech Republic	1	664	100	79	310	381	386	191	672	489	50	474	767	
Denmark	46	47	38	22	239	4,680	1,010	1,380	616	936	1,509	778	1,264	
Dominica	416	515	337	537	702	386	375	411	705	370	7,612	4,461		
Dominican Republic	0	44	34	20	0	1	60	9	608	3,615	102	5,586	30,187	
Ecuador	0	0	0	0	0	179	0	33	51	11	0	0	0	
Egypt	0	22	0	142	0	0	0	0	4	6	0	8	5	
El Salvador	0	26	0	0	0	7	0	0	0	6	0	0	7	
Estonia	10	0	0	5	144	26	22	30	2	3	0	0	124	
Ethiopia	27	25	219	17	88	320	14	22	78	103	139	127		
Faroe Islands	0	2	0	0	0	0	1	1	1					
Fiji		0	7	13	35	2	16	0	0	2	36	176		
Finland	2	2	8	49	9	7	2,207	120	10	168	55	61	5	
France	4,156	12,452	13,777	12,568	5,215	1,308	2,973	4,947	1,942	8,109	831	918	864	
French Polynesia	0	1	0	0	2	0	0	0	0	0	0	0	0	
Gabon	0	0	0	0	0	61	0	0	35					
Gambia	2	0	0	0	0	0	0	0	0	0	0			
Georgia	0	0	0	0	0	0	0	86	81	248	45	0	0	
Germany	184,113	200,744	345,331	20,505	160,817	191,602	35,164	49,422	1,687	20,979	7,386	1,231	1,090	
Ghana	2,343		3,067		141	185	84	1,014	3,260	4	3	39		
Greece	3,087	58	157	121	86	782	85	101	123	41	430	4	1	
Greenland	0	0	0	0	0	0	0	0	0	73	1	0	0	
Grenada	296	197	591	499	504	331	434	379						
Guatemala	61	0	0	0	14	0	0	0	1	0	0	0	0	
Guinea	5	8		3	0	1,766	20	0		0	0	26		
Guinea-Bissau			1,216	0	0									
Guyana	419	1,239	327	595	477	237	267	110	28	266	1,036	3,453	5,020	
Honduras	0	116	439	2,026	1,688	78	3,868	12	0	0	0	0	0	
Hungary	148	651	752	84	1,256	38	0	0	0	0	0	0	0	
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	0	
India	0	0	455	0	99	113	68	2	84	15,828	148	223	12	
Indonesia	116	290	68	5	14	6	40	40	462	9	14,606	5,748	4,623	
Iran (Islamic Republic of)	0	0	0	0	0	0				0	0			
Ireland	0	0	39	19	248	88	1,799	49	1	1	3	26	27	
Israel	0	0	0	44	1	8	0	46	0	0	0	0	0	
Italy	8	9,736	3,441	423	14,525	708	637	6,090	3,628	35	133	137	62	
