List of importing markets for a product exported by Area Nes (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	38,444,524	42,339,377	59,926,118	77,465,719	96,344,820	109,900,516	83,889,058	110,197,776	34,286,535	52,183,752	94,042,098	80,405,355	78,784,084	
Afghanistan								462,171	0	0	0	3,102,250		
Albania	2	4	10,884	0	0	0	0	2,034	2,817	0	0	6,789	16,103	
Algeria	22,351	0	0	0	0	0	0	389	19	1	0	0	0	
Andorra	0	0	0	0										
Antigua and Barbuda					293		0		267,187	140,391	166,316	384	5,121	
Argentina	451,910	250,894	420,634	1,000,582	318,871	1,455,515	2,247,613	3,226,831	1,720,922	2,339,215	4,395,775	797,525	670,649	
Armenia	168	19,354	7,538	50,887	2,740	99,967	3,248	1,404	1,413	141,429	135,002	189,604	8,548	
Aruba					8,685				32,850	21,268	76,973	107,402		
Australia	12,769	12,864	20,728	33,580	16,522	1,640	11,220	24,085	0	0	8,838,390	7,700,333	11,047,653	
Austria	0	128,923	152,379	71,179	88,457	86,018	77,997	16,911	0	0	0	0	0	
Azerbaijan	0	0	0	0	0	0	0	4,816	6	0	0	25		
Bahamas	17,763	3,952	17,092	12,567	2,482	4,885	10,553	2,507	9,379	23,345	55,816	96,585		
Bahrain	1,538,327	1,672,343	2,066,755	2,765,155	4,169,674	4,901,632	5,864,119	7,851,756	5,147,574	5,862,559	8,626			
Bangladesh	5,082	309,470	443,270	3,187	75,367	95,660	58,254							
Barbados	55	38	52	73	68	74	51	61	10	6	70	23	20	
Belarus	143,878	229,835	285,655	294,787	511,192	536,698	632,509	645,253	450,339	1,205,334	2,387,751	1,106,456	1,103,257	
Belgium	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belize	343	145,929	155,600	135,181	0	0	0	0	7	0	1,035	641	246	
Benin	2,566	0	231	1	250	568	44,695	5,561	6,532	3,146	0	2,617	3,874	
Bermuda												1,937	0	
Bolivia	2,311	45,330	19,765	5,021	1,835	325	76	0	0	58	1,405	1,759		
Bosnia and Herzegovina			1,766,172	1,055,566	1,204	3,620	6,268	2,810	6,887	17,056	5,311	5,850	13,528	
