List of importing markets for a product exported by Argentina Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	26,610,055	25,709,371	29,938,752	34,575,706	40,106,386	46,546,224	55,779,580	70,018,851	55,672,119	68,187,227	84,051,151	80,927,108	76,633,914	
Afghanistan	0	84	165	451	494	248	144	421	2,462	1,209	2,568	1,255	165	
Albania	107	1,965	4,150	2,535	1,745	558	2,117	6,541	9,208	4,200	2,405	1,288	6,990	
Algeria	158,442	114,033	207,962	448,574	452,468	537,743	765,294	891,612	709,994	1,010,684	1,698,629	1,502,938	1,563,936	
America not elsewhere specified	0	0	0	0	1,703	0	0	0	0	0	0	0	0	
Andorra	0	59	48	64	40	136	150	102	174	60	40	22	0	
Angola	18,234	29,102	63,879	79,916	139,262	138,458	165,894	213,165	163,737	145,058	221,636	199,806	128,652	
Antigua and Barbuda	121	1,388	58	173	552	405	192	352	408	450	599	588	518	
Area Nes	399,898	276,867	1,096,396	1,303,713	722,284	805,201	956,111	1,424,273	920,693	1,264,550	1,835,145	2,044,226	2,169,770	
Argentina	0	0	0	0	0	0	0	0	0	0	0	0	0	
Armenia	51	694	400	2,319	1,687	2,595	5,108	2,288	2,849	1,753	4,124	5,848	5,875	
Aruba	0	0	3,666	3,936	0	7,169	4,399	3,250	3,788	3,577	3,880	3,625	2,900	
Australia	66,179	95,114	115,919	123,251	145,160	135,366	210,411	309,376	242,347	286,341	588,849	621,640	736,648	
Austria	4,390	6,806	7,775	12,084	10,871	9,914	16,676	18,234	12,507	14,034	15,165	14,268	14,427	
Azerbaijan	543	287	118	373	783	981	3,306	3,424	3,385	5,626	10,833	6,634	5,384	
Bahamas	8,357	7,403	1,494	26,511	19,969	5,197	2,193	23,187	12,174	17,409	1,710	47,452	31,523	
Bahrain	18,862	2,285	8,724	9,873	5,289	5,992	3,675	5,688	3,165	3,349	15,818	19,721	4,861	
Bangladesh	100,850	82,972	140,422	142,692	162,691	140,011	310,312	204,628	214,004	214,861	485,617	361,416	309,841	
Barbados	541	11,467	897	2,512	2,352	1,647	2,183	2,371	2,039	2,534	3,513	1,982	1,271	
Belarus	306	666	853	2,603	4,307	4,904	9,480	6,726	4,359	5,782	6,642	7,115	9,490	
Belgium	291,429	250,181	232,449	249,662	261,968	298,300	408,753	543,068	456,787	348,823	465,102	443,098	300,231	
Belize	1,370	953	2,109	1,006	1,288	1,898	2,295	180	234	369	414	339	844	
Benin	334	1,039	1,925	3,231	2,382	4,928	4,808	5,051	2,842	2,052	5,158	13,891	3,344	
Bhutan	0	0	0	0	0	14	0	0	0	0	0	0	14	
Bolivia	265,259	299,987	241,509	287,735	379,554	380,545	462,686	606,851	580,918	608,375	757,410	954,534	792,963	
Bosnia and Herzegovina	212	396	836	4,671	12,564	3,223	5,915	10,574	7,885	5,573	10,617	4,194	4,987	
Botswana	0	0	12	30	1,874	32	126	74	69	47	1	208	0	
Brazil	6,205,630	4,827,791	4,663,289	5,411,830	6,328,294	8,140,972	10,486,056	13,273,283	11,379,426	14,424,644	17,347,028	16,494,960	16,216,124	
British Indian Ocean Territories	0	0	0	0	50	0	0	0	0	0	0	0	0	
Brunei Darussalam	113	44	427	155	357	456	190	369	665	484	87	71	3,039	
Bulgaria	5,649	21,088	22,347	21,888	90,041	75,095	14,497	16,024	11,088	77,093	108,937	105,239	158,871	
Burkina Faso	19	73	63	483	462	2,303	912	3,550	1,162	1,458	1,994	1,327	828	
Burundi	0	0	0	144	52	16	0	0	0	0	670	0	10	
Cabo Verde	0	41	234	496	1,970	2,033	1,221	6,623	1,357	2,558	8,497	5,041	3,505	
Cambodia	827	446	178	1,238	1,816	1,736	2,986	4,168	6,569	11,136	14,628	14,077	16,306	
Cameroon	1,015	3,046	1,886	3,551	7,220	10,615	11,229	15,593	24,456	18,488	43,034	37,601	47,972	
Canada	223,650	190,089	216,420	175,985	295,017	437,451	347,449	470,702	466,850	1,401,201	2,383,288	2,194,076	1,702,854	
Central African Republic	19	0	0	45	71	22	156	0	72	68	98	0	0	
Chad	329	0	510	454	391	207	553	600	1,043	1,472	1,500	951	1,015	
Chile	2,851,693	2,961,084	3,536,326	3,830,577	4,497,161	4,404,623	4,176,201	4,713,567	4,386,659	4,492,820	4,844,722	5,064,777	3,906,689	
China	1,122,612	1,092,354	2,478,423	2,630,447	3,154,289	3,475,853	5,166,609	6,354,957	3,666,461	5,798,690	6,232,117	5,021,348	5,510,627	
Colombia	186,445	188,623	226,503	273,011	360,635	550,873	576,032	810,320	874,364	1,302,447	1,806,019	2,067,289	1,530,470	
Comoros	0	0	0	195	108	342	481	1,055	868	654	246	1,665	2,118	
Congo	4,868	11,367	21,935	35,731	42,974	44,752	54,824	52,031	74,205	28,715	47,869	48,503	63,507	
Costa Rica	34,162	26,997	35,460	59,132	55,683	99,508	103,405	130,075	159,580	174,287	139,567	99,897	106,600	
Côte d'Ivoire	5,923	7,471	3,595	5,297	14,423	11,683	17,227	35,585	15,516	21,187	23,184	25,967	7,433	
Croatia	2,583	5,170	8,232	22,191	19,216	36,717	41,449	43,843	27,504	27,614	40,906	37,934	22,613	
Cuba	48,765	22,086	23,250	91,143	96,841	95,800	100,639	84,442	52,087	88,556	112,916	106,021	307,423	
Cyprus	19,441	21,088	24,924	18,764	14,873	24,421	25,637	27,966	29,894	29,677	32,701	22,255	15,885	
Czech Republic	2,848	16,920	19,482	19,825	20,846	22,596	33,624	49,469	14,824	23,757	52,316	42,524	15,882	
Democratic Republic of the Congo	1,684	1,975	473	16,550	12,742	35,314	27,292	45,487	20,699	29,561	38,971	40,377	0	
Denmark	228,116	207,896	259,724	282,100	290,430	292,164	350,193	497,006	440,166	344,334	425,163	446,140	277,185	
Djibouti	0	72	4,972	5,339	100	165	361	560	154	182	10,505	38,260	956	
Dominica	167	77	217	263	679	472	387	224	594	786	414	597	924	
Dominican Republic	61,739	69,766	69,665	116,491	122,842	149,169	197,485	179,968	139,637	156,466	232,212	243,994	258,408	
Ecuador	103,055	162,448	135,749	194,455	264,554	302,420	345,274	458,072	454,574	501,243	484,925	415,658	346,952	
Egypt	345,309	405,342	446,612	593,899	558,732	324,130	577,358	1,075,235	591,613	979,115	1,745,911	1,013,419	1,254,551	
El Salvador	50,918	10,313	19,009	56,732	59,906	95,409	93,072	37,012	13,332	13,772	14,846	30,462	31,706	
Equatorial Guinea	1,023	623	775	757	1,595	1,229	2,692	3,384	5,466	5,975	18,347	29,579	23,308	
Eritrea	0	0	0	77	2,047	19	22	0	0	0	0	317	650	
Estonia	643	4,056	4,058	3,463	4,283	5,248	6,280	6,178	5,052	7,889	6,482	9,168	9,513	
Ethiopia	46	13	10	105	144	150	507	799	680	826	988	1,063	1,739	
Fiji	121	1,193	1,991	59	85	109	199	349	84	267	459	811	720	
