List of importing markets for a product exported by Argentina (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	27,361,807	27,087,541	31,747,489	37,420,771	43,339,729	47,901,863	59,165,496	77,142,914	57,409,147	69,309,143	82,357,216	82,108,973	72,659,606	
Afghanistan								159	0	48	476	0		
Albania	1,923	1,326	814	4,764	2,170	618	3,777	15,400	12,621	6,626	12,324	12,616	16,728	
Algeria	183,863	161,343	237,832	593,453	591,615	631,049	922,363	1,263,243	807,339	1,230,719	1,782,413	1,802,686	1,738,555	
Andorra	11	59	228	165										
Anguilla	12	3	17											
Antigua and Barbuda					407		468		813	833	778	400	660	
Argentina	0	0	0	0	0	20,760	0	29,434	34,030	28,810	36,856	47,108	33,970	
Armenia	41	888	159	605	1,506	3,549	6,672	3,680	3,067	6,570	5,752	7,580	11,603	
Aruba					8,116				4,037	3,808	2,330	2,023		
Australia	80,971	94,827	122,927	124,103	157,851	126,720	216,048	310,575	290,142	257,593	567,573	650,315	783,935	
Austria	22,724	51,144	92,289	103,878	127,011	160,290	208,502	208,706	103,762	126,664	110,450	116,390	99,718	
Azerbaijan	401	687	443	317	1,867	5,301	8,591	17,745	19,941	29,126	23,028	14,992		
Bahamas	53	2,576	273	320	2,475	489	824	766	999	297	256	389		
Bahrain	31,504	2,917	9,692	3,209	17,193	4,809	5,518	10,208	3,289	6,252	24,934			
Bangladesh	204,127	185,145	282,031	150,235	236,147	264,762	480,880							
Barbados	840	979	1,481	1,149	3,838	2,484	2,840	2,871	3,138	3,164	4,245	4,492	2,199	
Belarus	6,540	2,139	3,981	6,334	23,225	71,288	67,853	115,445	102,148	193,351	167,054	188,171	221,428	
Belgium	318,185	321,999	337,092	356,688	374,995	403,237	524,829	716,593	414,556	407,958	385,510	491,885	325,643	
Belize	1,133	1,990	2,751	972	960	538	850	241	299	478	446	638	2,199	
Benin	71	1,823	166	47	472	261	603	1,064	2,245	1,537	1,660	1,486	1,343	
Bermuda												255	476	
Bhutan					0	48	942	6	0	0	0			
Bolivia	307,880	307,848	281,337	295,532	391,195	447,298	596,430	724,303	613,253	713,518	966,372	1,086,020		
Bosnia and Herzegovina			4,172	17,194	29,871	16,812	20,817	20,234	16,100	13,547	15,345	12,200	12,979	
Botswana	0	8	50	18	2,344	76	86	133	79	91	16	0	372	
Brazil	6,206,537	4,743,785	4,672,611	5,569,812	6,241,110	8,053,648	10,409,997	13,257,932	11,281,165	14,424,771	16,906,099	16,444,100	16,462,929	
Brunei Darussalam	906	521	617	444		548				403	300	292	6,694	
Bulgaria	9,885	21,757	22,662	19,451	79,719	104,266	35,811	39,472	11,467	79,591	65,934	13,017	12,311	
Burkina Faso	4	271	9	246	877		827	8,877	2,495	1,971	4,671	2,992		
Burundi	0	16	16	9	538	30	0	0	0	8	2	4,278	45	
Cabo Verde	8	299	158	690	2,282	3,885	2,659		2,186	4,324	8,502	8,644	5,425	
Cambodia	356	380	31	486	711	577	1,023	1,139	3,859	4,084	5,944	7,477		
Cameroon	1,039	1,761	1,869	3,156	9,452	12,690	15,807	26,770	50,680	29,871	63,190	51,715		
Canada	226,123	205,721	267,532	230,962	394,043	504,496	441,913	603,668	616,015	1,510,798	2,384,852	2,222,522	1,797,823	
Central African Republic	0	40	46			0	130	138	55	0	6	0	91	
Chile	3,074,058	3,036,017	3,784,076	4,162,605	4,831,984	4,539,236	4,378,885	5,055,024	4,645,810	4,691,850	4,741,466	5,283,346	3,933,783	
China	1,281,027	1,239,464	2,729,076	3,254,874	3,799,210	3,700,185	6,334,230	9,361,350	4,306,017	6,804,128	6,256,572	6,560,806	6,095,054	
Colombia	202,282	211,116	257,105	321,294	411,711	585,828	712,280	920,378	1,042,724	1,509,263	1,871,900	2,312,510	1,733,545	
Comoros	0	97	293	34	108	89	80	228	198					
Congo							16,486	29,302	18,640	14,227	30,608	32,137	42,920	
Costa Rica	28,907	30,978	37,772	62,783	52,953	68,728	75,406	64,900	55,247	76,525	72,642	92,440	166,775	
Côte d'Ivoire	6,982	7,454	5,226	8,201	21,861	14,281	20,173	36,643	21,839	18,802	23,588	41,618		
Croatia	9,958	14,025	14,776	37,611	82,703	43,766	16,522	36,117	15,623	14,108	15,722	15,859	52,524	
Cuba	88,839	40,065	44,074	116,420	170,481	105,396								
Cyprus	19,538	30,070	28,665	29,503	23,663	23,333	39,911	46,697	46,360	53,275	38,340	28,988	13,916	
Czech Republic	34,957	61,282	35,700	35,279	54,797	51,324	57,675	81,839	42,364	64,307	86,986	75,684	44,537	
Denmark	256,876	290,124	302,692	388,688	352,787	338,535	377,556	599,854	496,379	509,118	582,306	456,247	326,852	
Djibouti									14					
Dominica	8	166	295	275	582	208	443	292	554	568	334	259		
Dominican Republic	34,697	62,893	71,227	78,884	88,506	136,819	165,824	161,411	186,129	161,645	243,561	278,604	288,018	
Ecuador	94,981	169,039	163,942	280,692	345,924	415,739	436,537	601,204	495,285	584,879	559,187	477,617	421,432	
Egypt	257,317	303,848	335,501	320,781	502,367	179,951	426,903	1,014,787	459,509	888,238	1,859,349	1,103,070	1,569,456	
El Salvador	11,689	13,631	27,217	73,603	71,673	127,585	115,916	78,371	40,779	33,606	21,560	37,873	50,925	
Estonia	1,717	4,494	6,454	8,034	6,904	8,389	9,212	8,749	11,934	9,089	12,236	10,868	16,251	
Ethiopia	58	7,534	124	188	381	382	1,912	1,178	1,970	1,807	1,845	65,056		
Faroe Islands	448	1,578	2,678	2,576	3,337	2,271	3,447	1,498	1,503					
Fiji		1,405	1,838	137	254	226	260	430	345	453	590	672		
Finland	55,843	53,620	81,140	98,975	61,895	109,085	143,188	68,724	19,272	17,608	26,860	51,735	64,347	
France	441,608	454,203	545,748	511,703	581,210	783,915	807,654	1,277,285	708,301	741,099	871,467	672,559	613,624	
French Polynesia	455	641	2,057	2,800	3,037	3,021	3,455	4,816	3,840	3,772	4,435	4,965	5,065	
Gabon	3,127	0	2,426	7,373	10,146	12,395	18,201	9,303	12,507					
Gambia	0	0	2	158	289	0	248	355	1,560	85	158			
Georgia	10	0	132	221	1,053	847	2,568	3,640	3,621	4,949	8,347	9,570	16,828	
Germany	751,475	878,976	1,082,124	1,230,478	1,229,159	1,631,426	2,052,646	2,511,118	2,022,483	2,343,378	3,160,171	2,529,289	2,222,122	
Ghana	3,900		10,327		29,690	16,122	33,953	43,269	35,780	26,929	18,855	25,567		
Greece	71,186	81,681	111,771	168,561	105,535	103,653	157,462	185,627	181,963	156,691	145,457	135,728	157,248	
Greenland	0	0	66	0	0	213	60	177	235	275	197	493	172	
Grenada	165	295	365	673	484	952	1,234	826						
Guatemala	53,962	46,690	30,199	45,083	137,534	206,695	214,725	142,077	129,493	114,668	91,377	162,421	186,928	
Guinea	62	493		677	259	171	874	549		395	308	362		
Guyana	112	569	901	986	1,251	2,261	1,854	1,262	1,022	461	1,584	3,663	3,491	
Honduras	3,500	10,071	13,713	41,808	35,588	85,627	75,856	49,759	34,123	29,378	44,611	49,178	54,586	
Hong Kong, China	174,152	174,865	180,090	221,043	223,468	223,532	262,458	262,104	274,125	309,703	320,849	301,025		
Hungary	21,133	29,571	27,467	16,831	11,799	12,251	16,464	29,721	15,451	10,788	13,798	15,743	17,955	
Iceland	224	292	640	842	2,337	2,257	4,086	5,286	4,928	5,993	7,782	34,426	3,043	
India	446,571	333,166	560,107	501,160	648,038	973,550	725,362	590,530	608,821	1,038,825	1,097,007	1,211,373	1,149,159	
Indonesia	30,081	82,470	72,077	329,999	378,726	362,802	452,697	613,804	664,063	945,119	1,585,966	1,756,279	1,686,627	
Iran (Islamic Republic of)	339,694	206,441	937	10,289	2,900	0				114,697	118,316			
Ireland	30,861	42,673	49,436	48,110	85,742	100,896	136,188	129,782	150,591	133,754	232,471	278,339	287,515	
Israel	58,138	47,419	75,228	135,884	136,678	134,276	154,549	150,483	146,880	176,626	215,554	188,805	222,358	
Italy	903,808	1,012,914	1,109,856	1,210,909	1,182,794	1,273,085	1,569,827	2,008,514	1,555,718	1,706,885	2,166,879	1,320,741	1,092,290	
Jamaica	6,146	4,539	6,987	6,963	13,317	23,355	16,641	13,923	11,771	8,717	10,837	10,230		
Japan	399,641	443,159	437,213	454,855	327,498	488,737	802,825	695,580	632,859	998,347	1,082,163	1,243,122	1,848,412	
Jordan	102,921	98,145	126,341	80,856		67,065	67,813	90,068	119,681	164,837	244,556	343,511	303,359	
Kazakhstan	3,800	5,998	819	3,649	21,576	35,726	35,007	32,987	40,432	56,175	30,575	42,310	40,925	
Kenya	46,985	24,583	5,407	51,548	46,269	11,794	40,676	83,231	25,222	3,519	32,604			
Korea, Republic of	373,871	376,419	435,670	421,499	371,755	556,021	731,533	914,772	672,257	794,607	1,048,090	1,427,857	1,195,475	
Kuwait	27,380	19,307	24,675	40,532		59,335	53,496	61,212						
Kyrgyzstan	76	107	25	20	560	1,876	773	5,467	81	297	1,967	1,110		
Latvia	978	1,134	2,353	1,864	3,172	3,839	4,125	4,799	4,143	3,229	7,330	6,624	20,518	
Lebanon	24,960	38,340	32,695	48,434	23,142	30,641	52,845	59,661	66,206	96,578	105,215	98,030	105,157	
Lesotho	69	923	0					0	0	0				
