List of importing markets for a product exported by Armenia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	335,831	527,204	670,475	722,912	936,977	1,003,961	1,121,222	1,055,013	683,989	1,011,425	1,320,411	1,428,121	1,467,800	
Afghanistan	0	0	0	0	0	54	22	0	0	0	105	211	784	
Albania	0	0	0	0	0	0	0	406	416	0	13	0	0	
Algeria	0	0	0	0	0	0	0	0	0	0	0	0	0	
Andorra	0	0	0	0	0	0	0	0	0	0	0	0	0	
Angola	0	0	0	0	856	0	0	0	0	0	0	0	0	
Anguilla	0	0	0	0	0	4	0	0	0	0	0	0	0	
Area Nes	1,414	41,372	1,724	13,465	1,383	22,315	5,021	6,793	9,725	31,252	31,503	32,125	16,526	
Argentina	0	0	6	3	2	0	0	0	6	2	2	1	0	
Australia	569	349	98	246	73	258	1,256	1,591	142	486	229	175	132	
Austria	9	45	77	1,599	2,929	3,780	5,489	5,537	8,029	4,376	2,794	1,858	1,205	
Bahamas	202	1,579	1,087	319	417	2,773	0	0	0	0	0	0	0	
Bahrain	14	0	0	2	17	0	28	1	17	8	0	59	22	
Bangladesh	0	0	0	29	0	0	0	0	0	0	45	0	0	
Barbados	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belarus	1,197	1,490	2,090	2,007	2,497	3,787	2,466	2,776	4,490	4,555	5,769	6,476	8,556	
Belgium	46,481	92,148	123,814	107,886	124,511	108,760	100,091	91,047	46,799	72,525	70,537	127,172	131,085	
Belize	0	0	1,278	10,961	3,960	12,136	2,078	2,378	0	4,667	10,829	13,884	8,717	
Benin	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bosnia and Herzegovina	0	0	0	0	0	5	0	0	0	27	66	0	0	
Botswana	0	0	0	0	0	0	0	0	0	0	68	0	0	
Brazil	0	0	0	15	0	0	10	152	1	7	0	0	590	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
British Virgin Islands	1,697	649	1,081	26,452	47,295	760	24,494	5	0	189	47	2,021	2,097	
Brunei Darussalam	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulgaria	311	534	1,458	4,602	821	1,275	46,893	61,222	60,018	156,547	152,211	129,287	152,205	
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	18	0	0	0	0	0	0	
Cameroon	0	0	20	18	0	0	0	0	0	0	75	0	0	
Canada	904	1,425	3,025	8,223	11,381	11,110	5,928	15,882	34,254	29,553	70,277	85,027	87,378	
Cayman Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Central African Republic	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chile	0	0	0	0	0	0	0	8,596	0	0	60	158	0	
China	66	4,050	4,597	21,750	9,245	464	7,857	1,793	17,878	30,865	16,262	30,966	68,837	
Christmas Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Colombia	0	0	0	0	2	50	149	1	888	3,017	1,288	1,038	0	
Comoros	0	0	0	0	0	0	0	0	0	0	0	0	0	
Congo	0	0	3	52	40	0	0	0	0	0	0	0	0	
Costa Rica	0	0	0	0	0	0	0	0	0	0	0	0	0	
Côte d'Ivoire	8	0	0	0	5	0	0	0	0	54	0	0	0	
Croatia	0	0	0	5	0	13	246	186	467	1,363	1,080	919	96	
Cuba	0	0	0	0	0	15	0	0	0	0	0	0	0	
Cyprus	2,672	1,290	356	54	1,152	80	375	277	83	606	1,645	8,156	15	
Czech Republic	1	148	63	18	110	246	2,166	1,493	1,543	1,100	1,838	1,477	8,436	
Democratic Republic of the Congo	0	0	0	0	0	28	0	0	28	0	0	0	0	
Denmark	4	6	0	21	17	30	102	24	48	93	36	7	4	
Dominica	0	0	0	112	0	44	8	0	0	0	0	0	0	
Dominican Republic	0	0	0	0	0	0	0	0	0	20	0	0	0	
Ecuador	0	0	0	0	0	0	0	0	0	0	0	0	0	
Egypt	0	0	46	23	16	20	64	100	705	25	273	2	113	
El Salvador	0	0	0	0	0	0	0	0	0	0	0	0	0	
Equatorial Guinea	0	0	0	0	0	0	0	0	3	0	0	0	0	
Eritrea	0	0	0	0	0	0	0	0	0	0	0	0	0	
Estonia	0	0	0	6	5	1,026	465	725	39	593	80	82	134	
Ethiopia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Falkland Islands (Malvinas)	0	0	0	0	0	0	0	0	0	0	0	0	0	
Faroe Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fiji	0	0	0	0	0	0	0	0	0	0	0	0	0	
Finland	619	66	86	373	1,435	3,840	8,823	300	59	143	1	35	149	
France	323	1,064	1,839	1,678	1,748	3,907	9,092	10,460	5,623	7,445	9,551	4,397	6,430	
French Polynesia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gabon	0	13	0	0	0	0	0	0	217	582	774	538	881	
Gambia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Georgia	11,894	10,263	12,258	25,190	34,058	47,498	69,095	76,983	48,444	48,212	55,031	78,046	75,174	
Germany	10,945	27,462	43,703	82,403	146,747	147,057	168,543	183,611	114,792	132,592	157,835	153,013	85,485	
