List of importing markets for a product exported by Armenia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	243,162	389,418	575,255	549,578	796,021	892,811	1,084,723	949,011	602,240	845,558	1,142,595	1,188,624	1,194,269	
Afghanistan								0	0	0	48	0		
Albania	0	2	1	0	1	0	4	464	287	1	0	1	2	
Algeria	0	0	0	0	0	0	0	61	0	1	0	9	0	
Andorra	19	0	0	0										
Antigua and Barbuda					0		0		0	0	0	0	15	
Argentina	1	0	2	0	1	0	0	3	122	0	502	474	1	
Australia	459	471	89	313	73	140	1,148	702	608	544	1,171	202	539	
Austria	829	432	702	931	604	2,483	9,375	10,951	952	1,030	1,731	1,949	1,608	
Bahrain	0	0	0	0	2	0	0	0	0	12	0			
Bangladesh	0	0	0	3	0	5	0							
Barbados	0	0	0	0	0	16	3	0	16	1	6	19	0	
Belarus	1,692	2,108	2,283	2,061	2,135	4,120	3,472	4,580	5,095	5,114	5,536	6,681	8,487	
Belgium	34,536	83,132	116,622	107,031	109,817	105,007	95,600	84,695	40,162	65,161	74,524	97,544	126,015	
Belize	0	0	0	0	0	0	0	0	0	0	0	0	1	
Benin	0	0	0	0	0	1	1	3	37	54	71	26	101	
Bolivia	3	1	0	0	0	0	0	0	0	4	0	53		
Bosnia and Herzegovina			0	0	1	11	5	12	84	120	86	100	9	
Botswana	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brazil	40	0	296	3	12	186	666	261	97	899	171	19	116	
Bulgaria	126	654	12,285	10,285	194	16,527	33,756	52,276	1,676	354	472	639	5,034	
Burundi	0	0	0	0	0	0	0	0	14	26	5	25	0	
Cameroon	0	0	0	0	0	0	0	11	0	0	116	0		
Canada	1,205	1,537	1,414	1,523	1,458	1,886	1,939	6,633	29,957	29,010	68,077	80,033	86,545	
Chile	36	387	406	0	0	0	18	12,594	3	3	13	199	83	
China	1,174	6,660	1,782	2,156	351	8,413	37,774	11,506	23,939	46,703	34,632	35,166	76,821	
Colombia	51	6	14	61	29	105	275	25	229	2,197	1,367	1,379	73	
Comoros	0	0	0	0	0	0	0	0	0					
Congo							0	10	0	0	0	0	0	
Costa Rica	0	0	0	0	0	10	74	54	0	1	9	1	1	
Côte d'Ivoire	0	0	0	0	0	0	0	39	0	66	8	0		
Croatia	0	0	9	15	40	219	334	262	582	1,461	1,459	1,449	152	
Cuba	7	0	0	0	0	56								
Cyprus	88	263	117	77	1,191	75	252	485	51	81	30	15	15	
Czech Republic	1	199	205	1,548	8,585	5,759	6,689	6,156	1,144	2,195	2,606	2,165	3,081	
Denmark	3	39	3	47	22	64	137	109	806	122	41	30	131	
Dominican Republic	0	0	0	0	5	0	0	121	127	1	30	3	2	
Ecuador	42	3	0	0	0	5	6	0	0	0	6	0	0	
Egypt	27	0	5	450	132	27	0	62	65	308	17	4	6	
El Salvador	1	0	6	0	0	0	0	0	0	0	0	0	0	
Eritrea			0											
Estonia	63	184	122	156	93	180	198	1,111	231	309	276	517	491	
Ethiopia	0	0	0	0	0	0	0	4	0	4	0	1		
Faroe Islands	0	0	0	0	0	0	1	0	0					
Fiji		0	0	0	38	0	102	0	0	0	0	0		
Finland	5	2	0	0	4,776	6,632	1	337	10	186	124	8	9	
France	662	962	1,644	2,418	2,134	2,482	3,739	8,831	6,983	9,399	22,068	12,260	16,328	
Gambia	0	0	0	0	0	0	0	0	0	0	3			
Georgia	10,030	9,301	11,198	26,043	39,360	40,091	59,557	71,529	41,346	45,548	59,086	70,405	181,931	
Germany	15,812	25,433	30,624	78,359	152,475	153,476	173,303	196,065	122,146	156,641	184,962	126,451	93,783	
Ghana	0		27		12	22	0	0	0	0	270	0		
Greece	1,660	1,031	1,078	813	1,050	527	2,431	463	214	113	95	86	62	
Guatemala	0	0	0	0	0	1	0	0	0	0	179	51	0	
Guinea	0	0		0	0	0	11	0		445	0	0		
