List of importing markets for a product exported by Aruba (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	1,416,831	1,078,925	1,265,535	2,503,944	4,026,450	4,296,260	4,611,611	5,574,819	2,200,740	341,315	4,559,228	1,837,299	540,028	
Anguilla	0	0	0											
Antigua and Barbuda					735		33		0	2	0	0	2	
Argentina	0	0	13,817	21,878	0	9,634	4,619	2,727	1,394	0	24,078	0	0	
Austria	86	54	0	3	8,115	0	24	191	504	0	61	0	6	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	0		
Bahamas	211	4	0	11	2,876	19	29	0	5,759	54	1	2		
Bangladesh	190	113	139	0	0	20	51							
Barbados	7	14	8	3	1,118	28	1	25	12	79	4	577	2	
Belarus	4	0	0	0	0	0	0	0	0	0	0	0	0	
Belgium	4,785	8,176	9,814	14,157	40,267	16	6,702	101,932	37,556	102	1,119	358	848	
Belize	18	0	0	0	0	42	0	0	45	0	0	0	0	
Benin	0	0	0	0	0	0	0	0	0	0	0	0	3	
Bermuda												2	0	
Bolivia	0	0	0	17	0	0	0	0	0	1	0	0		
Bosnia and Herzegovina			0	0	0	0	1	0	0	0	0	0	0	
Brazil	27,151	30,738	35,393	100,659	116,881	168,310	272,506	337,879	179,998	482	183,914	80,762	1	
Brunei Darussalam	0	0	0	5		0				0	0	0	1	
Bulgaria	0	0	0	0	0	68	53	25	7	0	784	65	0	
Burkina Faso	0	0	0	0	0		0	0	0	2	0	0		
Cambodia	57	0	0	43	58	148	50	92	0	0	0	0		
Canada	351	3,219	5,707	34,479	45,968	134,079	115,256	143,301	80,313	135	5,588	9	4,375	
Chile	0	0	0	0	10	211	316	0	0	0	0	0	3	
China	34	41	25	60	137	0	114	225	146	142	35	13,243	157	
Colombia	11,722	1,365	3,906	2,027	17,223	71,598	106,866	184,100	14,490	35,303	182,479	98,002	87,307	
Congo							2	0	0	0	0	0	0	
Costa Rica	0	1,867	16,396	62,241	139,937	280,838	274,779	491,138	22,708	18	6,529	252	4,841	
Côte d'Ivoire	0	1	0	0	0	0	0	6,971	854	0	0	0		
Croatia	0	0	0	0	0	0	13	0	0	0	6	0	0	
Cuba	0	173	4	0	921	0								
Cyprus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Czech Republic	0	0	1	1	0	0	20	0	67	0	8	7	12	
Denmark	0	27	24	101	94	23,975	129	27	6,627	2,054	39	3	101	
Dominica	6	16	0	2	2	1	2	2	0	3	2	1		
Dominican Republic	0	39	49	60	305	355	31	278	42,761	1,935	44,141	92,428	57,403	
Ecuador	6,494	4,575	7,625	64	0	48,830	42,093	25,560	80,643	72,905	24,599	133,533	131,394	
El Salvador	59,982	16,412	0	5,475	543	1,282	400	79	30	347	17	1,126	539	
Estonia	0	79	0	0	0	0	0	0	0	0	0	0	0	
Ethiopia	0	0	0	0	273	18	0	0	0	0	0	0		
Faroe Islands	0	0	0	0	0	0	15	16	2					
Fiji		1	0	0	24	0	0	0	0	0	0	0		
Finland	0	0	0	0	6	14	7	33	6	1	4,437	18,254	0	
France	29,670	38,083	39,806	114,299	124,033	145,453	177,198	305,733	96,101	19	50,176	8,084	19,258	
Germany	207	796	248	5,536	760	81	2,100	1,060	73	213	395	359	204	
Ghana	0		0		0	3	0	0	0	0	0	0		
Greece	1,060	2	1	0	0	8,433	5,573	11,991	26,467	0	4,375	5,033	0	
Grenada	10	0	5	176	13	23	220	0						
Guatemala	1,473	23,328	9	14,579	0	0	2,024	0	30,272	0	1,864	15,825	1	
Guyana	592	37	4	479	20	39	74	104	56	100	480	716	3,867	
Honduras	65	1,281	11,522	3,801	1,327	3,203	2,061	25,695	7	52	53	188	2,634	
Hong Kong, China	239	60	11	620	34	44	68	53	136	1,513	77	97		
Hungary	0	0	0	0	0	0	1,795	1	0	0	0	0	0	
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	0	
India	0	0	0	18	0	0	0	15	3	0	1,886	180	40	
Indonesia	2	0	0	0	0	0	1	1	110	59	0	5,792	215	
Iran (Islamic Republic of)	5,041	2,832	7	0	0	0				188	0			
Ireland	1	129	195	0	0	1	3	0	1	0	21	25	25	
Israel	0	1	0	0	37	1,742	51	17	0	0	39,868	396	0	
Italy	85	28	7,921	21,178	14	26,076	10,971	16,286	5,106	2,164	29	18	43	
Jamaica	144	30	1,684	917	1,652	793	1,876	978	964	146	11	58		
Jordan	0	0	0	0		0	0	0	0	0	0	4,410	7,837	
Kazakhstan	0	0	0	0	0	0	0	0	0	0	0	27	3	
Kenya	0	0	0	4	0	0	0	0	0	0	0			
Korea, Republic of	83	0	0	49	2	211	531	34,429	175	16,742	51,969	440	165	
Kuwait	0	0	0	0		0	0	0						
Latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lebanon	1,091	8	213	99	2	10	10	41	72	8	5	0	8	
Lithuania	94	0	0	0	0	0	0	0	0	0	0	0	13	
Luxembourg	0	14	3	0	0	0	0	0	0	0	0	0	0	
Macao, China	0	3	0	2	0	0	0	0	0	0		0		
Macedonia, The Former Yugoslav Republic of	0	0	0	0	0	0	0		0	0	1	1	0	
Malawi	0	0	4	0	0	5	4	0	0	0	0	0	0	
Malaysia	2	0	6	0	0	0	0	27	100	1	3	10	80,424	
Malta	0	2,602	0	0	0	0	0	0	8	0	0	0	0	
Mexico	31,926	35,663	9,251	74,790	27,151	193,216	72,710	77,743	40,309	38,313	1,972	4,884	1,601	
Mongolia	0		0	14	1	11	487						0	
Montenegro						0	0	0	3	1	0	0	0	
Montserrat	0	0	0	0	0	0	0	0	0			32	0	
Morocco	0	0	0	0	0	0	0	0	2,879	0	8,266	0	0	
Mozambique	0	0	0	0	0	0	0	0	0	0	0	0	9	
Namibia	0	0	0	0	0	1	0	0	0	0	0	0	0	
Nepal			0						55	0	0			
Netherland Antilles					25,784	24,700	27,731	34,134						
Netherlands	30,053	27,712	14,241	17,309	62,216	12,880	4,565	24,676	37,404	2,544	15,365	6,447	9,038	
New Caledonia	0	0	0	0	0	0	0	0	1	6	1	0	0	
New Zealand	0	0	0	0	1	4	2	32	1	10	0	27	16	
Nicaragua	357	2,510	0	0	4	358	9	1	0	0	0	0	0	
Nigeria	605	0	15			24	27	1	15	122	5	0		
Norway	0	0	0	0	14	0	0	0	0	0	0	0	0	
Pakistan			0	0	0	0	0	4	0	53	0	26	0	
Palestine, State of							0	0	1	0	0	0		
Panama	379	12,862	31,055		5	3,687	33,195	851	6,244	5,515	4,191			
Papua New Guinea	26	0	0	0							0	0		
Paraguay	0	0	0	0	0	0	0	0	0	0	0	0	0	
Peru	186	327	536	676	706	59,107	86,261	43,313	20,463	0	77,104	0		
Philippines	308	45	890	966	200	0	0	0	72	23	28	0	86	
Poland	0	0	0	14	0	0	0	231	12	0	1	0	0	
Portugal	14	0	0	3	3	3	0	119	0	0	0	0	0	
Qatar	0	0	0	0	0	6,755	23,423	22,614	0	15,287	0	0	0	
Romania	0	0	0	0	2,743	1,791	7,760	16,566	9,743	16	3,674	0	0	
Russian Federation	0	0	0	0	0	0	0	1	1	0	0	19	0	
Rwanda	8	0	0	0	0	0	9	2	5	34	2	2	0	
Saint Kitts and Nevis	16	0	0	6	14	10	2	50	41	1	1			
Saint Lucia	28	85	5	1	4	0	61	9						
Saint Vincent and the Grenadines	0	0	12	0	1	5	0	12	14	0	0	687		
Samoa	0	0	0	1	0	0	0	0	0	0	0	0	0	
Saudi Arabia	0	0	0	0	16,252	12,225	67,115	1,692	2,799	2,078	564	2,538		
Senegal	0	0	0	0	0	0	0	0	0	0	0	0	0	
Serbia					0	0	0	2	0	0	0	0	0	
Serbia and Montenegro	0	0		1										
Singapore	6	1	0	0	0	0	0	0	0	0	99,540	175,999	47,279	
Slovakia	0	1	0	1	3	0	0	876	25	0	6	1	202	
Slovenia	0	0	0	18	63	104	181	175	112	176	175	141	112	
South Africa	1	0	0	2	2	0	17	4,923	4	7	38,585	0	20	
Spain	16,089	11,344	8,339	41,937	145,128	66,265	17,655	52,861	145	26	17,072	47	41	
Sri Lanka	0	4	60	3	9	25	11	0	19	15	84	4		
Sudan (North + South)	0	3,747	346	643	0	0		17,148	36,751	65,286	94,767			
Suriname	179			533	50	61	105		103	89	170			
Sweden	0	36	6	17	17,465	1,710	6,938	2,624	1	8	16	1	1	
Switzerland	0	7	11	8,341	3	167	15	44	22	380	539	444	31,023	
Syrian Arab Republic	0	0	0	0	0	0	0	0	7	492				
Taipei, Chinese	20	9	43	13	371	1,219	851	1,307	780	1,592	3,161	3,703	3,602	
Tanzania, United Republic of	1	1	4	0	5	40	130	46	0	0	43	5	15	
Thailand	0	2	0	134	1	16	0	1	151	119	7	55	273	
Togo	0	0	0	0	0		0	0	0	0	0	0	3	
Trinidad and Tobago	52	13	91	51,396	43,372	549	508	559	183	273				
Turkey	579	110	0	57	0	1	10,633	36,076	16,542	1	14,443	5,108	5	
Uganda	5	3	4	0	0	1	6	18	0	0	0	0	0	
Ukraine	0	5	0	0	0	0	0	0	0	0	0	29	0	
United Arab Emirates					0		0	0						
United Kingdom	18,866	5,970	21,295	27,041	54,586	2,162	68,614	219,169	38,935	183	5,704	43,529	46	
United States of America	1,104,030	802,569	1,011,439	1,862,156	3,026,081	2,922,333	3,069,938	3,259,698	1,309,214	20,570	3,325,158	839,106	42,512	
Uruguay	0	0	0	422	45	0	3,003	4,326	0	0	4,969	9,594	0	
Vanuatu						0	0		0	0	0			
Venezuela	62,140	39,694	13,230	13,112	21,932	3,839		5,733	5,555	385	1,586	20,800	2,412	
Viet Nam	0	56	115	0	0	0	0	0	0	0	0	0		
Yemen				1,292	78,848	57,388	80,952	56,095	38,553	52,940	212,963	243,785		
Zambia	0	1	0	2	0	0	14	38	0	0	9	0	0	
