List of importing markets for a product exported by Australia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	63,329,996	64,984,230	70,249,176	86,436,914	105,751,493	123,322,775	139,122,219	186,853,014	153,766,558	206,705,136	269,423,385	256,242,913	252,155,105	
Afghanistan	441	1,670	2,411	5,324	3,986	14,302	10,555	12,346	16,169	9,213	15,195	10,648	6,595	
Albania	578	365	7,181	883	965	442	1,805	799	1,040	1,404	3,187	1,697	2,656	
Algeria	35,743	42,629	34,125	51,341	68,165	84,315	53,901	73,313	31,733	19,515	23,519	4,496	3,609	
Angola	1,887	2,073	3,363	1,987	1,828	3,617	5,664	19,166	8,736	9,149	6,980	8,132	8,312	
Anguilla	71	0	43	0	35	38	0	43	22	194	0	16	0	
Antigua and Barbuda	505	998	650	1,412	89	511	1,165	623	363	558	711	735	1,684	
Area Nes	404,146	1,057	75,257	278,935	473,672	591,224	653,729	0	0	0	57,072	38,823	30,777,196	
Argentina	42,909	34,618	57,008	58,373	118,110	136,989	95,166	245,699	158,336	305,581	392,509	282,936	124,744	
Armenia	675	155	1,042	1,370	8,533	997	5,723	3,180	1,119	759	1,428	2,241	5,230	
Australia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Austria	33,131	17,767	34,890	48,656	47,362	48,420	43,425	45,800	31,538	59,481	73,854	70,948	67,771	
Azerbaijan	2,511	3,949	6,281	4,734	2,310	8,583	7,051	4,145	8,438	12,656	9,548	17,392	10,369	
Bahamas	4,790	3,654	9,027	10,616	4,964	2,852	2,780	9,011	3,671	2,108	1,750	2,402	3,268	
Bahrain	52,180	54,239	69,468	81,132	87,484	94,843	110,824	149,867	112,397	157,353	170,625	157,566	140,681	
Bangladesh	181,163	175,364	146,272	198,495	180,410	140,264	164,626	215,368	321,041	522,527	598,029	506,986	546,531	
Barbados	2,461	2,496	3,949	2,252	2,123	3,328	5,610	7,234	3,548	3,275	5,935	1,267	1,809	
Belarus	826	165	262	207	156	372	597	1,585	1,543	471	336	297	340	
Belgium	466,753	515,865	451,898	544,717	757,119	822,053	1,228,383	1,276,104	652,437	1,126,642	1,471,194	1,724,420	1,031,544	
Belize	296	791	175	48	613	104	778	726	138	418	100	207	198	
Benin	458	692	571	293	275	1,343	1,074	11,284	561	403	1,465	1,573	1,535	
Bermuda	531	558	458	5,964	1,209	1,551	2,013	1,793	1,276	1,205	1,248	884	342	
Bhutan	9	49	36	357	78	7	42	37	30	9,880	41	564	181	
Bolivia	308	179	108	178	192	498	1,422	2,951	871	1,667	688	1,090	1,976	
Bosnia and Herzegovina	173	1,537	439	2,660	1,185	1,949	1,089	2,985	1,759	5,246	6,120	1,524	983	
Botswana	1,814	2,242	1,382	4,119	1,594	4,323	6,191	5,710	6,584	4,024	7,456	7,885	3,151	
Brazil	244,665	218,261	301,801	414,433	657,966	672,007	726,959	1,331,244	722,837	1,402,827	1,437,270	1,024,867	689,903	
British Indian Ocean Territories	4	19	2	175	0	114	348	361	0	123	0	0	0	
British Virgin Islands	120	1,970	2,220	391	5,656	99	221	174	88	520	2,097	16,616	109	
Brunei Darussalam	23,880	28,312	28,626	29,173	22,884	19,992	25,283	25,454	26,850	29,996	37,924	36,903	46,823	
Bulgaria	11,002	25,548	45,196	55,158	56,866	42,474	44,038	25,078	8,499	6,281	8,801	113,742	92,385	
Burkina Faso	145	384	260	856	1,123	1,572	5,712	2,265	6,417	4,034	9,365	23,948	7,631	
Burundi	58	51	123	1,013	540	94	11	142	82	80	45	256	63	
Cabo Verde	3	24	0	298	0	14	5	11	7	8	0	6	3	
Cambodia	5,899	7,851	11,467	19,218	35,863	34,341	34,308	36,828	33,044	22,474	30,548	28,387	26,887	
Cameroon	1,572	1,406	1,659	760	9,016	1,677	5,254	11,064	2,043	2,008	2,996	2,461	1,415	
Canada	936,977	1,019,245	1,118,351	1,435,047	1,346,047	1,265,495	1,477,797	1,294,341	1,123,992	1,124,374	1,556,556	1,725,617	1,044,369	
Cayman Islands	135	118	513	20,881	697	386	363	384	297	512	337	147	200	
Central African Republic	21	573	63	127	185	91	225	110	186	165	58	43	2	
Chad	428	3,580	48	720	1,312	2,943	237	1,886	282	421	578	660	2,353	
Chile	70,959	83,227	80,286	112,967	140,230	175,988	166,063	287,310	171,913	250,126	495,909	443,973	339,720	
China	3,920,722	4,557,235	5,915,000	8,055,446	12,229,988	15,391,768	19,546,472	27,225,182	33,360,386	52,314,041	73,804,137	75,836,312	87,311,419	
Christmas Islands	8,639	25,787	11,820	15,310	17,910	19,814	21,152	20,010	28,024	48,246	49,910	47,264	47,744	
Cocos (Keeling) Islands	6,093	4,184	3,005	6,268	4,821	4,603	5,155	6,425	12,251	10,518	13,749	19,688	6,465	
Colombia	14,405	17,153	51,929	25,558	14,756	23,978	23,928	34,829	44,740	30,763	42,691	29,547	36,842	
Comoros	97	137	236	69	0	8	51	58	293	154	0	149	86	
Congo	382	1,157	911	2,170	519	1,821	4,590	1,567	2,256	13,713	5,907	5,523	4,387	
Cook Islands	3,583	4,360	5,603	5,682	5,658	5,599	8,891	10,846	8,801	7,721	7,638	6,427	5,877	
Costa Rica	3,825	1,564	1,737	4,328	5,104	11,388	34,826	24,450	47,110	10,539	14,456	6,964	3,021	
Côte d'Ivoire	1,171	2,220	960	2,878	2,139	1,945	11,283	8,818	10,700	9,608	7,300	12,240	21,003	
Croatia	2,858	7,768	8,843	5,154	3,170	11,355	5,578	6,525	11,709	35,235	2,661	1,290	1,135	
Cuba	11,045	12,270	3,527	2,282	6,265	4,564	11,572	5,145	2,232	10,008	7,105	8,388	2,654	
Cyprus	7,038	7,131	6,998	8,327	7,987	10,415	12,703	9,767	6,410	8,137	9,015	4,830	2,663	
