List of importing markets for a product exported by Australia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	66,549,037	67,922,292	73,938,613	93,189,387	112,289,711	131,397,447	153,261,656	203,267,619	166,975,911	217,632,180	277,131,636	273,003,052	252,132,708	
Afghanistan								129	1,214	1,329	1,301	0		
Albania	335	759	499	493	897	1,215	2,048	2,538	1,587	1,023	4,994	2,398	1,895	
Algeria	41,200	64,265	31,764	55,812	56,035	99,263	59,202	93,583	41,267	36,432	43,799	18,732	13,057	
Andorra	106	72	150	221										
Anguilla	140	255	116											
Antigua and Barbuda					175		969		458	483	971	794	684	
Argentina	58,609	49,342	62,937	73,094	140,533	138,212	161,853	284,018	183,310	325,162	409,556	282,127	205,601	
Armenia	2,853	1,543	1,496	2,521	2,836	1,818	7,438	5,548	3,293	11,447	3,629	4,259	6,098	
Aruba					809				0	0	0	0		
Australia	231,997	291,529	328,638	402,596	418,272	542,862	621,824	723,479	661,403	872,954	694,268	982,671	1,051,154	
Austria	44,127	40,345	53,030	70,981	77,839	103,126	138,484	111,078	57,887	58,371	90,777	62,668	66,042	
Azerbaijan	1,176	2,552	5,712	10,888	8,142	8,415	7,068	4,412	5,712	4,327	5,845	7,198		
Bahamas	207	246	218	254	1,972	386	444	5,649	1,085	803	987	834		
Bahrain	284,306	268,996	286,575	180,164	429,518	333,685	724,729	853,453	607,882	626,102	422,005			
Bangladesh	236,576	206,737	155,004	258,370	212,452	172,577	195,636							
Barbados	3,583	2,745	4,877	3,748	3,646	4,895	5,852	10,413	5,996	5,266	8,109	1,650	3,767	
Belarus	2,384	776	1,223	1,243	3,592	2,748	3,549	4,436	6,612	4,325	4,051	3,541	8,416	
Belgium	501,977	587,884	567,664	775,548	1,086,010	1,567,599	1,778,778	1,665,750	975,619	1,323,094	1,909,054	2,143,187	1,933,856	
Belize	29	1,167	135	141	158	188	606	920	281	155	187	359	281	
Benin	135	189	10	163	248	282	147	619	691	848	375	994	2,044	
Bermuda												605	388	
Bhutan					319	377	271	428	307	850	500			
Bolivia	888	284	303	420	1,310	2,828	4,434	4,731	6,793	2,091	3,296	4,041		
Bosnia and Herzegovina			1,095	5,633	2,092	3,970	2,003	3,174	4,061	34,119	26,062	8,994	11,946	
Botswana	2,724	7,730	4,579	4,927	3,547	7,000	17,120	7,284	11,360	6,424	15,647	12,137	17,844	
Brazil	265,160	212,587	292,608	373,660	628,299	737,849	775,971	1,229,952	844,225	1,352,975	1,957,771	1,288,016	1,163,275	
Brunei Darussalam	38,787	39,015	36,966	39,436		33,079				49,690	48,805	50,873	51,074	
Bulgaria	6,817	26,443	71,294	73,223	72,482	55,705	46,182	65,710	7,768	7,188	9,777	11,683	198,204	
Burkina Faso	836	406	413	711	1,927		7,456	15,405	13,131	7,322	15,153	45,980		
Burundi	172	25	0	89	297	367	59	242	336	49	279	337	4,192	
Cabo Verde	41	0	2	146	326	9	19		16	0	1	6	0	
Cambodia	5,540	5,689	9,936	10,097	15,572	13,212	14,183	17,024	28,897	15,771	15,928	24,328		
Cameroon	2,233	2,015	2,035	1,664	1,249	1,104	3,136	15,277	1,680	6,382	9,149	3,008		
Canada	1,049,308	1,097,421	1,168,722	1,419,329	1,442,334	1,403,981	1,663,660	1,550,066	1,428,782	1,572,251	1,785,187	2,079,890	1,742,621	
Central African Republic	14	55	54			0	365	299	163	104	0	26	136	
Chile	84,485	97,110	86,414	149,384	171,784	206,875	229,908	311,046	235,986	326,681	520,404	474,289	414,281	
China	5,425,925	5,850,572	7,300,072	11,552,489	16,193,627	19,323,299	25,801,494	37,435,133	39,438,780	61,105,168	82,667,477	84,568,209	98,593,122	
Colombia	20,009	21,330	47,997	31,838	22,259	24,485	27,261	51,473	53,436	35,919	53,686	53,128	63,858	
Comoros	3	0	0	0	0	0	0	0	22					
Congo							372	381	7,957	7,613	20,687	252,812	203,626	
Cook Islands					10,230									
