List of importing markets for a product exported by Austria Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	66,492,424	73,112,665	89,256,767	110,829,757	117,721,712	134,169,531	156,588,407	172,227,952	137,142,572	152,578,527	177,613,242	166,792,264	174,667,605	
Afghanistan	142	5,399	3,742	26,407	19,532	15,429	15,002	8,176	9,931	19,682	12,869	16,767	14,607	
Africa not elsewhere specified	0	0	0	507	504	633	855	434	0	0	0	0	0	
Albania	8,213	15,594	19,899	30,305	49,849	41,168	64,542	82,447	79,155	77,851	99,236	70,458	64,868	
Algeria	90,035	65,881	86,242	130,853	168,166	159,179	258,504	254,205	213,944	203,589	201,928	282,008	296,638	
Andorra	1,338	2,765	2,703	8,236	8,575	6,344	6,483	8,531	3,719	4,207	4,726	5,186	6,844	
Angola	1,596	2,037	7,558	5,194	4,033	11,851	18,092	28,962	35,198	12,747	22,578	33,430	26,449	
Anguilla	44	45	173	61	64	468	399	40	94	275	77	21	18	
Antigua and Barbuda	4,018	66	159	214	1,916	640	648	557	228	260	232	227	133	
Area Nes	0	165,675	202,310	102,786	205,983	188,209	161,657	31,002	0	0	0	0	0	
Argentina	81,156	28,530	48,430	82,044	90,213	115,300	139,577	170,205	111,510	149,037	172,689	240,762	154,398	
Armenia	4,438	3,849	4,399	8,667	7,189	47,167	123,444	168,550	73,277	70,277	56,683	67,148	147,409	
Aruba	186	257	317	637	1,219	477	1,045	1,416	597	462	785	879	715	
Australia	230,754	353,395	500,448	630,151	703,565	772,102	910,764	1,099,794	779,594	847,737	942,800	968,560	995,295	
Azerbaijan	25,635	14,143	10,387	29,883	30,423	32,967	56,710	83,791	66,935	99,509	136,103	152,455	156,048	
Bahamas	1,057	1,364	793	1,957	1,600	4,470	21,439	22,665	11,560	13,350	12,816	11,970	13,846	
Bahrain	13,790	10,600	22,187	44,270	26,179	28,626	43,746	61,651	30,822	22,608	20,240	32,276	24,522	
Bangladesh	11,185	14,738	15,377	20,169	13,555	21,273	15,498	111,331	58,430	48,498	37,713	83,868	46,034	
Barbados	1,764	818	596	1,036	1,349	2,407	2,204	3,323	1,587	1,277	1,284	1,522	846	
Belarus	35,465	36,703	55,634	65,564	86,838	100,292	144,947	208,805	207,434	274,420	305,073	325,554	386,722	
