List of importing markets for a product exported by Azerbaijan (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	1,485,719	1,740,738	1,928,436	2,514,846	4,110,286	8,627,190	14,437,763	24,630,988	18,168,752	22,690,368	32,497,519	28,708,782	28,784,621	
Afghanistan								992	6,070	8,305	70,477	0		
Albania	792	24	0	0	2,290	811	1,816	21,108	14,133	21,516	10,968	15,576	1	
Algeria	0	0	0	0	1,597	0	134	0	0	447	0	0	1	
Andorra	0	0	0	3										
Argentina	0	0	0	1	5	121	99	70	115	15	0	1	51	
Australia	0	0	5	6	17	8	27	81	117,708	130,663	86,796	86,933	276,038	
Austria	43,475	40,743	37,135	43,784	132,879	90,240	18,414	622	51,227	108,215	83,584	200,760	606,689	
Bahrain	0	0	0	0	6	0	0	0	0	4,567	10			
Bangladesh	0	2	1,452	964	829	1,085	2,140							
Barbados	0	0	4	0	4	1	0	0	0	0	0	0	0	
Belarus	3,495	2,222	1,720	1,215	1,952	2,722	3,262	6,227	4,288	6,013	825,790	12,213	12,600	
Belgium	2,797	2,395	2,349	498	4,879	4,206	12,577	31,374	1,483	2,205	33,377	2,907	13,628	
Belize	0	0	0	0	0	0	2	0	0	0	0	0	0	
Bolivia	17	0	0	0	0	0	1	0	0	1	0	0		
Bosnia and Herzegovina			0	34	15	40	7	58	7	8	0	34,117	1	
Botswana	0	107	35	0	0	0	0	0	0	0	0	0	0	
Brazil	379	0	101	4	0	77,628	278,130	194	109	194	43	180	291	
Bulgaria	719	612	30	303	819	2,683	7,579	15,158	4,292	3,063	250	319	299	
Burkina Faso	0	0	0	0	0		2	11	0	11	0	0		
Burundi	0	0	0	0	191	0	0	0	0	0	0	0	2	
Cabo Verde	0	0	0	0	0	0	0		0	0	1	0	0	
Cambodia	0	1	0	0	1	0	0	0	0	377	0	0		
Cameroon	5	0	0	0	0	0	35	51	15	17	2	14		
Canada	305	496	483	628	377	43,610	204,298	1,098,530	1,026,038	527,564	439,571	1,232,943	451,818	
Central African Republic	0	0	0			0	0	0	0	2	238	0	0	
Chile	0	0	0	0	0	0	0	0	0	0	5	2	0	
China	4,276	1,455	34,669	40,209	24,401	22,019	1,442	114,864	128,317	86,547	193,720	214,162	232,041	
Colombia	11	0	0	287	8	7	25	36	9	74	28	0	7	
Comoros	0	0	0	0	0	0	0	41	0					
Congo							43	216	0	0	16	38	0	
Costa Rica	16	0	0	0	2	4	1	1	0	0	14	0	0	
Côte d'Ivoire	0	0	0	0	0	0	0	3	11	0	0	0		
Croatia	268	3,096	1	49	0	6	73	39	281,617	437,900	790,055	422,160	214,495	
Cuba	45	0	259	106	84	0								
Cyprus	459	48	0	0	1,150	0	38	0	2,889	1,442	14	0	31	
Czech Republic	109,342	342,937	235,448	285,659	583,665	972,920	1,025,396	1,568,827	688,535	1,194,049	1,725,700	1,629,355	1,372,843	
Denmark	75	3	59	553	1,157	77	14,564	428	542	24	782	19,750	34,408	
Dominican Republic	0	0	0	68	399	0	0	0	0	0	0	6	0	
Ecuador	0	5	2	0	0	9	0	22	0	2	0	104	1	
Egypt	185	339	29	2,209	1,681	77	1,649	69	1	223	47	166	31	
El Salvador	5	0	0	0	0	1	0	0	0	0	0	0	0	
Estonia	773	289	201	215	1,206	6,032	538	863	635	414	1,267	984	1,052	
Ethiopia	0	0	0	0	0	2	345	19	21	6	1	0		
Fiji		0	2	0	4	0	9	0	1	0	1	0		
Finland	83	0	14	14,812	22,180	117	444	388	150	543	69	38	63	
France	121,172	148,099	168,352	110,619	495,845	1,124,431	2,260,092	2,473,759	1,760,380	1,644,574	4,296,079	2,265,500	2,242,786	
French Polynesia	0	0	0	2	12	3	0	3	2	0	0	0	0	
Gabon	0	0	79	17	54	17	16	11	10					
Gambia	0	0	0	0	0	0	0	0	0	27	0			
Georgia	73,206	80,295	93,711	155,816	233,343	318,489	381,939	607,644	376,433	464,220	610,794	633,542	638,107	
Germany	244,997	271,444	220,128	214,346	400,892	785,261	1,508,960	2,757,062	1,675,398	1,713,853	2,059,912	1,893,199	3,023,419	
Ghana	0		0		0	0	15	101	1	0	1,329	929		
Greece	12,413	5,471	38,796	28,428	34,951	71,119	52,105	89,567	73,995	13,184	162,532	634,841	924,288	
Guatemala	0	0	0	2	0	0	0	0	0	0	0	0	0	
Guinea	0	0		0	0	0	0	181		31	358	22		
Guyana	0	0	0	14	0	0	0	0	0	0	0	0	0	
Honduras	0	17	178	0	0	0	0	0	0	0	0	0	0	
Hong Kong, China	84	32	16	0	7	191	36	885	51	306	241	2,955		
Hungary	167	49	38	131	117	8	156	35	1	370	99	803	60	
Iceland	0	0	0	0	0	0	0	0	0	0	0	5	0	
India	9	1,708	1,413	7,740	6,848	67,733	75,059	233,868	102,539	326,611	479,234	1,757,382	977,285	
Indonesia	0	13	0	168,793	13	65,493	98,515	100,012	756,344	896,390	1,760,788	1,233,541	1,738,496	
Iran (Islamic Republic of)	20,541	20,716	77,806	135,298	136,792	0				127,715	40,215			
Ireland	231	211	91	81	17	49	105	90	9	97	268	338	349	
Israel	141	180	562	263	371	691	295	399	307	317	583	1,094	1,991	
Italy	606,271	550,846	717,118	702,384	1,216,479	2,889,946	3,662,356	6,209,701	4,535,292	7,081,220	11,510,342	9,201,762	9,158,296	
Jamaica	0	0	0	0	16	16	0	0	0	0	0	0		
Japan	3,670	704	2,705	1,056	676	1,386	185,698	52,595	134,409	36,192	786	24,934	1,035	
Jordan	0	2	41	2		0	60	14	1	5	0	31	19	
Kazakhstan	10,732	15,472	13,688	16,105	21,292	70,810	86,597	256,715	145,442	102,635	61,783	41,583	73,095	
Kenya	0	0	0	0	0	6	7	0	0	0	0			
Kiribati					0		0	0	0	10	0	0		
Korea, Republic of	83	91	1	649	103	13	315,648	12,422	9,035	49	269	87	3,361	
Kuwait	0	0	13	0		4	3	13						
Kyrgyzstan	436	2,374	353	390	1,851	7,670	1,991	10,483	5,157	4,202	11,153	3,731		
Latvia	459	1,562	763	964	2,476	1,936	1,979	2,556	1,980	3,198	4,672	2,619	1,618	
Lebanon	9,475	110	57	6,083	18,531	5,727	3,248	20,775	36	45,770	112	84	77	
Lithuania	2,810	4,218	4,636	7,582	6,919	4,120	6,688	9,968	5,424	2,162	6,690	3,607	3,315	
Luxembourg	845	750	517	258	278	348	320	5,975	10	5	8	6	31	
Macao, China	0	1	0	0	0	0	0	0	0	0		0		
Macedonia, The Former Yugoslav Republic of	0	255	1	0	0	3	87		167	237	0	0	74	
Madagascar	0	0	0	0	0	0	17	7	1	0	0	0	0	
Malawi	0	0	5	0	0	1	4	1	14	1	66	4	40	
Malaysia	12	4	114	48	2	52	324	23	34	49,250	55,682	41,710	3,038	
Mali	0	0	0	7	0	0	40	195		6	45	2		
Malta	0	0	0	1,012	2,927	298	1	16,030	5,298	4,988	21,658	10,360	3,586	
Mauritania	0	0	0	0	0		0	0	0	0	6	0		
Mauritius	0	0	0	10	0	0	0	0	4	0	0	0	4	
Mayotte	0	0	0	1	1	0	0	1	0					
Mexico	0	0	0	103	32	12	83	1,320	10	46	82	21	541	
Mongolia	57		0	0	0	0	24						487	
Montenegro						0	0	728	28	192	1	0	0	
Morocco	0	92	1	19	27	0	5	27	0	0	555	148	0	
Mozambique	39	0	0	38	17	30	23	11	3	160	20	1	15	
Namibia	4	0	4	45	1	195	3,257	127	0	0	0	0	0	
Nepal			0						4	0	0			
Netherlands	772	828	1,433	4,445	5,103	42,332	307,694	543,697	219,605	103,897	1,176	205,779	95,520	
New Caledonia	0	0	0	0	2	0	39	0	0	0	1	12	7	
New Zealand	0	1	0	1	5	1	89	39	121	76	113	128	188	
Nicaragua	0	0	0	0	0	0	0	0	0	0	0	0	0	
Niger	0	0	0	0	0	748	298	12	0	3,714	25	1	2	
Nigeria	0	0	0			0	0	11	109	1	0	0		
Norway	83	164	1,619	4,582	579	3,423	2,116	9,913	2,676	1,223	2,567	2,089	5,138	
Oman	0	5	79	0	0	0	0	1	0	0	0	1	0	
Pakistan			24	439	1,039	6,521	1,741	230	28	36	1	0	58	
Palestine, State of							0	0	0	4	0	0		
Panama	0	0	0		0	0	0	193	130	132	0			
Papua New Guinea	0	20	0	0							0	77		
Paraguay	0	0	0	0	0	0	0	0	0	0	0	0	0	
Peru	6	21	1	0	0	1	0	2	14	0	0	81		
Philippines	0	0	0	10	0	0	0	1	0	14	3	0	0	
Poland	1,601	3,374	4,611	7,078	11,062	6,487	4,449	167,174	10,295	10,365	4,324	4,333	19,905	
Portugal	5	5,558	0	3,702	1	44,514	84,977	78,366	34,290	333,514	403,914	640,256	569,004	
Qatar	3	59	9	591	22	257	39	262	95	41	291	148	251	
Republic of Moldova	33	105	50	63	4,527	1,841	196	338	224	204	2,680	453	274	
Romania	74	169	1,420	162,520	115,207	95,558	121,603	142,891	58,688	100,202	61,701	89,632	51,152	
Russian Federation	81,081	86,767	93,147	139,355	206,408	259,591	325,902	411,502	311,000	385,865	571,132	563,600	637,226	
Rwanda	0	0	0	0	23	0	67	163	0	65	0	0	15	
Saint Kitts and Nevis	0	0	0	0	0	0	0	0	0	0	1			
Saint Vincent and the Grenadines	0	0	0	0	0	0	0	0	7	4	1	0		
Samoa	0	0	0	0	0	0	0	0	1	0	0	0	0	
Saudi Arabia	971	58	17	29	231	117	47	0	1,297	85	0	337		
