List of importing markets for a product exported by Bahamas (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	1,178,330	1,347,221	1,601,944	1,787,316	2,578,869	2,340,762	2,295,911	2,905,960	2,423,810	3,102,223	3,052,961	2,964,197	2,545,558	
Albania	0	0	0	0	0	0	123	156	54	85	0	1	2	
Algeria	767	0	31	9	0	151	0	57	0	26	395	537	0	
Andorra	158	294	295	214										
Anguilla	21	45	299											
Antigua and Barbuda					13,925		108		2	6	285	115	133	
Argentina	874	468	563	1,145	3,467	2,473	35,380	4,067	2,990	4,449	5,245	5,536	24,137	
Armenia	730	0	10	671	2,295	6	23	46	65	14	1	0	0	
Aruba					3,703				3,108	2,523	4,756	4,254		
Australia	1,391	1,489	1,694	1,813	2,988	3,039	2,125	2,299	2,056	1,847	2,462	3,320	5,457	
Austria	13	370	1,673	146	126	86	1,727	1,777	13	19	4	9	4,407	
Azerbaijan	0	0	0	0	0	0	2	0	0	0	0	0		
Bahrain	24	91	71	53	121	9	38	113	80	207	8			
Bangladesh	1,332	0	8	0	33	23	8							
Barbados	238	176	136	55	1,174	179	403	215	150	30	106	310	284	
Belarus	250	251	737	37	41	81	111	0	88	71	50	56	92	
Belgium	934	63	115	110,226	317	1,379	5,774	7,929	11,187	15,297	18,526	13,459	14,300	
Belize	149	285	664	1,009	1,228	1,424	763	34	0	42	44	7	2	
Benin	28	8	1	0	0	421	0	0	749	0	0	0	0	
Bermuda												543	61,615	
Bolivia	4	0	38	15	36	55	4	1	20	0	0	61		
Bosnia and Herzegovina			17	149	183	116	218	188	184	91	4	3	8	
Botswana	0	0	0	0	0	1	0	0	0	0	134	0	0	
Brazil	2,699	4,335	417	2,350	5,704	2,054	2,709	23,546	2,641	52,778	45,118	347	1,193	
Brunei Darussalam	0	0	0	0		0				0	32	0	1	
Bulgaria	0	36	0	206	182	411	796	99	719	144	16	2	1	
Burkina Faso	0	286	0	13	0		0	0	7,459	121	0	0		
Cabo Verde	1	0	55	1	1	0	149		3	11	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	0	0	0		
Cameroon	0	0	0	0	0	0	0	0	0	1	24,932	0		
Canada	8,896	10,280	34,436	42,828	47,125	20,531	59,165	69,249	27,253	53,539	22,111	146,698	42,535	
Chile	47	9	109	102	121	133	280	226	133	40	35	1,458	19	
China	22	58	781	695	188	68	18,119	609	148	153	62,901	116,885	77	
Colombia	123	100	324	9	33	3	547	308	137	60	28	0	39,762	
Comoros	0	0	0	0	0	0	0	0	28					
Congo							37,550	0	0	0	0	6	0	
Costa Rica	24	16,545	8,417	7,554	123	130	2,409	6,417	3,800	5,800	4,740	2,045	1,589	
Côte d'Ivoire	0	1,501	2,238	5	1	13	10	4	23	11	0	136		
Croatia	443	425	231	288	334	7,030	537	715	404	59	14	7,970	31	
Cuba	8,627	8,829	17,670	120	65	636								
Cyprus	318	303	335	2	7	10	2	2	0	0	0	8	50	
Czech Republic	306	360	474	1,081	939	1,888	3,225	2,163	1,325	442	436	403	926	
Denmark	36	21	11,059	176	504	848	86	5	141	157	103	800	543	
Dominica	56	33	309	43	149	36	19	10	42	70	290	1,884		
Dominican Republic	661	139	13	47	12	51	112	1,896	134,865	266,201	161,262	359,222	410,051	
Ecuador	9,965	74	39,453	61	1,073	369	495	14,429	14,809	253,552	167,988	143,819	117,599	
Egypt	0	0	0	0	0	0	0	0	0	2	0	4	109	
El Salvador	9,494	13,776	2,881	4,401	0	2	3,542	7,686	9,381	8,734	20	29	404	
Estonia	29	62	254	101	8	59	435	680	877	468	1,646	494	3,158	
Ethiopia	0	0	298	153	0	74	22	75	2	0	0	16,526		
Faroe Islands	21	0	242	0	30	10	2	0	0					
Fiji		9	11	21	21	12	8	3	0	0	0	50		
Finland	911	770	639	595	43	82	368	1,988	90	13	140	1,139	1,441	
France	121,295	91,922	70,821	44,060	61,232	59,008	49,742	43,724	38,306	29,443	45,987	33,596	20,036	
French Polynesia	1	5	0	3	0	32	5	4	7	0	0	0	1	
Gabon	2	0	97	0	0	0	0	6	0					
Gambia	0	0	0	6	50	5	0	0	5	0	2			
Georgia	307	3,168	15	2	0	63	0	362	0	0	0	1	0	
Germany	130,119	149,986	112,972	97,223	140,615	328,172	180,241	221,615	146,800	345,080	6,631	16,463	53,860	
Ghana	15,032		3,367		339	1,106	208	430	64,179	375	19	82		
Greece	9,581	26,549	22,090	1,489	30,893	1,118	84,196	18,355	670	532	663	556	862	
Greenland	0	0	33	0	0	126	0	60	79	49	53	45	30	
Grenada	62	18	1	2	6	68	56	20						
Guatemala	3,293	574	66,665	57,835	58,639	37,867	50,486	25,354	60,679	102,713	14,992	54	218	
Guinea	0	0		0	0	0	13	0		13	0	0		
Guyana	47	150	20	141	32	0	147	90	243	28	5	313	392	
Honduras	115	3,011	363	633	940	26,950	12,443	30,215	15,214	12,956	1,621	71	44	
Hong Kong, China	67	13	5	6	33	188	7	76	130	269	385	454		
Hungary	262	419	531	3,179	2,530	2,706	3,336	3,027	2,518	2,095	2,064	1,878	1,844	
Iceland	1,800	1,345	2,092	325	1,802	1,345	1,093	415	1,599	1	2	0	0	
India	73	20	417	0	46,411	12,158	106	45,637	418	564	7,151	196	95,962	
Indonesia	0	14,147	0	211	5,729	0	209	1,888	373	17,128	810	105	6,473	
Ireland	313	246	416	262	477	74	1,645	6,031	5,307	7,169	9,697	9,293	9,600	
Israel	39	800	1,287	454	64	162	153	1	14	84	26	1	592	
Italy	4,337	8,587	32,863	3,973	7,094	44,488	6,006	5,023	3,135	3,888	3,001	6,383	7,559	
Jamaica	876	886	5,830	873	1,207	1,933	1,524	1,201	2,380	11,802	55,417	49,133		
Japan	2,593	1,994	476	786	983	84,867	2,986	225,760	63,094	351	411	423	73,398	
Kazakhstan	810	1,537	608	356	53	203	361	541	418	160	27	37	54	
Kenya	702	113	10	12	20	99	8	17	58	1	0			
