List of importing markets for a product exported by Bahrain Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	
World	5,551,309	5,794,198	6,631,601	7,516,029	10,238,578	11,661,614	13,664,874	13,082,980	8,384,000	16,059,213	22,561,917	
Afghanistan	4	13	0	301	32	3	87	313	2,331	2,978	28	
Albania	0	150	0	126	0	7	0	0	0	0	0	
Algeria	25,283	26,069	17,367	14,593	12,905	11,292	8,659	25,149	25,547	51,580	63,331	
Andorra	0	0	0	0	0	220	638	0	0	137	13	
Angola	0	0	0	0	0	0	0	750	3,655	0	1,195	
Antigua and Barbuda	0	0	0	0	0	0	0	0	0	14	0	
Area Nes	3,682,629	3,957,229	4,681,619	5,552,743	7,786,859	9,217,538	10,799,014	8,629,311	5,373,640	11,506,053	15,524,835	
Argentina	2,650	998	428	0	0	6,796	0	0	43	11	452	
Armenia	0	0	0	7	0	0	0	0	0	129	0	
Australia	17,404	19,231	48,931	87,484	41,430	44,593	116,381	171,366	54,003	76,148	109,371	
Austria	4	183	348	550	722	2,578	4,742	634	47	116	117	
Azerbaijan	0	21	0	0	103	119	0	166	36	188	0	
Bahamas	0	0	0	0	0	0	0	0	0	0	0	
Bangladesh	30	385	79	400	333	362	479	1,208	1,190	1,942	4,060	
Barbados	0	46	0	0	0	0	0	0	0	0	0	
Belarus	0	0	0	0	453	82	305	0	0	0	0	
Belgium	5,890	7,792	4,888	13,584	11,208	12,264	14,066	13,850	7,791	3,299	3,634	
Belize	0	0	0	0	0	0	0	0	0	0	0	
Benin	0	0	0	0	0	0	0	0	0	0	0	
Bermuda	0	0	27	0	0	0	0	0	0	0	0	
Bhutan	0	0	134	0	0	33	0	0	0	4	0	
Bolivia	0	0	0	0	0	0	0	0	260	639	0	
Bosnia and Herzegovina	0	0	80	0	0	0	208	611	86	0	16,985	
Botswana	0	0	0	0	0	0	0	0	0	23	0	
Brazil	0	56	23	40	0	19	1,616	1,325	288	641	22,839	
British Virgin Islands	0	0	0	0	0	0	0	0	0	0	0	
Brunei Darussalam	99	1,676	46	45	0	764	0	0	55	0	0	
Bulgaria	32	43	0	0	29	684	0	247	74	272	0	
Burkina Faso	0	0	0	0	31	0	0	0	0	0	1,516	
Burundi	0	0	0	0	0	0	147	0	0	0	23	
Cabo Verde	0	0	0	0	0	0	0	0	0	0	4	
Cambodia	0	0	0	0	0	0	0	138	79	83	0	
Cameroon	0	0	7	0	64	0	40	184	0	17	0	
Canada	1,821	10,457	1,102	1,471	602	1,231	266	327	177	1,137	739	
Central African Republic	412	233	0	0	0	0	2,212	0	804	42	0	
Chad	0	0	0	0	0	0	0	0	400	1,927	0	
Chile	0	0	0	0	0	0	53	124	293	220	154	
China	35,430	32,923	13,311	28,180	37,498	23,154	35,752	117,498	81,735	173,220	397,038	
Christmas Islands	0	0	0	0	0	0	0	0	0	0	0	
Colombia	0	43	0	74	0	0	40	0	109	574	479	
Comoros	0	0	0	0	0	0	0	0	0	0	0	
Congo	0	0	0	0	0	385	0	0	0	38	0	
Cook Islands	0	0	0	0	0	0	0	0	0	0	0	
Costa Rica	0	0	0	0	0	0	0	0	0	105	336	
Côte d'Ivoire	0	0	13	0	0	49	0	0	19	39	0	
