List of importing markets for a product exported by Bahrain (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	2,876,919	2,739,511	2,922,062	3,813,443	5,375,013	6,801,045	7,570,497	10,410,435	6,224,092	8,656,518	9,863,100	11,511,670	8,352,057	
Albania	5	0	38	0	22	0	0	95	42	3	10	35	1	
Algeria	12,386	21,698	5,781	13,704	8,200	14,425	26,476	43,030	14,113	21,233	65,523	48,057	42,841	
Andorra	0	0	0	39										
Argentina	2,438	0	0	0	4,450	8,068	1,435	0	0	17,328	0	5,044	6,821	
Armenia	0	0	0	0	0	2	459	661	123	239	70	42	5	
Aruba					0				0	0	0	0		
Australia	25,752	35,896	69,195	97,043	85,956	91,655	120,311	181,034	66,728	42,137	111,822	69,916	72,890	
Austria	1,878	1,523	2,747	2,846	2,104	1,452	3,609	3,474	4,544	2,873	5,679	15,919	13,063	
Azerbaijan	0	1	0	0	96	7	11	45	13	58	208	51		
Bangladesh	2,691	3,194	10,140	5,899	1,491	1,012	487							
Barbados	45	106	15	30	0	31	0	1	0	3	1	25	2	
Belarus	0	0	0	0	0	0	0	0	0	0	0	712	759	
Belgium	26,815	23,669	29,005	31,592	37,773	39,655	39,354	15,410	9,428	4,698	48,397	306,092	264,625	
Belize	0	0	0	0	0	1	0	1	0	0	0	0	0	
Benin	2,658	10,902	11,858	4,699	9,005	7,542	0	0	0	0	0	5	0	
Bermuda												0	1	
Bhutan					0	0	0	0	158	0	0			
Bolivia	0	28	0	9	0	1	0	0	6	0	0	2		
Bosnia and Herzegovina			6	3	124	83	1,510	468	129	247	24	12	26	
Botswana	0	11	17	0	0	0	0	1	81	85	1	0	34	
Brazil	0	31	0	0	0	32,562	1,830	29,940	1,479	42,431	15,937	32,376	53,482	
Brunei Darussalam	1	8	6	6		6				3	10	4	11	
Bulgaria	0	1,183	0	2	6	5	65	13	37	620	21	889	567	
Burkina Faso	9,939	14,719	1	13	0		0	8	0	0	0	0		
Burundi	0	0	0	0	0	4	0	0	0	0	484	3,803	3,194	
Cabo Verde	0	0	3	0	0	0	0		0	0	0	0	0	
Cambodia	0	0	3	2	61	82	9	83	0	0	0	742		
Cameroon	1,395	2,070	1	0	0	0	54	20	194	87	2	2		
Canada	7,629	8,113	8,038	4,816	6,281	89,660	7,887	3,646	4,194	3,032	4,322	78,738	53,279	
Chile	0	0	384	304	3	0	0	149	269	119	216	243	196	
China	77,677	51,758	52,130	92,396	68,940	64,815	102,446	131,317	211,237	251,912	325,836	348,345	304,138	
Colombia	2,402	2,606	875	1,340	192	3,052	2,183	121	563	113	307	49	69	
Congo							0	0	18	20	0	0	0	
Costa Rica	13	7	3	7	15	19	11	31	7	9	10	61	42	
Côte d'Ivoire	15,079	9,215	45	2	140	270	410	123	62	64	80	1		
Croatia	8	22	1	95	216	284	321	226	190	3,282	7,794	1,993	1,174	
Cuba	661	653	159	0	0	0								
Cyprus	209	255	494	701	493	4,258	2,602	233	1,272	7,221	234	557	602	
Czech Republic	48	3	100	136	260	872	214	1,267	414	642	8,448	56	207	
Denmark	20,406	18,437	625	945	1,490	2,434	746	10,514	2,436	27,882	42,206	104,224	32,002	
Djibouti									221					
Dominica	0	0	0	2	0	0	0	0	0	0	0	2		
