List of importing markets for a product exported by Bangladesh Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	
World	5,388,747	5,417,273	6,403,426	8,267,482	9,331,583	11,696,700	13,142,953	
Afghanistan	6,071	4,947	1,957	7,054	896	1,913	2,032	
Africa not elsewhere specified	0	0	0	0	0	0	0	
Albania	0	14	0	0	9	16	6	
Algeria	464	565	639	582	1,163	973	2,768	
America not elsewhere specified	0	0	0	1	0	0	0	
Andorra	47	5	18	33	8	43	45	
Angola	9	18	633	746	67	542	426	
Anguilla	0	0	0	106	8	4	0	
Antigua and Barbuda	0	0	0	0	0	0	0	
Area Nes	1	127	10,940	75,911	125,840	167,699	196,124	
Argentina	1,511	160	441	792	1,383	1,758	2,542	
Armenia	0	0	0	7	0	1	0	
Aruba	0	6	0	0	0	28	0	
Australia	24,398	30,646	21,778	32,693	32,426	23,349	36,492	
Austria	11,166	10,483	16,604	19,294	20,070	30,973	37,236	
Azerbaijan	0	0	96	1	303	37	138	
Bahamas	20	14	12	40	1	0	0	
Bahrain	776	1,033	2,277	3,210	6,408	1,058	1,873	
Bangladesh	0	0	0	0	0	0	0	
Barbados	0	0	0	0	0	1	33	
Belarus	0	0	22	27	164	689	984	
Belgium	195,348	223,875	288,280	308,876	328,704	399,904	504,175	
Belize	0	0	0	0	0	87	174	
Benin	150	302	22	406	351	430	2,662	
Bermuda	17	12	13	1	0	0	36	
Bhutan	397	50	2,294	3,928	1,628	35	58	
Bolivia	0	0	0	4	4	16	13	
Bosnia and Herzegovina	0	0	4	40	17	475	90	
Botswana	0	0	0	0	4	154	31	
Brazil	6,339	7,247	6,497	5,652	6,133	5,988	17,752	
British Indian Ocean Territories	0	0	0	10	0	48	0	
British Virgin Islands	0	0	0	0	0	0	28	
Brunei Darussalam	0	2	10	18	106	63	52	
Bulgaria	604	675	883	670	1,003	1,518	4,175	
Burkina Faso	0	0	0	12	30	11	14	
Burundi	0	313	0	308	88	0	0	
Cabo Verde	0	0	0	0	0	0	0	
Cambodia	343	451	982	1,084	623	415	946	
Cameroon	700	605	594	1,390	1,482	940	1,538	
Canada	105,034	92,637	230,020	326,596	351,789	420,660	454,770	
Cayman Islands	0	8	0	17	0	0	0	
Central African Republic	6	0	0	0	0	0	10	
Chad	0	0	0	0	0	0	0	
Chile	574	1,021	630	849	1,486	2,293	3,227	
China	10,301	23,892	25,955	57,500	65,198	776,652	222,218	
Christmas Islands	0	0	0	0	0	0	0	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	
Colombia	24	103	91	338	354	1,291	2,386	
Comoros	0	0	0	23	19	62	16	
Congo	310	135	81	431	2,594	122	756	
Cook Islands	0	0	0	0	0	70	0	
Costa Rica	246	524	351	353	561	660	659	
Côte d'Ivoire	3,344	7,471	3,204	20,235	18,764	26,656	2,378	
Croatia	0	2	55	452	666	530	777	
Cuba	0	0	0	0	126	718	217	
Cyprus	651	367	657	1,137	1,211	1,109	986	
Czech Republic	1,718	1,593	2,754	3,162	7,223	12,870	14,951	
Democratic Republic of the Congo	41	0	19	1	0	31	520	
Denmark	56,153	61,796	75,729	84,939	76,517	106,696	125,074	
Djibouti	0	0	797	944	703	454	271	
Dominica	0	0	14	16	6	20	0	
Dominican Republic	0	1	1	164	64	219	124	
Ecuador	0	0	126	8	134	425	743	
Egypt	9,682	9,180	3,785	8,525	12,059	15,561	14,655	
El Salvador	163	55	180	354	320	378	268	
Equatorial Guinea	73	137	7	0	0	0	0	
Eritrea	0	0	11	28	0	0	0	
Estonia	0	0	7	178	116	215	664	
