List of importing markets for a product exported by Bangladesh (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	6,648,014	6,682,123	8,333,263	10,351,426	10,460,034	13,306,858	14,322,657	17,056,974	17,289,830	20,593,215	26,935,222	26,955,669	30,693,492	
Afghanistan								304	361	1,238	1,227	0		
Albania	7	8	0	5	1	128	1,006	1,012	489	627	1,306	1,704	2,421	
Algeria	242	606	1,030	857	1,410	867	2,715	4,137	4,255	9,501	6,872	11,357	13,218	
Andorra	222	116	150	810										
Antigua and Barbuda					5		247		15	19	41	38	46	
Argentina	2,545	1,074	473	1,089	1,319	2,540	3,582	6,026	6,346	6,701	11,749	8,761	9,256	
Armenia	0	0	0	0	0	86	105	284	699	593	1,092	2,106	5,686	
Australia	23,952	24,505	28,239	32,276	33,970	28,771	31,954	45,550	117,238	128,644	250,948	387,157	447,817	
Austria	66,619	72,285	112,097	149,981	146,704	219,727	241,364	269,379	30,276	25,813	49,645	55,199	84,167	
Azerbaijan	24	8	0	58	34	25	1	852	36	53	273	44		
Bahrain	1,693	1,941	2,334	1,503	1,813	771	999	3,873	2,880	3,669	6,970			
Bangladesh	0	0	213,263	251,887	0	0	54,898							
Barbados	53	36	39	63	97	96	366	139	89	124	96	105	93	
Belarus	112	53	81	657	820	1,194	2,488	3,950	4,601	7,982	13,111	12,781	17,895	
Belgium	269,633	275,282	372,566	447,663	442,034	564,173	611,907	649,266	518,284	638,228	844,544	685,027	934,140	
Belize	0	2	0	0	0	1	3	27	44	72	94	108	45	
Benin	106	15	10	349	316	9	197	62	58	148	152	250	201	
Bermuda												241	274	
Bhutan					3,358	1,752	1,818	2,863	2,423	4,154	3,658			
Bolivia	11	11	431	113	344	195	355	678	295	261	712	675		
Bosnia and Herzegovina			251	373	1,054	2,017	2,471	4,792	5,621	5,785	8,924	11,648	14,104	
Botswana	55	12	26	2	9	17	93	1	3	19	12	2	28	
Brazil	17,340	10,661	11,815	11,086	7,460	11,946	25,184	79,630	78,534	88,146	156,521	186,514	199,094	
Brunei Darussalam	3	30	71	4		64				228	304	68	288	
Bulgaria	623	1,749	2,003	1,374	2,896	3,892	6,505	8,962	2,211	1,611	2,461	1,962	8,696	
Burkina Faso	6	577	0	42	125		16	8	103	260	96	379		
Burundi	54	0	351	326	345	50	33	169	63	192	71	440	132	
Cabo Verde	0	0	14	29	0	0	6		3	0	28	10	22	
Cambodia	809	564	652	554	371	572	515	2,523	1,348	1,356	2,239	2,724		
Cameroon	1,109	764	1,340	1,299	948	1,172	1,530	1,288	1,773	1,640	1,900	1,534		
Canada	122,584	104,993	251,071	377,906	404,644	479,321	507,140	612,497	710,751	813,254	1,072,413	1,129,490	1,156,251	
Central African Republic	0	0	0			0	0	193	3	0	0	14	0	
Chile	426	1,018	856	761	1,659	2,410	2,543	3,326	8,314	9,260	17,698	22,660	36,295	
China	16,699	32,359	33,393	57,007	78,603	98,835	114,171	131,910	140,722	268,876	449,036	479,727	599,003	
Colombia	301	358	229	1,241	483	1,009	2,352	3,499	4,297	6,121	14,469	20,935	32,034	
Comoros	0	4	0	0	0	0	0	20	0					
Congo							8	21	6	8	80	32	40	
Costa Rica	370	463	646	486	645	1,017	1,305	2,399	1,851	2,477	3,558	4,931	5,240	
Côte d'Ivoire	6,033	10,419	4,475	6,375	6,819	20,556	4,846	9,069	5,811	16,617	3,469	25,444		
Croatia	1,112	2,752	5,361	8,393	10,429	14,843	21,953	28,575	31,012	34,251	61,278	66,839	7,400	
Cuba	11	1,218	1	1,415	223	1,597								
Cyprus	1,269	1,116	2,103	2,388	1,951	2,631	2,537	1,793	1,930	3,120	4,159	3,489	2,122	
Czech Republic	8,590	10,130	14,715	29,080	34,703	60,281	78,087	100,211	107,173	117,300	177,366	184,794	243,423	
Denmark	74,077	75,348	105,280	129,576	97,755	158,998	162,984	185,543	176,730	241,549	312,708	387,094	431,937	
Djibouti									286					
Dominica	19	17	26	10	22	22	3	4	12	1	1	0		
Dominican Republic	70	54	458	0	74	297	448	460	1,261	2,048	1,902	2,385	3,016	
Ecuador	0	0	294	699	7	124	1,178	18	357	0	3,909	474	8,833	
Egypt	4,155	4,579	1,791	2,309	2,575	5,143	4,196	7,218	12,414	24,690	21,113	23,595	26,233	
El Salvador	394	115	769	380	580	695	733	779	681	778	1,714	2,160	1,304	
Eritrea			172											
Estonia	2,075	2,670	3,543	4,608	4,805	6,016	5,678	6,847	6,895	6,954	11,976	13,538	17,220	
Ethiopia	1,752	1,086	1,605	1,391	997	2,119	1,598	3,443	2,848	3,065	7,037	2,787		
Faroe Islands	280	329	566	681	470	723	760	725	812					
Fiji		58	29	33	32	28	32	16	20	28	67	199		
Finland	34,098	38,811	49,049	62,822	51,145	66,183	71,280	86,969	22,671	25,662	44,104	35,035	41,780	
France	441,315	472,969	587,062	775,136	767,250	929,314	1,058,397	1,300,891	1,305,272	1,499,306	2,005,488	1,811,278	2,084,541	
French Polynesia	444	493	526	426	328	260	603	569	775	991	678	1,319	905	
Gabon	10	0	53	51	296	1	30	98	300					
Gambia	12	0	0	0	0	0	0	0	0	359	35			
Georgia	0	0	0	1	0	30	157	84	87	96	123	297	370	
Germany	808,705	782,447	1,170,332	1,536,415	1,470,325	1,978,445	2,053,763	2,499,897	2,758,290	3,115,672	4,340,872	4,093,566	4,665,738	
Ghana	39		381		3,359	186	1,777	316	775	243	2,020	1,518		
Greece	5,839	9,749	11,050	16,713	17,644	26,415	32,694	45,893	47,096	41,791	43,485	34,526	33,330	
Greenland	0	0	254	0	0	331	119	349	388	385	635	675	905	
Grenada	101	85	25	42	89	45	123	110						
Guatemala	91	200	28	251	303	217	161	625	2,517	429	249	564	747	
Guinea	167	2		293	291	227	612	57		265	272	72		
Guyana	12	10	13	1	9	1	0	24	36	5	50	22	116	
Honduras	160	85	194	1,064	947	222	2,025	693	1,556	3,595	6,205	4,065	3,807	
Hong Kong, China	85,025	89,946	85,011	87,543	105,658	113,295	110,362	120,806	93,159	134,578	181,339	195,326		
Hungary	7,845	9,298	12,768	6,520	5,356	7,943	3,427	2,651	4,759	5,602	2,752	1,599	2,733	
Iceland	1,423	1,518	2,497	3,016	2,652	3,452	3,327	3,315	2,837	2,778	4,051	4,697	6,131	
India	64,122	56,429	71,501	69,113	103,698	223,813	233,311	329,782	234,422	357,896	579,125	567,307	530,751	
Indonesia	4,919	4,953	4,631	6,990	18,915	18,724	20,481	26,257	27,343	36,079	39,464	48,698	90,170	
Iran (Islamic Republic of)	42,195	44,032	36,851	37,197	49,312	0				71,106	71,098			
Ireland	34,863	33,898	36,913	53,243	50,353	57,025	67,065	70,514	98,733	131,501	154,019	149,329	154,253	
Israel	4	0	0	0	0	2	145	1,303	1,066	1,809	6,535	17,576	64,416	
Italy	292,596	265,255	291,219	376,702	391,639	534,101	531,581	637,452	621,029	724,715	997,572	988,308	1,148,440	
Jamaica	32	65	292	272	961	1,164	673	752	1,597	358	630	2,041		
Japan	115,419	112,350	131,729	141,571	151,914	159,534	174,508	200,446	264,377	375,128	562,630	718,408	891,864	
Jordan	1,256	1,356	1,235	1,346		1,478	2,235	3,915	4,714	4,477	7,260	10,857	14,175	
Kazakhstan	1,263	1,594	975	791	1,739	1,139	1,226	2,231	2,544	3,849	10,340	23,596	33,575	
Kenya	2,343	1,484	1,883	2,051	2,082	2,580	3,560	2,613	2,616	5,019	5,721			
Kiribati					8		35	15	0	0	141	232		
Korea, Republic of	27,774	22,437	29,073	41,500	45,495	68,894	141,821	169,034	121,944	139,301	244,205	295,049	332,478	
Kuwait	6,803	7,129	11,537	11,774		19,159	19,807	22,077						
