List of importing markets for a product exported by Barbados Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	259,339	215,468	249,762	195,039	361,242	441,214	314,230	454,195	322,725	313,684	508,446	566,439	467,424	
Afghanistan	0	0	14	1	0	0	0	0	0	0	0	0	0	
Albania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Algeria	10	2	0	26	0	0	0	0	0	0	0	0	0	
Andorra	0	0	0	0	0	0	0	0	0	1	46	0	0	
Angola	0	750	0	0	18	0	0	1	0	0	0	0	0	
Anguilla	1,119	1,061	1,374	1,725	2,663	3,075	1,873	1,718	1,193	1,130	1,181	1,149	1,152	
Antigua and Barbuda	6,106	7,207	6,321	5,451	9,346	11,487	9,528	10,988	9,519	7,686	8,949	9,336	9,149	
Area Nes	0	20,083	0	0	0	0	0	0	0	0	0	136,631	127,935	
Argentina	72	160	104	47	55	88	1	10	0	1	0	0	1	
Armenia	0	0	0	0	0	0	0	0	0	248	0	0	0	
Aruba	236	421	442	328	885	905	354	499	818	1,583	1,104	1,177	1,038	
Australia	432	361	219	28	83	70	104	218	269	158	181	300	526	
Austria	130	90	69	1	1	109	3	10	15	43	40	17	8	
Azerbaijan	0	0	0	2	2	0	0	1	0	0	0	0	0	
Bahamas	3,005	2,063	1,951	1,905	3,078	3,180	2,135	2,739	3,090	4,660	3,751	4,520	4,152	
Bahrain	0	57	73	22	3	0	1	13	6	5	13	20	3	
Bangladesh	0	19	15	0	0	0	0	0	0	8	13	23	15	
Barbados	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belgium	862	402	195	65	192	946	262	227	149	45	17	87	81	
Belize	2,713	2,493	1,330	1,320	1,691	1,906	2,214	2,231	1,458	1,805	1,457	1,514	1,628	
