List of importing markets for a product exported by Belgium Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	190,309,495	215,803,005	255,553,661	307,690,420	335,691,778	366,835,492	431,743,843	471,797,820	370,879,194	407,595,914	475,957,504	446,854,421	511,492,495	
Afghanistan	7,202	6,205	6,403	8,237	17,499	14,336	19,102	14,499	22,924	37,261	23,533	33,007	50,909	
Africa not elsewhere specified	2,136	2,332	2,959	3,145	4,206	3,858	30,547	8,775	771	676	832	834	1,602	
Albania	6,733	8,995	11,982	17,891	13,586	16,846	17,595	18,596	18,751	23,232	25,961	20,313	26,683	
Algeria	377,446	414,665	504,538	721,775	690,765	714,182	1,061,972	1,338,638	1,355,967	1,467,801	1,397,205	1,379,939	1,540,771	
Andorra	5,526	5,294	5,572	5,496	5,009	8,425	7,756	9,177	11,966	9,949	11,043	8,595	11,895	
Angola	112,988	141,539	143,337	147,868	170,165	241,569	348,491	550,810	457,448	377,397	362,633	566,300	589,703	
Anguilla	195	141	174	734	2,599	4,169	99	162	122	113	60	26	129	
Antigua and Barbuda	833	415	571	512	571	510	3,692	1,872	1,193	612	538	1,592	58,397	
Area Nes	0	0	0	0	0	0	0	0	0	231,945	0	0	1,873	
Argentina	224,082	106,030	157,354	197,023	231,702	362,952	549,189	477,374	302,493	420,452	619,520	594,332	1,421,524	
Armenia	47,634	90,876	129,693	121,768	136,197	137,837	131,001	101,817	65,910	70,640	68,317	85,787	106,177	
Aruba	2,533	2,986	1,594	1,985	2,644	1,472	2,186	3,145	2,876	2,099	2,232	2,472	4,186	
Australia	793,036	1,122,509	1,248,823	1,405,554	1,509,187	1,439,790	1,715,796	1,870,310	1,730,314	2,162,432	2,395,365	2,340,047	2,624,861	
Austria	2,066,079	2,261,845	2,685,489	3,345,887	3,189,429	3,713,711	4,369,266	4,708,127	3,720,738	3,982,153	4,541,797	4,226,678	4,960,408	
Azerbaijan	13,695	10,497	36,402	55,309	36,509	31,432	48,203	68,327	48,570	64,809	77,780	82,702	96,665	
Bahamas	2,370	6,067	3,516	2,892	8,087	3,051	3,637	2,944	3,316	5,119	7,991	3,118	55,056	
Bahrain	44,296	43,789	62,208	94,225	66,138	81,990	85,866	97,105	75,552	87,440	130,508	78,074	84,847	
Bangladesh	42,913	51,394	43,853	53,378	57,403	56,909	59,639	78,055	83,458	129,343	163,893	171,850	131,176	
Barbados	2,796	3,822	4,466	4,642	3,896	5,308	5,548	5,220	3,943	5,033	4,856	3,888	4,500	
Belarus	64,127	55,395	65,694	85,517	118,464	138,694	185,767	250,941	193,315	267,717	330,891	338,570	409,518	
Belize	270	955	532	460	577	2,373	1,951	3,650	4,855	2,520	814	1,716	2,831	
Benin	37,409	48,556	66,499	58,280	66,117	84,505	139,780	155,869	210,850	130,922	392,660	259,964	261,562	
Bermuda	1,704	2,004	1,820	2,869	1,873	64,070	885	842	672	10,000	16,830	1,147	1,774	
Bhutan	701	614	213	562	205	278	414	241	323	1,297	727	770	3,097	
Bolivia	6,209	8,592	6,468	8,511	12,032	11,060	11,378	22,205	17,634	17,862	41,220	30,391	35,505	
Bosnia and Herzegovina	26,452	26,954	34,823	46,436	53,518	53,652	80,059	92,861	55,629	54,080	64,306	57,386	73,352	
Botswana	2,098	2,468	6,950	2,986	8,547	19,784	55,717	74,370	46,174	43,767	52,694	65,394	140,164	
Brazil	869,333	817,564	889,169	1,250,838	1,391,980	1,611,373	2,042,407	2,749,656	2,081,936	3,041,076	3,534,988	3,453,222	4,884,351	
British Indian Ocean Territories	16	142	17	8	13	5	133	171	0	17	0	0	0	
British Virgin Islands	659	1,306	366	2,505	2,441	4,730	1,124	3,943	9,309	5,294	6,191	3,060	4,950	
Brunei Darussalam	838	4,146	3,866	5,192	2,072	3,451	14,287	15,783	6,593	5,956	14,982	15,750	13,644	
Bulgaria	148,327	137,972	196,380	242,910	272,919	337,924	563,292	702,746	440,736	437,506	545,586	569,157	708,116	
Burkina Faso	18,508	20,120	36,416	33,536	30,258	38,835	46,974	45,966	51,423	65,451	86,694	83,002	104,957	
Burundi	15,218	14,846	14,935	18,343	25,875	27,792	30,707	33,947	36,181	34,307	44,107	41,113	46,310	
Cabo Verde	9,150	8,926	13,044	13,493	21,396	16,207	24,402	22,486	16,884	28,172	20,248	27,243	45,575	
Cambodia	10,106	17,072	18,499	20,475	22,879	25,930	37,281	45,474	25,052	33,820	39,441	46,738	41,248	
Cameroon	101,797	112,026	144,485	157,674	146,730	158,846	188,371	247,880	236,968	233,673	296,829	304,264	433,973	
Canada	797,478	1,429,292	1,654,097	1,846,236	2,343,125	2,726,243	2,949,934	3,098,162	2,791,555	2,697,714	2,587,067	2,561,386	3,302,538	
Cayman Islands	796	416	577	186	137	299	37,377	368	1,192	172	414	461	368	
Central African Republic	3,915	3,907	3,927	10,200	7,640	7,203	8,700	11,516	12,135	10,027	13,067	11,169	12,896	
Chad	9,348	11,932	10,449	17,747	29,872	23,487	18,889	24,911	32,389	38,782	38,983	32,511	72,337	
Chile	120,625	117,161	140,277	168,788	235,607	267,247	378,706	454,968	297,632	432,885	522,018	615,518	685,561	
China	1,514,472	1,897,933	2,572,157	2,938,227	3,365,504	3,681,597	4,577,034	5,050,398	6,081,559	7,165,866	10,202,472	9,813,982	10,457,524	
Christmas Islands	18	0	0	38	0	26	66	0	2	0	5	80	1	
Cocos (Keeling) Islands	3	0	0	0	0	0	90	106	0	1	1	4	40	
Colombia	97,604	112,462	104,458	114,983	147,630	157,630	218,225	278,641	217,737	314,491	428,750	451,303	540,406	
Comoros	3,718	2,998	3,701	3,453	4,957	3,866	3,411	4,207	4,887	6,275	4,606	6,218	3,995	
Congo	55,968	61,445	56,217	64,611	68,551	99,352	130,156	145,594	140,472	109,487	151,112	173,081	205,563	
Cook Islands	1	0	0	141	0	0	30	77	38	8	83	73	33	
Costa Rica	22,301	28,139	30,877	27,344	28,620	35,984	73,765	81,056	57,686	64,441	50,848	44,865	58,172	
Côte d'Ivoire	79,120	91,578	100,350	124,164	112,288	129,431	197,571	245,036	185,178	243,635	184,807	295,750	329,998	
