List of importing markets for a product exported by Belize Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	181,889	164,485	202,836	210,972	207,520	274,429	266,634	295,058	249,660	282,040	396,185	340,449	418,635	
Afghanistan	0	0	0	10	8	0	0	0	0	0	0	0	0	
Algeria	0	0	0	0	0	0	25	0	0	0	0	0	0	
Andorra	0	0	0	0	0	0	0	0	0	0	0	0	0	
Angola	0	0	0	0	0	0	0	0	0	0	0	0	0	
Anguilla	0	0	0	0	0	0	0	0	0	0	0	0	23	
Antigua and Barbuda	96	102	72	157	26	234	31	15	14	69	78	37	0	
Area Nes	12,823	28,076	0	0	0	0	998	87	80	374	3,169	392	98	
Argentina	0	0	31	0	0	2	0	0	0	0	0	0	46	
Armenia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Aruba	0	0	0	0	1	0	0	0	3	0	0	0	0	
Australia	0	0	12	19	0	10	0	13	6	0	0	0	86	
Austria	0	0	0	0	0	0	0	0	0	0	119	0	36	
Azerbaijan	0	0	729	0	0	0	0	0	0	0	0	0	0	
Bahamas	0	167	98	330	71	10	0	0	0	12	0	52	0	
Bahrain	0	0	5	0	5	0	20	0	0	20	0	0	0	
Bangladesh	0	0	0	0	6	0	0	0	0	0	0	0	18	
Barbados	759	1,954	1,206	1,130	1,177	1,485	1,781	1,786	1,194	1,401	2,889	1,554	1,432	
Belarus	0	0	0	0	0	0	48	0	0	0	0	0	0	
Belgium	0	0	3	106	179	196	0	3,449	10	0	0	0	6	
Belize	0	0	0	0	0	0	0	0	0	0	0	0	383	
Bermuda	0	0	0	0	0	0	0	50	0	0	0	0	0	
Bolivia	0	0	0	50	0	0	0	12	0	0	0	0	0	
Bosnia and Herzegovina	0	0	0	0	0	0	0	0	0	0	0	0	0	
Botswana	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bouvet Island	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brazil	67	0	0	0	5	0	0	0	10	10	0	0	32	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
British Virgin Islands	101	37	7	17	22	0	3	0	0	0	0	0	9	
Brunei Darussalam	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulgaria	100	0	0	0	0	7	197	0	0	0	0	0	127	
Cabo Verde	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cameroon	0	0	0	0	0	0	0	0	0	0	0	0	0	
Canada	759	1,171	381	478	126	359	371	1,134	1,118	622	1,341	1,115	1,355	
Cayman Islands	21	0	32	213	154	92	99	118	115	38	50	0	19	
Chile	0	0	0	0	0	33	27	0	0	0	46	0	67	
China	40	0	0	44	23	309	70	28	361	1,156	3,466	2,989	14,537	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Colombia	10	0	5	0	6	0	1	2	0	0	165	0	10	
Costa Rica	0	0	49	31	15	21,538	31,537	49,695	0	12,602	235	4	28	
Côte d'Ivoire	0	0	0	0	0	0	0	0	0	0	0	0	0	
Croatia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cuba	1,620	1	196	71	57	445	53	0	0	0	0	0	37	
Cyprus	0	0	0	34	5	0	3	0	0	0	0	0	0	
Czech Republic	0	0	0	20	0	0	0	0	0	0	0	2	58	
Democratic Republic of the Congo	0	0	0	0	0	0	0	0	0	0	0	0	0	
Denmark	0	0	0	71	558	20	94	5	0	76	0	2	0	
Djibouti	0	0	0	0	0	0	0	0	0	0	0	0	1	
Dominica	18	0	17	102	123	742	0	115	0	0	0	129	18	
Dominican Republic	0	2	84	0	65	1,936	5,337	2,657	2,560	1,732	11,160	4,366	576	
Ecuador	0	0	0	0	0	0	0	0	0	0	0	0	0	
Egypt	0	0	0	0	0	0	0	0	0	0	0	0	0	
El Salvador	58	4	609	125	59	2,392	2,865	2,436	838	13	385	271	357	
Equatorial Guinea	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eritrea	0	0	0	0	0	0	0	0	0	0	0	0	0	
Estonia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Europe Othr. Nes	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fiji	0	0	0	4	0	0	0	0	0	0	0	0	0	
Finland	0	0	0	0	0	8,414	5,108	0	0	0	0	0	0	
France	12	64	209	68	1,178	1,178	762	79	408	94	658	351	340	
French South Antarctic Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gabon	0	0	0	0	7	0	0	0	0	0	0	0	0	
Gambia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Georgia	0	0	0	0	0	0	0	0	0	0	13	0	0	
Germany	27	16	176	253	1,144	804	531	294	114	337	722	1,036	874	
Ghana	0	0	0	0	0	0	0	0	0	0	28	0	0	
Gibraltar	0	0	0	0	0	0	0	43	0	0	0	0	0	
Greece	0	0	0	0	31	167	125	0	0	39	0	0	0	
Grenada	0	0	15	45	0	0	0	0	0	0	0	57	25	
Guatemala	469	245	1,091	899	1,375	2,114	1,080	2,284	6,902	4,404	27,418	2,553	5,099	
Guinea	0	0	0	0	0	0	0	0	0	0	0	0	0	
Guinea-Bissau	0	0	0	0	0	0	0	0	0	0	0	0	0	
Guyana	349	497	708	781	613	1,283	1,253	1,443	794	729	1,410	3,065	6,680	
Haiti	0	0	0	16	0	24	0	0	0	0	40	28	1	
Honduras	4	0	790	815	357	857	97	2	10	25	349	98	367	
Hong Kong, China	0	0	2	269	0	5	0	0	0	97	109	63	41	
Hungary	0	0	0	1	0	0	0	0	0	0	0	0	0	
Iceland	3	0	0	0	0	0	0	0	0	0	0	0	0	
India	2	0	47	0	27	0	0	0	19	0	10	14	22,345	
