List of importing markets for a product exported by Belize (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	290,672	199,900	283,596	306,827	346,689	471,694	434,898	2,467,060	1,958,846	417,623	881,790	525,286	421,376	
Albania	0	0	0	0	0	0	0	49	10	40	10	50	0	
Algeria	1	0	2	2,342	4	12	103	315	0	6	461	19	302	
Anguilla	22	10	14											
Antigua and Barbuda					134		121		39	78	144	98	9	
Argentina	0	0	0	0	1	5	0	1	0	0	24	2	14	
Armenia	0	0	8	0	118	13	256	221	30	0	4	0	0	
Australia	19	84	72	57	214	1,892	1,970	966	2,181	1,245	3,195	1,466	2,877	
Austria	417	412	328	225	426	561	264	272	112	2	77	112	37	
Azerbaijan	0	0	0	0	12	38	15	15	1,411	29	4,109	254		
Bahamas	38	1	8	0	2,012	0	0	0	0	0	36	159		
Bahrain	0	6	0	2	10	0	0	1	3	160	100			
Bangladesh	0	55	166	1,631	415	61	132							
Barbados	1,037	2,048	1,456	1,404	1,603	1,571	2,583	2,058	1,477	1,380	3,433	2,333	1,628	
Belarus	0	0	69	0	0	0	0	0	31	0	0	5	11	
Belgium	3	1,469	134	786	1,197	656	482	5,912	1,248	1,373	34	785	294	
Belize	0	0	0	0	0	0	0	0	0	0	0	0	79	
Benin	0	0	7	0	0	0	0	0	0	0	0	574	20	
Bermuda												35	2	
Bolivia	0	0	1	6	0	0	10	2	0	2	0	7		
Bosnia and Herzegovina			0	0	2	0	27	10	16	0	1	0	1	
Botswana	0	103	0	0	0	0	0	0	0	0	0	0	0	
Brazil	163	527	270	317	155	11	194	59	294	354	188	743	158	
Brunei Darussalam	12	50	49	127		118				4	4	0	0	
Bulgaria	37	6	93	0	1	34	37	80	479	1,617	574	31	1	
Burkina Faso	0	0	0	5	0		0	0	0	2	0	0		
Burundi	0	0	0	0	0	0	0	0	0	0	4	0	14	
Cabo Verde	0	0	0	105	0	15	5		0	0	0	0	0	
Cambodia	0	0	0	0	0	0	3	24	0	0	1	0		
Cameroon	0	0	0	0	0	0	3,090	12,716	4,919	4,624	28,864	9,547		
Canada	2,393	4,068	3,226	6,403	7,968	8,431	10,243	10,213	6,042	6,000	7,594	3,203	2,433	
Chile	0	0	28	0	6	1	2	84	133	245	74	580	1,227	
China	0	159	988	0	205	20	0	27	13	252	2,902	7,787	8,385	
Colombia	2	5	109	0	4	0	6,566	12	36	10	19	4	170	
Costa Rica	2,124	812	539	618	623	19,317	46,887	30,708	43,258	46,774	19,817	1,921	438	
Côte d'Ivoire	1,525	1,272	815	4,961	8,634	17,051	17,220	21,335	16,097	4,175	8,721	11,816		
Croatia	207	0	3	13	0	1	35	6	28	66	14	17	2,104	
Cuba	15	1	244	0	113	224								
Cyprus	26	0	0	159	20	0	0	0	0	0	0	63	0	
Czech Republic	0	95	5	40	9	14	648	434	10	6	119	144	530	
Denmark	9	120	165	264	662	159	8	47	316	354	73	299	36	
Dominica	21	57	87	125	73	42	119	410	56	96	117	136		
Dominican Republic	3,045	2,163	294	0	1	1,529	5,106	3,378	2,787	2,509	10,302	8,032	4,414	
Ecuador	7	48	53	0	7	3	0	3	17	1	228	143	888	
Egypt	57	0	0	0	0	0	0	0	0	2,614	233	3,587	343	
