List of importing markets for a product exported by Bermuda (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	296,362	134,904	378,033	189,710	502,992	508,165	256,150	1,831,836	210,180	775,465	648,559	301,859	383,840	
Albania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Algeria	0	0	0	0	0	3	1	1	0	7	3	36	1	
Anguilla	0	0	59											
Antigua and Barbuda					11		56		5	4	4	4	19	
Aruba					504				0	0	0	0		
Australia	3	103	4	1,886	2,978	82	6	6	599	2,412	41,899	87,436	20,883	
Austria	12	0	7	2	13	24	11	27,849	2	9	1	5	1	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	0		
Bahamas	785	1,028	1,527	697	724	131	733	357	103	274	235	230		
Bahrain	0	0	0	2	0	0	0	0	0	0	0			
Bangladesh	0	59	564	1	0	0	6							
Barbados	6	63	39	103	142	12	17	10	21	77	45	40	161	
Belarus	15	21	19	14	14	16	17	0	1	2	18	1	1	
Belgium	5	18	13	0	5	4	225	17	17	5	539	7	139	
Belize	0	34	3	0	0	0	0	0	0	0	0	0	0	
Benin	0	0	0	0	0	0	0	1,173	0	4	0	0	0	
Bolivia	0	0	30	32	0	0	0	0	0	18	0	0		
Bosnia and Herzegovina			4	36	52	0	0	4	0	0	0	0	0	
Botswana	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brazil	1	1,249	0	11	3,526	69,500	18,831	97,542	38,902	81	11	12	45	
Brunei Darussalam	0	0	0	0		1				0	1	1	1	
Bulgaria	1	0	2	0	0	0	14	0	1	0	0	0	1	
Burkina Faso	0	0	0	36	0		0	0	38	0	0	0		
Burundi	0	0	0	0	0	0	3	0	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	0	0		0	0	96	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	0	0	0		
Cameroon	0	0	0	0	0	0	0	0	0	0	0	0		
Canada	1,523	2,424	1,183	8,380	14,645	14,802	2,983	1,798	9,644	1,349	986	2,438	1,096	
Chile	0	0	0	0	54	0	0	30	67	0	22	33	168	
China	4	0	0	0	3	0	18	4	4	0	3	0	0	
Colombia	17	53	0	0	3	0	0	1,311	2	3,392	2,717	35	210	
Comoros	0	0	0	0	0	0	0	0	11					
Congo							0	0	12	11	0	0	0	
Costa Rica	690	1,555	3,203	1,395	1,239	69	334	4	10	1	6	0	0	
Côte d'Ivoire	0	0	0	0	0	0	1	0	0	0	0	0		
