List of importing markets for a product exported by Bhutan (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	29,383	30,515	58,468	57,850	129,472	185,241	297,501	170,367	151,948	205,490	236,194	193,444	154,937	
Albania	0	0	0	2	0	0	0	0	0	0	21	0	6	
Algeria	0	0	0	0	2	1	0	45	0	0	106	0	7	
Argentina	0	0	0	0	0	0	0	0	10	0	0	2	0	
Australia	0	4	148	139	5	2	2	12	0	48	56	201	524	
Austria	6	30	50	386	26	10	28	178	3	3	1	22	5	
Bahrain	17	62	23	50	25	0	0	95	0	0	0			
Bangladesh	734	1,981	1,438	0	0	8	0							
Barbados	1	0	0	0	0	0	0	0	0	15	0	0	0	
Belarus	0	0	0	0	0	0	0	3	10	0	1	0	0	
Belgium	0	0	0	0	31	1	0	510	48	7	0	88	9	
Benin	0	0	0	0	0	0	0	0	1	0	0	0	0	
Bolivia	0	0	0	0	23	0	0	0	0	0	2	0		
Bosnia and Herzegovina			0	0	1	0	0	0	2	0	0	0	0	
Botswana	0	3	0	0	23	0	0	0	0	0	0	0	0	
Brazil	0	0	0	125	0	0	58	0	0	0	0	4	53	
Bulgaria	0	0	0	0	0	5	6	0	0	0	0	287	0	
Burkina Faso	0	0	0	0	0		0	52	2	0	0	0		
Cabo Verde	0	0	0	0	0	5	0		0	0	0	0	0	
Cambodia	0	0	18	0	0	0	0	4	0	0	0	0		
Canada	0	4	10	15	13	22	15	29	13	44	48	53	194	
Chile	0	2	0	0	0	0	0	0	0	0	0	0	0	
China	15	21	5	171	2	0	1	0	52	13	76	13	9	
Colombia	30	58	170	173	38	7	278	432	114	73	79	144	161	
Comoros	0	0	0	0	0	0	0	0	148					
Costa Rica	0	0	0	0	0	6	5	1	1	0	0	0	27	
Côte d'Ivoire	0	0	0	0	0	0	0	0	5	2	44	0		
Croatia	0	0	0	2	0	0	0	1	0	0	0	0	2	
Cyprus	1	18	0	0	0	0	0	0	0	0	0	0	0	
Czech Republic	0	8	0	38	22	1	30	8	0	6	340	0	3	
Denmark	3	1	4	22	2	18	1	48	103	230	8	24	4	
