List of importing markets for a product exported by Bolivia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	1,072,152	1,190,328	1,499,203	2,104,301	2,363,022	3,427,669	3,564,234	5,819,248	4,365,384	5,993,638	7,753,132	10,015,935	10,436,652	
Albania	1	0	0	0	0	0	0	0	129	13	5	11	2	
Algeria	0	0	5	26	70	359	67	8,002	2	20	6,411	96	205	
Andorra	0	2	9	1										
Antigua and Barbuda					9		2		11	0	0	0	1	
Argentina	20,575	15,937	22,989	138,670	299,130	322,613	220,917	148,827	212,689	350,467	629,204	1,415,699	1,731,261	
Armenia	0	0	0	0	0	0	0	0	10	0	12	8	16	
Aruba					52				0	0	0	0		
Australia	940	1,161	2,532	2,369	3,547	4,718	4,166	6,153	6,775	9,450	13,530	13,390	21,964	
Austria	3,736	1,791	2,787	2,668	4,564	7,370	9,177	8,023	3,973	4,761	7,058	7,113	6,359	
Azerbaijan	0	0	0	0	0	0	0	0	1	0	9	0		
Bahamas	0	16	59	28	0	0	0	0	0	0	0	0		
Bahrain	1	20	0	0	11	0	0	1	0	0	4			
Bangladesh	0	132	0	296	832	155	0							
Barbados	102	131	9	129	145	661	833	53	268	31	153	37	3	
Belarus	5	23	16	7	16	18	68	235	294	457	389	688	614	
Belgium	2,710	4,898	1,458	13,970	23,120	7,931	40,329	73,772	52,246	117,575	157,922	74,305	146,633	
Belize	0	4	13	3	60	0	7	11	14	8	35	19	27	
Benin	0	0	7	0	0	3	0	0	0	8	22	0	43	
Bermuda												1	2	
Bolivia	0	0	0	0	0	0	0	404	0	0	0	0		
Bosnia and Herzegovina			1	8	2	8	27	33	59	64	82	45	28	
Botswana	0	0	5	0	17	0	0	0	0	0	0	0	0	
Brazil	256,145	395,830	520,432	713,361	989,774	1,448,379	1,601,146	2,857,880	1,649,751	2,233,080	2,863,361	3,431,044	3,937,744	
Brunei Darussalam	1	0	0	0		0				0	0	11	92	
Bulgaria	12	18	2	1	3	39	37	668	3	0	27	39	4	
Cabo Verde	50	0	0	0	0	0	0		0	0	0	0	0	
Cambodia	0	0	1	0	0	0	0	0	0	0	0	0		
Cameroon	0	0	0	0	0	0	0	108	81	2	0	0		
Canada	6,779	9,106	8,895	17,807	20,488	43,268	98,733	72,643	79,974	139,094	240,300	250,787	226,523	
Chile	24,751	22,382	42,113	53,576	38,649	60,179	55,945	63,744	65,070	79,488	126,751	238,419	141,057	
China	9,515	12,081	6,880	29,548	31,053	46,495	56,356	150,602	125,494	189,086	274,535	324,195	280,405	
Colombia	131,210	139,917	198,373	175,446	191,706	117,191	143,079	229,044	244,961	268,832	167,038	280,569	547,740	
Comoros	0	0	0	0	0	0	0	0	4					
Congo							5	0	0	0	0	0	0	
Costa Rica	273	561	111	267	217	195	3,966	3,397	3,214	2,661	2,636	4,584	3,253	
Côte d'Ivoire	0	0	0	0	4	26	0	0	13	2	67	38		
Croatia	10	12	51	88	64	37	78	178	251	200	202	248	28	
Cuba	31	10	50	44	90	20								
Cyprus	8	8	7	0	0	7	23	0	49	0	11	0	0	
Czech Republic	227	136	176	421	317	1,503	1,069	1,054	799	2,972	2,226	3,457	2,703	
Denmark	825	174	1,145	534	530	1,783	1,228	1,089	1,207	1,060	1,492	2,295	5,859	
Dominican Republic	268	740	1,173	1,262	1,819	3,030	3,818	2,854	10,457	6,654	4,191	4,034	11,976	
Ecuador	21,060	6,025	44,961	31,311	2,636	5,564	9,028	18,375	12,152	19,537	163,492	30,708	198,271	
Egypt	763	1,390	578	335	345	237	260	344	331	349	243	81	606	
El Salvador	16	7	231	2,269	277	307	90	662	813	616	280	327	253	
Estonia	17	11	31	12	176	97	59	57	5	9	30	26	140	
Ethiopia	0	6	2	0	39	28	0	1	0	0	1	0		
Faroe Islands	0	0	0	0	0	0	1	2	3					
Finland	45	56	1,062	296	1,311	162	194	220	110	161	194	171	145	
France	30,821	17,934	7,602	15,023	13,023	18,534	21,251	40,017	57,590	86,573	45,430	108,778	110,460	
French Polynesia	1	0	1	2	2	10	7	5	3	13	12	11	11	
Gabon	17	0	1	0	0	42	3	0	32					
Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Germany	11,283	10,793	11,987	19,432	27,708	31,200	28,985	111,474	113,513	100,165	139,231	109,469	135,828	
Ghana	6		0		0	0	0	7	0	0	3	24		
Greece	44	59	114	25	68	11	229	254	299	198	14	514	135	
Greenland	0	0	4	0	0	0	0	4	5	4	3	4	2	
Guatemala	130	57	2,796	319	340	130	433	99	3,304	146	324	180	173	
Guinea	8	0		0	0	23	0	46		0	0	0		
Guyana	17	1	29	30	0	7	7	8	0	0	47	310	106	
Honduras	62	165	240	685	559	188	901	301	162	250	364	108	5,928	
Hong Kong, China	398	1,144	2,819	2,695	3,426	3,174	2,846	3,552	3,097	3,876	3,906	2,779		
Hungary	45	72	68	21	0	0	83	19	0	5	5	23	24	
Iceland	3	13	0	4	11	19	21	15	136	32	71	67	109	
India	6,333	1,039	1,841	705	538	2,321	3,656	5,911	4,589	5,872	5,409	3,332	6,393	
Indonesia	173	23	106	78	248	43	94	910	1,072	472	311	1,166	135	
