List of importing markets for a product exported by Bosnia and Herzegovina (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	943,590	1,134,804	1,252,846	1,993,155	2,637,219	3,323,971	3,998,029	4,586,397	3,439,307	4,266,826	5,387,175	4,891,388	5,339,819	
Albania	73	681	1,272	1,209	3,330	8,272	12,644	15,116	10,975	36,369	53,855	33,990	30,940	
Algeria	0	318	0	4	4,100	813	4,731	9,291	2,704	8,654	4,357	6,595	3,975	
Andorra	31	67	22	8										
Antigua and Barbuda					0		0		0	1	0	0	0	
Argentina	253	166	303	611	0	237	170	113	920	704	259	994	1,574	
Armenia	0	0	171	63	4	3	8	15	23	61	95	106	164	
Australia	1,853	559	764	717	8,789	1,755	2,443	1,870	2,005	2,309	2,706	2,437	3,507	
Austria	47,735	39,990	58,410	101,486	129,674	214,016	279,310	339,283	304,798	397,726	566,184	561,038	584,194	
Azerbaijan	85	0	2	0	0	82	41	1	248	389	396	284		
Bahrain	3	6	20	0	44	0	3	3	9	78	95			
Bangladesh	0	1	304	7	24	60	27							
Barbados	0	0	0	23	2	0	0	0	1	31	2	0	2	
Belarus	1	7	4	75	43	97	94	319	254	552	616	300	409	
Belgium	9,007	6,738	9,052	11,042	12,522	13,908	33,374	28,615	27,784	38,495	28,995	28,508	30,919	
Belize	0	0	0	0	0	9	0	0	0	0	0	17	17	
Benin	0	0	0	0	4	0	4	0	6	13	37	14	1	
Bermuda												6	5	
Bolivia	0	7	1	2	2	2	0	1	5	78	15	37		
Bosnia and Herzegovina			3,767	0	0	0	0	0	0	0	0	0	0	
Botswana	0	1	1	0	0	0	0	0	0	31	0	1	0	
Brazil	23	9	4	15	29	44	361	419	1,626	4,656	5,490	5,183	2,463	
Brunei Darussalam	0	0	0	0		0				0	0	0	112	
Bulgaria	482	879	719	1,752	6,830	22,405	43,515	22,714	6,044	8,417	10,835	20,340	33,558	
Burkina Faso	0	0	0	0	0		0	0	0	0	5	0		
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	3	
Cambodia	0	0	0	12	12	41	115	63	20	0	0	0		
Cameroon	0	0	0	0	0	0	6	362	44	73	355	325		
Canada	1,021	1,709	2,981	3,025	2,252	3,349	4,959	5,731	7,410	7,650	11,609	12,910	15,054	
Central African Republic	0	0	0			0	0	0	0	0	13	0	0	
Chile	9	22	33	24	71	218	119	124	656	1,709	1,752	2,042	1,057	
China	674	383	639	780	103,406	120,104	27,287	6,614	13,562	17,597	29,895	23,301	20,910	
Colombia	559	126	117	531	528	93	37	101	8,573	241	692	973	882	
Congo							0	0	11	11	0	0	0	
Costa Rica	0	0	2	0	6	18	54	153	8	39	1,856	84	54	
Côte d'Ivoire	0	0	0	2	1	0	6	35	7	26	62	95		
Croatia	126,780	166,365	231,184	348,630	453,159	600,375	733,865	819,375	567,460	610,851	759,342	728,696	773,027	
Cuba	0	0	0	5	0	4								
Cyprus	20	131	616	123	10	52	77	113	106	12	1,207	3,532	5,457	
Czech Republic	3,424	5,521	6,891	7,480	27,229	34,603	45,473	52,095	40,562	51,073	82,581	68,392	94,779	
Denmark	3,330	933	1,415	2,154	1,682	2,290	5,690	4,259	3,842	6,634	3,857	7,135	5,553	
Dominica	0	0	0	0	0	0	0	0	0	1	1	4		
Dominican Republic	0	361	0	10	1	3	25	1	27	34	11	31	12	
Ecuador	0	52	5	0	0	0	0	0	0	0	175	5	117	
Egypt	12,799	13,855	5,274	15,244	5,129	4,688	17,234	19,590	17,542	18,022	14,469	13,834	16,263	
El Salvador	6	3	0	5	9	0	1	0	0	165	0	0	0	
Estonia	117	107	111	116	45	131	472	245	350	803	629	623	890	
Ethiopia	0	0	0	0	88	164	1,641	38	182	1,309	171	212		
Faroe Islands	1	1	4	1	1	3	28	2	11					
Fiji		0	0	0	0	0	1	0	0	0	1	2		
Finland	8,986	291	765	596	749	1,297	6,426	3,069	848	325	494	1,479	1,278	
France	57,726	62,851	90,564	68,244	66,271	105,858	87,271	80,663	90,957	73,312	93,053	86,942	99,807	
French Polynesia	1	1	2	4	1	5	14	11	14	1	13	23	21	
Gabon	12	0	0	0	0	0	13	0	0					
Gambia	0	0	0	0	0	0	0	0	0	0	2			
Georgia	0	62	73	0	1,100	475	8	176	102	99	422	116	54	
Germany	123,644	117,157	215,930	342,540	320,269	402,507	482,773	554,389	426,230	532,628	692,558	610,555	694,972	
Ghana	0		1		0	8	6	4	415	0	30	2		
Greece	16,125	38,908	27,646	7,775	9,550	10,518	8,243	16,936	11,157	9,127	10,997	10,011	19,614	
Greenland	0	0	0	0	0	9	0	8	27	25	16	13	52	
Guatemala	1	0	60	0	12	0	1	0	5	0	35	0	0	
Guinea	0	0		0	0	0	0	0		0	0	0		
Guyana	0	42	0	0	0	0	0	42	0	0	0	57	4	
Honduras	0	23	118	1,119	943	8	1,700	0	0	5	4	6	13	
Hong Kong, China	100	14	270	1	122	12	3	6	30	267	152	3,202		
Hungary	5,498	9,112	22,992	78,754	130,958	158,711	195,336	189,791	68,109	103,910	126,328	93,446	113,725	
Iceland	36	33	51	69	124	189	244	407	217	167	241	317	291	
India	114	2,040	3,251	204	132	570	10,561	1,823	1,286	1,117	34,128	21,521	2,585	
Indonesia	263	679	13	1,915	6	20	41	86	38	59	156	649	9,307	
Iran (Islamic Republic of)	599	671	1,320	2,041	1,558	0				782	1,956			
Ireland	935	387	552	363	887	2,526	2,579	2,218	1,601	1,662	1,316	782	808	
Israel	956	685	184	826	185	1,410	2,246	1,541	405	393	1,527	1,692	10,372	
Italy	242,006	287,513	359,459	367,132	420,119	465,887	561,289	654,997	501,307	605,420	687,452	606,291	735,069	
Japan	230	372	577	1,370	1,555	3,066	3,770	5,729	4,172	4,578	6,517	4,533	5,435	
Jordan	15	0	0	41		43	277	903	119	3,815	1,140	1,623	771	
Kazakhstan	7	22	27	27	19	400	218	168	182	324	812	969	842	
Kenya	5	1	29	2	39	63	7	1,442	47	68	1,198			
Korea, Republic of	22	78	23	108	222	1,248	460	723	1,643	2,759	4,690	5,766	5,640	
Kuwait	0	158	444	525		384	788	702						
Kyrgyzstan	0	0	0	4	1	8	1	1	1,610	5	25	76		
Latvia	4	9	1	69	71	933	1	0	0	57	172	434	343	
Lebanon	81	123	78	102	215	141	237	311	954	6,421	2,908	3,071	3,187	
Libya							2,739	35,459	9,248	14,521				
Lithuania	167	228	158	170	179	229	236	579	94	781	4,814	924	1,041	
Luxembourg	38	81	93	157	98	81	224	1,691	1,606	1,498	1,919	1,370	5,861	
Macao, China	22	30	35	43	88	88	47	78	130	128		267		
Macedonia, The Former Yugoslav Republic of	4,150	14,299	11,753	16,306	23,577	26,534	34,518		46,530	49,141	90,122	70,990	63,530	
Madagascar	0	0	0	0	0	21	2	2	16	26	14	5	28	
Malawi	0	0	0	0	0	0	0	0	0	0	1	0	0	
Malaysia	13	1,801	740	403	572	1,931	2,519	3,597	163	678	719	334	24	
Mali	0	0	0	0	0	4	45	10		0	0	0		
Malta	0	40	124	7	12	809	0	19	86	95	1,348	2,526	907	
Mauritania	0	0	0	0	0		0	0	0	0	62	312		
Mauritius	0	0	0	6	7	2	6	7	22	22	21	31	80	
Mayotte	0	0	0	61	5,402	1,010	4	1	2,338					
