List of importing markets for a product exported by Botswana (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	1,379,585	1,675,800	2,035,751	2,876,550	4,056,612	3,550,591	2,833,078	2,363,839	2,087,429	2,757,947	5,451,007	5,158,247	6,665,787	
Albania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Algeria	0	18	239	6	505	6	21	41	47	118	51	299	154	
Antigua and Barbuda					0		0		0	0	0	0	1	
Argentina	0	0	0	0	0	0	0	0	0	0	0	2	1	
Armenia	0	0	0	0	0	0	0	4	0	0	0	0	0	
Australia	3	8	15	52	63	30	40	63	31	24	621	39	651	
Austria	289	112	118	100	241	22	127	899	37	19	23	45	18	
Azerbaijan	18	0	0	0	0	0	0	0	0	0	0	0		
Bahrain	0	0	0	0	0	0	0	0	0	0	0			
Bangladesh	0	2	0	0	0	0	21							
Barbados	0	0	0	0	0	0	3	0	11	0	0	40	0	
Belarus	0	0	0	0	0	0	0	0	0	0	0	1	0	
Belgium	7,537	14,363	11,664	16,331	25,440	46,541	52,026	109,768	112,330	194,148	203,181	285,494	823,938	
Belize	0	0	0	0	0	0	0	0	0	0	0	0	1	
Benin	0	15	0	0	0	0	0	0	0	0	0	3	0	
Bolivia	0	0	0	0	0	1	8	0	0	0	0	0		
Bosnia and Herzegovina			1	1	2	2	0	8	0	0	10	0	0	
Botswana	0	23,166	0	0	0	0	0	0	0	0	0	0	0	
Brazil	0	0	0	16	0	0	15	11	272	169	5	10	11	
Brunei Darussalam	22	9	1	0		0				5	0	0	0	
Bulgaria	0	1	0	0	0	6	6	33	0	0	3	1	2	
Burkina Faso	0	0	0	125	0		0	0	0	0	0	545		
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	3	0	0	0	0	0	0	0	0	4	3	0		
Cameroon	0	0	0	0	1	0	0	1	1	1	12	0		
Canada	405	561	12,396	17,486	823	408	64,316	12,206	25,155	6,723	137	914	7,627	
Central African Republic	0	0	0			0	0	0	0	20	0	0	0	
Chile	0	0	0	0	0	0	0	2	0	1	49	0	0	
China	0	5	2,176	2,861	4,004	8,166	26,435	183,913	65,287	53,366	100,668	119,479	196,177	
Colombia	16	0	0	68	14	6	2	2	11	0	11	120	0	
Comoros	0	0	0	0	0	30	0	0	0					
Congo							0	0	2	2	0	0	0	
Costa Rica	0	11	6	10	0	20	40	42	0	32	24	18	13	
Côte d'Ivoire	11	1	0	7	0	0	0	49	0	68	0	0		
Croatia	0	0	1	1	4	10	0	1	5	7	1	25	0	
Cuba	0	0	0	0	0	0								
Cyprus	0	0	0	0	0	0	0	428	0	81	99	0	247	
Czech Republic	1	8	241	1,789	18	5	5	83	200	201	10	3	244	
Denmark	133	24	41	7	7	16	3	14	28	57	34	31	17	
Dominican Republic	46	1	94	4	0	82	1,484	0	7	8	0	10	3	
Ecuador	130	21	0	0	0	0	0	0	0	0	0	0	5	
Egypt	0	51	0	71	0	0	20	0	11	26	25	122	127	
El Salvador	2	61	0	23	0	0	0	0	8	0	4	0	0	
Estonia	0	0	0	4	0	0	0	0	0	0	0	15	0	
Ethiopia	0	24	36	81	54	41	15	44	17	85	49	13		
Fiji		0	0	0	0	0	0	0	0	0	0	0		
Finland	19	0	0	17,911	7,384	1	18,927	8	15,841	13,360	5	1	19,720	
France	3,609	2,898	2,214	4,662	5,321	4,399	4,785	6,111	3,591	2,728	772	319	212	
French Polynesia	0	0	1	1	0	0	0	0	0	0	0	0	0	
Gabon	0	0	0	0	0	0	0	0	0					
Gambia	0	0	0	0	0	0	0	0	0	0	0			
Georgia	4	5	0	0	0	0	0	0	0	0	0	0	0	
Germany	11,917	7,387	8,055	11,497	12,732	11,674	25,081	19,851	20,032	23,025	2,366	660	6,625	
Ghana	7		20		97	17	40	46	91	37	23	190		
Greece	2,643	2,754	4,232	4,928	5,978	4,429	9,305	3,247	7,773	2,970	646	0	565	
Guatemala	0	0	0	0	0	3	0	0	0	0	0	0	0	
Guinea	0	0		130	0	26	0	0		0	0	0		
Guyana	0	11	0	0	7	20	14	3	25	3	8	0	0	
Honduras	0	98	12	354	387	0	445	0	1	0	2	0	0	
Hong Kong, China	113	5	2	1	6	249	3	0	2,610	1,454	4,124	16,221		
