List of importing markets for a product exported by Brazil Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	58,286,593	60,438,650	73,203,222	96,677,246	118,528,688	137,806,190	160,648,870	197,942,443	152,994,743	197,356,436	256,038,702	242,579,776	242,178,054	
Afghanistan	17	12	337	182	1,452	2,683	3,208	7,715	8,764	8,331	10,834	8,366	12,468	
Albania	1,585	4,846	7,802	20,186	31,593	25,838	44,853	50,835	48,237	33,584	64,255	39,526	54,036	
Algeria	44,788	86,853	153,705	348,534	384,343	456,723	501,249	632,486	714,191	838,697	1,493,763	1,169,510	1,199,885	
Andorra	27	9	40	15	61	27	34	22	101	11	171	366	15	
Angola	142,009	199,562	235,469	357,151	520,847	836,708	1,218,102	1,974,576	1,333,009	943,906	1,073,537	1,144,542	1,271,245	
Anguilla	131	63	59	134	374	211	394	386	769	389	295	368	605	
Antigua and Barbuda	1,186	910	1,245	2,395	4,223	5,668	5,915	7,035	5,585	4,878	4,787	6,347	5,856	
Area Nes	1,029,609	924,565	1,123,133	1,296,849	2,059,044	2,486,511	2,847,731	0	0	0	543	4,051	0	
Argentina	5,009,810	2,346,508	4,569,768	7,390,967	9,930,153	11,739,592	14,416,946	17,605,621	12,784,967	18,436,993	22,709,344	17,997,706	19,615,414	
Armenia	2,300	2,430	8,368	10,437	9,431	15,422	19,524	31,419	27,261	23,679	32,067	34,181	35,599	
Aruba	3,853	5,064	34,009	178,837	356,089	231,866	74,596	45,298	84,285	41,991	84,582	15,213	16,741	
Australia	247,640	254,191	305,559	370,159	464,230	512,235	614,174	1,252,853	492,719	580,773	803,834	504,661	450,786	
Austria	84,008	57,364	61,452	107,334	148,716	143,870	220,362	250,793	212,673	276,737	422,516	227,887	138,569	
Azerbaijan	2,776	2,952	6,202	12,826	16,036	20,616	36,426	28,532	16,985	21,993	47,061	34,270	150,753	
