List of importing markets for a product exported by Brunei Darussalam (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	3,600,742	3,693,475	4,252,012	4,871,616	6,149,547	7,839,558	7,697,796	11,180,931	7,022,528	8,921,560	12,460,864	13,286,674	10,585,740	
Albania	0	0	0	23	0	0	0	0	0	12	0	0	0	
Algeria	1	0	113	8	0	2	47	2	579	73	0	48	154	
Andorra	1	2	0	7										
Argentina	2	0	0	0	0	0	0	3	0	0	0	2	8	
Armenia	0	0	0	0	0	1	0	1	0	0	0	0	0	
Australia	209,734	310,873	370,752	505,856	529,438	852,884	932,161	1,071,441	574,578	948,941	1,310,645	1,092,661	825,541	
Austria	45	30	144	63	25	175	60	66	19	9	64	27	6	
Azerbaijan	0	0	0	0	1	1	0	0	5	0	1	6		
Bahrain	0	3	0	0	4	0	0	0	0	0	0			
Bangladesh	6	21	0	0	14	84	136							
Barbados	0	0	0	0	1	0	0	8	1	0	0	0	0	
Belarus	0	0	0	0	0	0	0	0	0	0	11	0	1	
Belgium	54	84	441	129	117	281	60	28	7	117	33	2	87	
Belize	0	0	0	0	0	0	0	0	0	0	0	64	0	
Benin	0	0	0	26	0	23	1	0	0	6	0	0	0	
Bermuda												0	1	
Bhutan					0	0	0	0	0	0	24			
Bolivia	0	0	0	10	0	0	0	2	7	17	5	19		
Bosnia and Herzegovina			0	0	0	0	0	0	3	0	2	3	30	
Botswana	0	0	0	0	0	0	0	0	5	0	1	0	3	
Brazil	0	0	67	6	32	15,706	127	82	1	309	65	22	432	
Bulgaria	0	0	0	0	1	0	0	1	0	0	0	0	0	
Burkina Faso	0	1,050	270	92	2		0	84	1,397	66	0	0		
Burundi	0	0	0	0	0	0	0	0	0	0	23	39	37	
Cambodia	109	84	295	41	322	26	351	15	959	531	443	9		
Cameroon	0	0	15	3	0	0	4	0	0	4	0	0		
Canada	2,249	3,945	2,975	2,707	2,768	1,670	1,956	2,343	1,685	26	8,217	6,716	6,380	
Chile	11	6	12	0	0	0	0	131	2	1	5	7	8	
China	148,238	241,813	312,373	251,055	207,728	215,312	246,077	88,885	282,146	664,330	566,816	373,085	89,804	
Colombia	81	1	0	16	31	7	1	1	22	12	36	5	1	
Congo							7	0	0	0	0	0	4	
Costa Rica	0	0	0	0	0	7	4	9	6	1	0	0	0	
Côte d'Ivoire	0	0	0	0	0	0	0	0	5	5	0	0		
Croatia	2	13	7	12	0	78	6	9	1	0	4	0	0	
Cuba	0	0	0	0	0	7								
Cyprus	87	1	0	60	0	0	0	0	0	0	1	1	0	
Czech Republic	26	18	14	16	715	524	50	1	0	3	8	20	58	
Denmark	43	2	26	0	0	90	152	90	3,604	90	267	395	473	
Dominican Republic	271	132	72	46	11	37	29	10	128	25	7	57	20	
Ecuador	3	2	2	0	7	0	0	0	2	0	0	7	1	
Egypt	106	132	795	0	333	9	0	6,098	3,207	2,052	5,305	2,362	1,556	
El Salvador	0	0	0	0	0	0	0	0	0	0	0	0	1	
Estonia	0	2	6	0	0	8	0	0	0	0	0	0	2	
Ethiopia	6	0	3	5	1	23	10	0	0	0	0	0		
Faroe Islands	0	0	3	1	0	4	0	2	39					
Fiji		0	2	12	23	26	9	9	0	2	3	32		
Finland	1	0	7	0	10	0	1	0	1	0	3	32	1	
France	45	133	238	412	686	831	2,737	1,270	520	1,149	1,135	1,518	1,645	
French Polynesia	54	38	0	0	1	1	0	3	0	0	0	1	1	
Gabon	1	0	0	0	0	0	0	23	52					
Gambia	0	0	0	0	0	0	0	0	0	555	0			
Germany	1,598	1,309	3,078	1,643	1,887	1,396	3,250	3,004	2,225	1,072	3,458	5,095	2,522	
Ghana	6		0		0	18	5	4	25	0	49	0		
Greece	1	0	0	0	38	0	0	0	4	0	0	0	0	
Guatemala	0	0	0	0	0	0	0	0	1	0	0	0	0	
Guinea	0	0		0	856	34	0	6		58	199	4		
Guyana	0	0	0	1	0	0	0	0	0	0	0	0	0	
Hong Kong, China	774	422	2,038	2,577	536	1,184	1,211	718	1,440	5,048	5,607	5,669		
