List of importing markets for a product exported by Bulgaria Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	5,113,865	5,748,848	7,540,211	9,929,894	11,739,329	15,101,457	18,575,129	22,485,509	16,376,275	20,596,231	28,240,430	26,682,317	29,476,273	
Afghanistan	2,155	3,641	5,738	4,987	521	2,463	7,548	11,295	8,664	8,971	6,482	5,432	4,352	
Africa not elsewhere specified	0	0	0	0	0	0	0	0	0	0	0	0	0	
Albania	27,133	40,414	30,172	38,691	62,587	103,170	70,140	107,867	89,129	77,358	71,735	64,366	81,866	
Algeria	8,206	29,339	16,868	12,179	62,826	11,974	77,977	62,321	42,882	66,866	66,463	73,812	107,575	
Andorra	0	0	23	0	0	0	74	0	1	469	44	40	290	
Angola	258	88	153	442	28,587	970	1,595	5,451	2,182	1,766	1,899	1,234	1,277	
Anguilla	0	0	0	0	0	0	0	0	0	0	0	0	0	
Antigua and Barbuda	114	10,147	6,151	338	1,058	3,713	60,568	25,568	2,005	2,252	3,083	1,119	830	
Area Nes	1,999	65,294	354,234	203,175	69,933	23,400	22,478	30,911	0	0	0	0	0	
Argentina	1,012	509	1,830	3,265	3,602	6,662	21,096	28,949	4,015	7,191	30,050	6,348	9,633	
Armenia	5,648	6,176	10,828	13,149	14,213	15,774	22,685	23,326	19,104	26,668	26,557	25,385	22,022	
Aruba	8	0	0	0	0	26	0	0	9	0	40	12	174	
Australia	3,624	5,051	7,298	11,399	12,394	11,543	13,396	22,881	23,384	14,336	23,599	26,646	29,246	
Austria	85,178	96,099	152,286	218,570	220,603	293,481	344,426	462,730	320,665	390,234	541,223	488,467	532,568	
Azerbaijan	3,888	3,647	7,054	8,784	10,403	10,528	19,454	24,520	22,149	26,151	32,924	37,548	40,245	
Bahamas	112	201	244	312	861	1,659	12,590	13,460	1,640	893	749	894	280	
Bahrain	132	486	490	421	376	2,046	1,162	890	534	1,002	1,549	2,402	2,214	
Bangladesh	1,774	436	447	4,710	739	1,517	805	7,722	3,731	29,795	2,529	15,563	3,253	
Barbados	42	15	55	80	77	550	517	123	560	76	253	73	37	
Belarus	6,682	7,623	7,522	12,063	14,385	24,349	26,884	45,905	25,829	31,919	41,716	34,256	40,068	
Belgium	250,133	275,966	457,638	589,886	699,721	989,810	1,148,647	1,327,085	926,118	770,405	1,397,840	984,713	860,418	
Belize	93	311	110	1,001	375	2,961	494	586	992	1,030	1,811	1,223	3,229	
Benin	81	94	84	1,406	141	310	443	1,206	3,375	23,119	32,715	406	1,115	
Bermuda	3	10	15	6	0	1	7	29	113	32	0	7	0	
Bhutan	0	8	7	10	0	2	0	0	0	7	0	34	0	
Bolivia	68	38	38	91	32	31	94	85	43	601	172	227	434	
Bosnia and Herzegovina	10,052	10,749	9,685	11,733	67,516	127,596	37,266	77,831	57,246	44,112	57,435	45,123	51,833	
Botswana	421	717	0	0	0	8	114	0	1	0	3	17	315	
Brazil	6,973	15,343	20,170	36,671	38,949	26,639	33,717	55,354	18,089	33,052	41,663	45,158	17,933	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
British Virgin Islands	0	1,863	2,004	0	0	1,074	2,334	7,946	1,803	3,701	4,022	3,386	208	
Brunei Darussalam	0	0	0	0	0	0	1	0	0	3	12	72	69	
Bulgaria	0	0	0	0	0	0	0	0	0	0	0	0	0	
