List of importing markets for a product exported by Bulgaria (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	5,305,232	5,887,178	7,236,456	9,672,141	11,378,981	14,645,232	16,581,554	19,671,652	15,213,820	18,920,562	25,116,879	24,246,037	27,031,874	
Afghanistan								70	67	125	34	0		
Albania	26,303	28,565	40,937	45,845	73,222	83,301	74,755	100,334	85,651	81,807	68,554	63,170	81,485	
Algeria	17,113	37,568	20,836	14,369	58,566	21,729	114,847	134,362	143,980	73,779	178,840	117,227	177,496	
Andorra	123	114	227	271										
Antigua and Barbuda					0		74		48	1	6	41	45	
Argentina	3,371	1,426	3,515	4,367	5,020	11,388	29,446	36,748	6,227	10,626	43,350	9,659	17,900	
Armenia	6,230	49,401	13,119	10,892	11,140	41,588	87,464	118,615	87,061	112,376	102,194	86,438	68,265	
Aruba					130				0	0	0	0		
Australia	4,098	6,512	10,642	13,953	17,709	18,313	21,669	39,115	21,614	37,279	38,572	42,982	42,742	
Austria	100,126	112,544	178,409	251,925	292,197	371,075	351,882	461,977	275,408	387,416	498,510	447,017	491,466	
Azerbaijan	12,146	6,676	4,800	5,581	4,551	15,474	10,184	17,091	8,629	12,930	35,908	25,975		
Bahamas	0	0	2	0	1,501	0	0	0	0	0	0	33		
Bahrain	276	622	446	389	2,617	639	1,003	1,419	584	631	1,772			
Bangladesh	6,945	231	703	11,756	1,413	11,963	5,208							
Barbados	89	46	24	171	20	62	26	30	22	42	131	43	21	
Belarus	11,444	12,067	12,704	18,437	21,804	30,921	34,818	54,160	36,839	40,434	51,726	40,137	56,817	
Belgium	287,194	303,766	483,400	631,803	713,373	1,002,039	1,145,073	1,254,598	1,061,583	1,002,244	1,532,374	1,071,759	952,687	
Belize	25	54	10	0	22	0	10	4	0	136	1,277	873	2,532	
Benin	25	238	21	15	1	71	144	616	80	138	86	152	85	
Bermuda												31	47	
Bolivia	15	11	279	12	62	113	104	195	101	676	401	592		
Bosnia and Herzegovina			6,618	13,375	69,418	159,410	26,516	62,828	50,518	36,834	50,548	49,090	51,625	
Botswana	0	572	162	347	805	6	122	1,401	131	1	5	27	338	
Brazil	10,373	18,142	24,125	60,600	73,683	44,000	46,823	109,383	29,120	40,460	79,755	80,106	32,929	
Brunei Darussalam	1	0	0	1		1				3	8	42	17	
Bulgaria	0	0	0	0	0	0	27,979	19,422	0	0	0	0	0	
Burkina Faso	7	0	73	447	91		9	160	297	419	993	498		
Burundi	0	14	153	0	7	67	19	118	5	24	31	31	59	
Cabo Verde	680	0	6	26	0	70	3		1,845	20	119	118	23	
Cambodia	2,176	0	0	0	2	27	16	189	1,371	4,030	153	29		
Cameroon	1,521	1,702	2,186	1,526	1,151	2,375	2,344	3,089	2,793	2,222	3,093	3,539		
Canada	38,815	44,215	47,369	62,942	73,721	98,134	112,558	110,117	104,911	64,701	152,430	200,528	166,410	
Central African Republic	0	0	0			425	2,265	1	5	126	8	71	24	
Chile	281	3,090	820	1,079	3,869	2,093	19,540	6,307	11,089	28,975	10,656	13,505	10,204	
China	28,463	21,475	58,733	67,141	89,119	81,851	158,004	216,782	140,997	322,999	459,982	840,157	966,991	
Colombia	2,888	6,487	7,762	6,683	9,106	7,114	7,822	8,019	4,431	9,193	8,120	8,468	7,987	
Comoros	0	0	0	0	0	0	7	0	40					
Congo							165	127	74	80	269	994	233	
Costa Rica	88	407	82	704	1,008	349	604	635	760	1,364	858	798	1,593	
Côte d'Ivoire	917	2,215	2,643	3,793	1,760	2,020	2,953	2,173	1,419	1,770	1,106	2,158		
Croatia	12,113	15,421	42,245	50,555	162,345	293,313	164,649	176,274	78,842	94,275	142,241	114,579	64,402	
Cuba	5,027	5,521	750	592	1,440	15,788								
Cyprus	14,763	12,833	17,062	21,888	42,905	77,015	61,932	120,394	65,973	42,208	56,217	61,783	56,800	
Czech Republic	26,540	39,517	60,205	88,203	86,330	104,796	144,991	173,512	144,261	176,072	266,195	259,650	309,846	
Denmark	31,089	27,266	30,021	38,326	42,045	38,435	29,662	46,895	42,338	69,886	116,126	107,060	116,152	
Djibouti									53					
Dominica	0	24	0	0	0	3	5	36	30	1	10	0		
Dominican Republic	689	1,036	655	1,525	1,922	1,475	400	409	618	850	2,367	1,552	2,127	
Ecuador	432	371	521	969	581	647	480	792	468	1,222	10,640	1,449	2,799	
Egypt	18,672	32,415	28,480	23,717	40,866	36,892	29,610	39,232	98,421	112,076	232,940	166,131	311,305	
El Salvador	516	756	1,129	2,422	1,207	158	91	352	258	319	788	600	1,283	
Estonia	4,573	3,495	5,748	8,548	10,817	6,792	4,631	7,805	5,652	7,165	9,901	20,683	17,382	
Ethiopia	2,016	1,224	3,491	1,573	1,099	295	4,437	93,463	45,723	55,638	24,084	5,371		
Faroe Islands	130	73	57	63	72	86	92	150	106					
Fiji		69	115	55	50	284	62	390	91	78	185	155		
Finland	10,200	15,560	15,702	19,715	21,730	74,281	57,978	55,357	25,010	32,264	44,827	40,241	49,795	
France	340,346	353,302	474,867	600,682	636,351	691,842	702,545	852,768	740,805	856,935	1,175,259	1,028,537	1,276,738	
French Polynesia	58	75	81	147	111	203	216	280	268	188	318	223	441	
Gabon	12	0	2	30	97	150	173	224	359					
Gambia	775	0	0	0	0	0	0	0	0	14	5			
Georgia	10,666	13,619	17,949	30,088	56,726	83,938	111,574	122,764	90,180	131,690	255,553	271,475	200,020	
Germany	616,373	685,134	933,070	1,196,130	1,330,641	1,775,497	1,977,774	2,093,399	1,930,820	2,302,466	2,947,302	2,790,977	3,576,890	
Ghana	952		181		664	4,271	2,295	12,919	196	602	1,181	11,349		
Greece	422,612	311,398	419,480	574,571	733,450	975,670	1,180,461	1,711,043	1,342,802	1,375,454	1,609,001	1,669,308	1,852,536	
Greenland	0	0	9	0	0	33	4	22	37	45	27	29	16	
Grenada	0	41	2	1	1	26	141	28						
Guatemala	833	1,751	338	125	1,163	746	640	2,710	1,036	807	915	1,046	997	
Guinea	134	143		307	254	79	166	195		276	134	519		
Guyana	2	60	0	57	337	3	171	87	0	1,330	2,989	1,879	2,614	
Honduras	7,162	780	804	1,943	2,061	662	3,159	846	4,961	487	158	782	349	
Hong Kong, China	3,945	7,759	3,580	5,605	4,296	10,656	17,474	31,577	23,312	51,828	66,190	48,739		
Hungary	42,216	45,764	69,588	90,696	94,710	126,995	129,023	158,755	136,338	201,947	280,677	248,246	325,883	
Iceland	686	915	1,212	1,343	1,484	1,994	3,183	2,680	1,475	1,788	2,126	2,169	3,192	
India	15,649	7,977	10,895	17,921	22,557	39,608	83,422	90,009	31,119	51,722	97,483	77,791	89,881	
Indonesia	4,333	6,814	9,221	20,179	18,779	19,978	11,611	16,296	18,943	37,969	35,058	28,220	51,782	
Iran (Islamic Republic of)	22,450	5,005	13,563	12,246	37,776	0				13,480	80,374			
Ireland	11,639	8,954	11,507	14,431	15,242	24,723	16,813	10,626	14,457	14,394	14,410	28,247	29,179	
Israel	22,961	32,376	35,147	46,121	48,350	48,054	63,846	52,041	42,014	60,615	62,221	56,933	115,940	
Italy	846,637	918,901	1,169,180	1,342,792	1,512,536	1,600,724	1,722,062	1,722,344	1,555,778	2,143,535	2,918,012	2,870,081	3,102,716	
Jamaica	88	48	30	9	28	0	105	13	2	33	254	133		
Japan	17,196	20,697	25,495	27,549	38,821	49,762	53,591	56,605	58,160	59,193	91,841	101,970	115,825	
Jordan	5,966	3,427	3,328	7,291		6,908	6,442	7,286	13,431	15,189	23,027	19,059	42,210	
Kazakhstan	6,381	5,940	8,532	14,675	20,566	24,703	99,530	40,911	23,581	84,473	30,709	47,030	64,877	
Kenya	1,260	615	2,449	7,145	4,540	25,358	2,719	3,750	13,332	3,434	4,849			
Korea, Republic of	9,745	14,861	18,065	19,829	24,032	56,574	36,859	63,897	40,436	117,024	140,398	184,457	171,890	
Kuwait	2,769	4,564	7,710	10,003		7,568	10,765	10,734						
Kyrgyzstan	339	303	682	764	1,222	1,030	1,617	1,889	2,623	2,260	3,849	5,514		
Latvia	8,404	8,701	8,986	9,917	7,398	10,479	17,655	17,784	15,078	19,460	25,746	32,437	32,660	
Lebanon	14,850	13,968	14,626	68,478	63,479	76,101	76,127	121,186	45,522	109,642	48,131	77,887	237,814	
Libya							1,683	11,126	4,446	27,011				
Lithuania	13,076	14,774	18,711	19,167	17,626	19,660	25,041	36,664	26,974	51,306	42,608	50,056	65,805	
Luxembourg	148	841	899	609	1,204	5,342	1,072	5,743	5,567	4,455	5,095	6,072	5,686	
Macao, China	25	61	73	232	152	303	218	230	503	1,363		1,211		
Macedonia, The Former Yugoslav Republic of	103,390	128,475	148,980	208,818	234,331	250,172	267,103		242,635	301,962	457,650	407,758	365,679	
Madagascar	348	10	38	145	25	62	297	14,822	737	259	308	583	897	
Malawi	135	50	71	352	25	105	68	143	230	1,517	1,424	1,764	1,972	
Malaysia	2,883	3,751	4,654	5,730	8,485	12,084	18,131	16,795	13,316	11,588	25,833	27,580	52,651	
Maldives	0	0	0	0	0	4	36	0	48	5	21	176	105	
Mali	42	7	7	63	37	35	64	857		455	91	594		
Malta	1,003	3,461	3,142	11,943	2,363	3,795	22,957	4,612	16,845	3,713	111,266	33,053	16,877	
Mauritania	928	2,583	4,446	4,997	1,704		5	181	0	5	79	290		
Mauritius	186	177	271	298	226	331	455	1,375	696	1,341	860	963	1,158	
Mayotte	11	0	3	9	6	5	45	98	103					
Mexico	19,414	32,145	22,554	26,775	46,569	47,252	33,860	30,658	25,558	36,589	51,884	50,489	61,149	
Mongolia	1,041		1,498	1,713	1,634	1,607	2,309						7,675	
Montenegro						8,068	9,822	14,596	8,228	8,502	9,269	11,589	12,523	
