List of importing markets for a product exported by Burkina Faso (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	207,794	168,343	240,081	395,174	314,947	353,948	430,594	416,989	391,777	607,816	724,179	797,767	542,039	
Albania	0	0	0	0	0	11	0	0	0	0	15	0	0	
Algeria	2	618	313	1	1	193	355	69	29	35	252	1,187	299	
Andorra	0	4	1	0										
Argentina	8	0	0	8	32	3	0	5	0	0	5	17	0	
Australia	0	0	16	24	0	13	28	9	0	2	237	38	0	
Austria	208	188	373	393	1,600	1,477	671	641	76	47	33	9	19	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	0		
Bahrain	0	1,757	0	0	0	0	0	0	784	1,508	14			
Bangladesh	3,390	8,020	26,306	22,947	4,782	4,292	7,885							
Barbados	0	0	0	0	5	0	0	0	0	0	6	0	12	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	11	
Belgium	1,652	1,237	1,692	3,417	3,376	6,658	6,034	70,640	64,349	82,274	30,668	46,747	4,875	
Benin	53	40	380	94	259	249	144	538	303	600	1,408	174	755	
Bermuda												0	1	
Bolivia	0	0	0	0	0	0	0	0	0	1	0	0		
Bosnia and Herzegovina			0	0	0	0	0	0	0	0	1	0	5	
Botswana	0	1	0	0	0	49	2	13	0	0	0	0	0	
Brazil	2,628	0	1,295	150	28	26	5,129	0	130	48	0	56	13	
Bulgaria	0	0	0	69	93	0	1	3	0	11	16	0	0	
Burundi	0	0	0	0	0	2	5	117	0	3	5	0	14	
Cabo Verde	0	0	0	1	0	0	0		0	0	3	0	0	
Cambodia	0	0	0	0	0	683	0	0	0	0	0	0		
Cameroon	1	5	0	0	2	0	114	181	157	45	4	2		
Canada	560	22	83	145	178	71	286	133	11,829	22,148	5,290	7,699	376	
Central African Republic	1	0	0			0	10	5	15	0	0	0	0	
Chile	0	0	0	0	0	0	0	0	6	0	13	0	0	
China	0	702	32,340	124,112	163,266	193,313	155,040	62,484	116,175	121,094	182,408	232,656	186,843	
Colombia	15,335	18,637	14,619	4,428	4	195	0	0	0	8	0	843	1,583	
Congo							0	133	3	4	0	0	0	
Costa Rica	0	0	1	0	2	12	30	47	3	9	2	2	0	
Côte d'Ivoire	753	1,126	1,362	338	869	886	522	423	981	3,561	4,046	33,338		
Croatia	74	3	41	143	96	4	25	1	1	2	26	20	0	
Cyprus	0	1	0	14	28	27	0	0	0	0	0	0	0	
Czech Republic	321	324	81	843	123	38	171	413	131	202	631	698	1,721	
Denmark	533	985	4,302	787	4	8	461	87	28,251	17,308	10,784	3,266	2,093	
Dominican Republic	0	11	1	0	21	0	137	102	0	1	81	2	2	
Ecuador	43	0	9	2	0	0	0	0	0	0	1	0	0	
Egypt	0	50	42	296	24	50	332	182	1,155	1,992	17	139	14,982	
El Salvador	0	0	0	0	0	0	0	0	0	0	0	0	0	
Estonia	0	0	0	0	0	0	2	0	0	1	1	3	3	
Ethiopia	4	0	0	3	18	0	0	0	1	172	22	0		
Finland	2	6	1	2	27	5	18	7	240	1	122	92	57	
France	15,374	15,210	12,141	9,099	9,549	8,125	7,439	8,349	9,664	9,506	10,700	9,965	13,930	
French Polynesia	1	1	0	0	1	0	0	1	2	0	0	0	0	
Gabon	23	0	5	12	9	7	0	16	0					
Gambia	0	0	7	0	0	0	0	3	0	0	10			
Georgia	0	0	0	0	0	0	0	429	0	497	1,063	36	0	
Germany	2,088	2,283	2,855	5,398	2,379	3,261	3,610	4,809	6,767	8,112	14,476	8,689	14,298	
Ghana	48,105		276		58	4,800	5,607	4,231	4,719	6,811	15,039	16,642		
Greece	154	173	667	6	415	0	0	0	447	1,569	1,315	939	2,462	
Greenland	0	0	0	0	0	0	0	0	1	3	1	1	0	
Grenada	0	1	0	0	0	0	0	0						
Guatemala	0	0	0	0	0	0	0	0	5	0	0	0	0	
Guinea	41	6		1	58	0	6	70		150	439	624		
Guyana	0	0	0	0	3	0	0	0	0	0	0	0	0	
Hong Kong, China	14	0	0	0	0	0	142	263	1,104	1,634	3,334	10,289		
Hungary	42	0	46	0	0	11	0	0	0	0	0	0	0	
Iceland	1	0	0	0	0	6	16	30	11	10	8	11	15	
India	12,225	10,412	11,395	9,185	2,349	4,845	15,640	45,716	5,803	3,227	19,868	13,214	17,163	
Indonesia	3,499	4,339	3,817	10,861	8,418	12,061	15,824	12,377	11,467	53,288	57,811	30,083	86,505	
Iran (Islamic Republic of)	0	0	0	0	0	0				0	0			
Ireland	102	3	6	449	4	22	51	660	27	42	27	47	48	
Israel	0	0	0	0	1	1	118	309	0	173	329	1	32	
Italy	24,073	21,951	17,490	16,088	8,922	10,440	13,161	11,956	2,667	6,713	16,490	3,880	5,236	
Jamaica	0	0	0	0	0	0	0	0	0	0	0	0		
Japan	5,088	8,430	9,211	11,061	8,939	9,845	16,460	32,835	19,321	30,313	25,378	19,275	41,435	
Jordan	0	0	0	38		0	0	0	0	319	44	143	0	
Kazakhstan	0	0	0	62	0	0	0	0	37	0	1	0	0	
Kenya	32	1	65	1	3	0	15	0	63	3	0			
Korea, Republic of	2,407	5,042	4,476	7,118	2,943	44	0	20	1	0	30	156	806	
Kuwait	0	0	36	79		0	5	15						
Latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lebanon	11	21	2	8	28	35	387	286	6,644	5,804	384	2,012	250	
Libya							82	134	1,563	179				
Lithuania	288	0	0	0	0	0	0	0	0	0	0	0	0	
Luxembourg	9	8	1	2	30	14	52	84	66	63	24	18	471	
Macao, China	0	0	0	2	0	0	0	0	0	0		0		
Macedonia, The Former Yugoslav Republic of	0	0	0	0	0	2	0		1	0	51	0	0	
