List of importing markets for a product exported by Burundi Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	42,156	26,560	65,903	82,725	113,756	228,522	156,195	141,786	112,932	118,158	197,836	242,700	208,772	
Afghanistan	0	0	0	0	0	0	0	0	0	0	1,137	0	0	
Albania	0	0	0	0	0	101	3,099	376	189	0	109	0	0	
Algeria	18	0	1	0	0	0	0	0	0	0	0	0	0	
Andorra	0	0	0	0	0	0	0	0	7	0	0	0	0	
Angola	0	0	0	0	0	0	0	9	0	0	0	0	0	
Anguilla	0	0	0	0	0	0	0	0	0	0	0	0	0	
Antigua and Barbuda	0	0	0	0	0	0	0	1	0	0	0	0	0	
Area Nes	290	309	1,233	741	371	0	0	0	0	0	0	186,649	0	
Argentina	0	0	0	0	0	0	0	0	0	0	0	0	0	
Armenia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Australia	0	0	21	0	0	0	54	0	70	97	873	0	120	
Austria	0	0	0	0	0	0	0	0	0	236	1,762	0	0	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bahrain	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bangladesh	0	0	0	0	2	0	0	0	0	0	0	0	0	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belgium	10,089	6,199	4,537	8,475	7,019	9,303	3,803	8,598	6,292	15,364	18,317	213	4,459	
Belize	0	0	0	0	0	0	0	0	0	0	0	0	0	
Benin	4	0	2	0	3	2	0	0	0	0	3	0	3	
Bermuda	0	0	0	0	0	0	2	0	0	0	0	0	0	
Bosnia and Herzegovina	0	0	0	0	0	0	0	0	0	0	1	0	0	
Botswana	0	0	0	0	0	24	0	0	0	0	0	0	0	
Brazil	0	0	2	0	0	0	0	0	0	0	0	570	0	
British Virgin Islands	0	0	0	0	0	0	19	0	0	0	0	0	0	
Brunei Darussalam	0	0	0	0	0	0	0	0	3	0	0	0	0	
Bulgaria	0	0	0	0	8	0	1	0	0	0	0	0	287	
Burkina Faso	2	0	0	0	7	0	0	0	47	0	46	1	1	
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	0	0	6	6	
Cameroon	0	0	0	0	1	10	27	21	1	3	0	6	10	
Canada	6	21	9	186	79	177	202	109	49	69	114	4	79	
Central African Republic	0	0	0	0	0	105	31	110	5	5	0	0	0	
Chad	0	0	0	0	20	65	28	5,219	145	1	0	0	0	
Chile	0	0	0	0	0	0	0	0	0	0	0	0	8	
China	0	0	114	109	88	97	76	2,081	401	222	1,269	413	1,159	
Cocos (Keeling) Islands	0	0	0	0	0	0	778	3	0	0	0	0	0	
Colombia	0	0	0	0	0	0	0	0	0	0	0	0	87	
Comoros	0	0	0	0	0	0	0	0	27	1	0	0	0	
Congo	111	56	1	34	48	0	0	0	32	0	9	0	0	
Costa Rica	0	0	0	0	0	0	0	0	0	0	0	0	0	
Côte d'Ivoire	3	2	3	0	3	0	1,116	3	0	0	0	1	1	
Croatia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cuba	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cyprus	0	0	0	0	0	6	0	0	0	0	0	0	0	
Czech Republic	0	4	0	0	0	11	0	0	0	0	0	0	0	
Democratic Republic of the Congo	172	507	376	379	1,065	3,602	14,690	5,921	7,039	7,269	10,434	141	12,191	
Denmark	1	2	14	0	0	70	1	44	0	10	191	185	0	
Djibouti	0	0	0	0	0	0	0	3	0	0	9	0	5	
Dominica	0	0	0	0	0	97	0	0	0	0	0	0	0	
Dominican Republic	0	0	0	0	0	0	0	0	0	0	98	246	0	
Ecuador	0	0	0	0	0	0	0	0	0	0	0	0	0	
Egypt	0	0	0	0	0	1	0	0	1	5	6	7	0	
El Salvador	0	0	0	0	0	0	0	0	0	0	0	0	0	
Equatorial Guinea	0	0	0	0	0	0	0	21	0	0	216	40	0	
Eritrea	0	0	0	0	0	0	0	0	0	0	0	0	0	
Estonia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ethiopia	0	0	5	1	2	6,243	529	0	0	12	2	1	16	
Finland	0	0	0	0	0	0	0	0	0	0	0	0	0	
France	609	381	598	1,109	2,357	1,580	3,610	560	1,021	843	1,801	2,718	686	
Free Zones	0	0	1	0	0	0	0	0	0	0	0	0	0	
Gabon	0	0	0	0	14	0	0	151	0	0	0	0	1	
Gambia	0	0	0	0	0	0	0	0	0	17	0	0	0	
Georgia	0	0	0	0	0	0	3	0	0	18	0	0	0	
Germany	2,887	932	795	1,896	1,840	1,263	3,514	5,659	8,408	2,464	3,208	226	3,667	
Ghana	0	0	0	0	0	0	0	0	0	0	0	0	1	
Gibraltar	0	0	0	0	0	0	0	0	0	0	0	0	0	
Greece	1	2	0	20	1	0	0	0	0	56	0	0	0	
Greenland	0	0	0	0	0	0	0	0	0	0	0	0	0	
Grenada	0	0	0	0	0	0	0	0	56	0	0	0	0	
Guinea	3	0	1	0	0	1	7	10	13	15	5	2	0	
Guinea-Bissau	0	0	0	0	0	0	0	90	0	0	0	0	0	
Haiti	0	0	0	0	0	7	0	0	0	0	0	21	2	
Honduras	0	0	0	0	0	0	0	0	1	0	2	0	0	
Hong Kong, China	0	0	12	29	249	28	71	1,497	1,253	2,211	2,832	36	2,798	
Hungary	21	0	0	0	0	0	0	0	0	0	0	0	0	
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	1	
India	0	1	1	2	12	0	22	0	23	130	473	904	116	
Indonesia	1	0	0	0	0	0	0	42	84	0	261	0	0	
Iran (Islamic Republic of)	0	0	0	0	0	1	0	0	0	0	0	0	0	
Iraq	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ireland	0	0	0	0	0	0	0	0	0	0	0	0	0	
Israel	0	0	0	21	0	0	44	104	5	0	4	0	0	
Italy	27	9	149	64	2	1,133	1,084	282	596	1,180	1,890	251	2,049	
Jamaica	0	0	0	0	0	0	11	0	0	0	0	0	0	
Japan	0	0	293	382	343	17,068	3,751	163	225	2	17	1,542	228	
Jordan	0	0	0	0	1	592	0	0	0	0	0	0	0	
Kazakhstan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Kenya	4,610	502	642	1,655	8,022	32,281	11,225	7,559	7,268	10,285	15,225	692	13,525	
Korea, Democratic People's Republic of	0	0	0	0	1	52	0	0	0	0	0	0	27	
Korea, Republic of	0	2	0	1	0	0	107	0	0	0	0	69	56	
Kuwait	0	0	0	0	0	0	0	0	0	0	0	0	0	
Kyrgyzstan	0	0	0	0	0	0	2	0	0	0	0	0	0	
Lao People's Democratic Republic	0	0	0	0	0	0	0	0	0	0	0	0	1	
Latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lebanon	0	0	0	0	0	848	41	450	0	0	0	4	66	
Lesotho	0	0	0	0	0	0	20	0	0	0	0	0	0	
Liberia	0	0	0	0	0	0	0	0	0	2	72	0	0	
Libya	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lithuania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Luxembourg	0	0	0	0	0	0	0	0	0	0	0	0	0	
Madagascar	0	0	0	0	0	0	0	0	9	10	0	0	0	
Malawi	0	0	0	37	0	0	8	0	10	0	5	4	5	
Malaysia	0	0	0	0	0	1	0	0	0	0	0	0	0	
Mali	2	0	0	1	14	0	0	0	26	4	28	1	1	
Marshall Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mauritania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mauritius	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mexico	0	0	0	0	0	0	9	0	0	0	0	0	0	
Mongolia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Morocco	1	0	0	0	0	25	0	0	0	0	0	1	0	
Mozambique	0	0	0	0	0	5,155	1	181	0	0	0	0	0	
Myanmar	0	0	42	0	0	0	0	0	0	0	0	0	0	
Namibia	0	0	0	0	0	0	0	0	0	1	0	0	0	
Nauru	0	0	0	0	0	0	0	0	0	0	0	0	0	
Nepal	0	0	0	0	0	8,511	115	0	0	0	2	0	0	
Netherland Antilles	0	0	0	0	0	0	0	0	0	0	0	0	0	
Netherlands	3,613	1,703	1,481	2,089	2,346	1,970	520	1,262	996	681	9,126	46	1,343	
New Caledonia	0	0	0	0	0	0	0	0	0	0	0	0	0	
New Zealand	0	0	0	0	0	0	0	0	0	0	0	0	1	
Nicaragua	0	0	0	0	2	0	0	0	0	0	1	0	0	
Niger	0	0	0	0	5	0	0	0	0	0	4	0	10	
Nigeria	1	0	5	4	3	0	0	0	16	27	54	0	0	
Niue	0	0	0	0	0	0	0	0	0	0	0	0	0	
Norway	4	0	0	183	0	0	1	24	0	6	0	0	134	
Oman	0	9	92	15	70	315	707	1,311	1,488	1,805	2,201	0	1,827	
Pakistan	0	0	0	2	4	29,943	27	70	7	0	0	0	0	
Panama	0	0	0	0	0	176	0	0	4	0	0	0	0	
Papua New Guinea	0	0	0	0	0	0	0	0	0	0	0	490	0	
Paraguay	0	0	0	0	0	0	0	0	0	0	0	0	0	
Peru	0	0	0	0	0	0	0	0	0	0	0	0	0	
Philippines	0	0	0	0	0	0	0	0	0	0	0	0	0	
Pitcairn	0	0	0	0	0	0	0	0	0	0	0	0	0	
Poland	0	0	0	0	0	0	1	0	0	0	0	0	0	
Portugal	0	0	0	0	0	0	0	0	0	0	0	0	0	
Qatar	0	0	0	0	0	0	0	0	0	0	0	0	0	
Republic of Moldova	0	0	0	0	0	0	13	5	0	0	0	0	0	
Romania	4	0	0	0	0	0	0	0	2	0	0	0	0	
Russian Federation	1	174	369	296	718	1,471	1,031	0	895	143	0	0	190	
Rwanda	2,521	3,231	2,186	5,118	4,058	3,628	10,385	4,462	4,732	3,021	6,132	1,228	8,147	
Saint Helena	0	0	1,749	13	28	501	0	0	0	0	0	0	0	
Saint Kitts and Nevis	0	0	0	0	0	0	0	0	43	0	0	0	0	
Saint Vincent and the Grenadines	0	0	0	0	0	0	0	0	0	0	0	0	0	
Samoa	0	0	0	0	0	0	0	0	0	0	4	0	0	
Saudi Arabia	2	0	0	0	68	788	240	88	0	302	0	177	0	
Senegal	1	0	4	0	43	95	24	24	105	1	37	2	2	
Serbia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Serbia and Montenegro	0	0	0	3	2	0	0	0	0	0	0	0	0	
Seychelles	0	0	0	0	0	0	0	0	0	0	0	0	0	
Sierra Leone	0	0	0	0	0	0	0	0	0	0	0	1	1	
Singapore	0	0	211	769	987	0	533	1,596	2,458	7,242	1,201	0	4,941	
Slovakia	0	0	0	0	0	3	0	0	0	0	0	0	0	
Slovenia	0	0	0	0	225	0	0	0	0	0	0	0	0	
Somalia	0	0	0	0	0	0	17	0	0	0	0	0	0	
South Africa	4	5	531	628	1,448	74	2,920	145	105	163	280	211	135	
Spain	96	0	0	4	9	4	5	0	0	0	249	0	1	
Sri Lanka	0	0	0	0	0	0	0	0	0	0	0	0	0	
Sudan (North + South)	0	0	0	0	4	0	3,244	1,141	0	114	15	0	1,534	
Suriname	0	0	0	0	0	0	0	0	0	0	0	0	0	
Swaziland	0	0	0	334	845	802	1,526	2,183	1,365	1,317	13	0	0	
Sweden	8	10	10	13	2	15	6	7	7	4	291	0	3	
Switzerland	10,228	6,225	43,086	46,344	41,219	15,802	17,042	21,736	20,666	31,815	33,866	605	15,611	
Syrian Arab Republic	0	0	0	0	0	10	0	0	0	0	0	0	0	
Taipei, Chinese	0	0	0	0	0	45	0	0	0	0	0	0	0	
Tajikistan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Tanzania, United Republic of	2,812	131	320	232	105	1,268	1,954	2,152	9,478	1,755	1,361	2,092	2,656	
Thailand	4	3	1	1	0	3,548	1,728	15	0	0	0	35	10	
Timor-Leste	0	0	0	0	0	24	0	118	0	0	0	0	0	
Togo	0	0	49	0	9	0	0	0	0	0	4	0	3	
Tokelau	0	0	0	0	0	0	0	0	0	0	0	0	0	
Trinidad and Tobago	0	0	0	0	0	0	0	0	0	0	0	0	0	
Tunisia	1	0	0	0	20	30	20	1	3	5	0	0	0	
Turkey	0	0	0	0	0	37	0	0	0	0	276	571	0	
Turkmenistan	0	0	0	0	0	0	275	62	0	0	0	0	0	
Turks and Caicos Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Uganda	723	264	814	774	1,782	1,938	3,682	3,049	6,439	2,879	5,734	651	5,891	
Ukraine	0	0	16	126	1	12	0	0	0	0	0	897	0	
United Arab Emirates	2	4	2	6,129	28,754	73,248	53,418	61,750	28,903	10,451	58,190	39,596	121,512	
United Kingdom	3,224	5,812	5,021	4,063	9,132	3,981	7,650	175	559	15,793	17,622	903	2,208	
United States Minor Outlying Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
United States of America	46	62	878	442	148	199	992	955	1,328	56	695	240	849	
Uruguay	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vanuatu	0	0	0	0	0	129	0	0	0	0	0	0	0	
Venezuela	0	0	0	0	1	0	0	0	0	0	0	0	0	
Viet Nam	0	0	0	0	132	0	0	0	0	0	0	0	2	
Yemen	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zambia	1	0	228	1	14	1	132	188	23	3	29	0	98	
Zimbabwe	1	0	0	0	0	0	0	0	0	46	29	0	1	
