List of importing markets for a product exported by Cabo Verde Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	9,754	10,615	12,463	15,197	89,421	110,286	114,798		35,169	46,558	68,893	55,773	69,228	
Afghanistan	0	0	0	0	0	0	0		0	0	0	0	0	
Albania	0	0	0	0	0	0	0		0	0	0	0	0	
Algeria	0	0	0	0	27	0	0		0	0	0	0	0	
Andorra	0	0	0	0	0	0	0		0	0	0	0	0	
Angola	16	40	11	7	0	1	6		3	18	1	50	97	
Antigua and Barbuda	0	0	0	0	0	0	0		0	0	0	0	0	
Area Nes	2	33	98	54	125	2,236	4,346		584	823	30	3,173	77	
Argentina	0	0	0	0	0	1	1		0	0	0	0	0	
Australia	0	0	0	0	0	0	0		0	0	0	0	0	
Austria	0	1	0	0	0	0	0		0	0	0	0	0	
Azerbaijan	0	0	0	0	0	0	0		0	0	0	0	0	
Bahamas	0	0	0	0	0	0	0		0	0	0	0	0	
Bahrain	0	0	0	0	0	0	0		0	0	0	0	0	
Bangladesh	0	0	0	0	0	0	0		0	0	0	0	0	
Barbados	0	0	0	0	0	0	0		0	0	0	0	0	
Belarus	0	0	0	0	0	0	0		0	0	0	0	0	
Belgium	0	0	0	0	579	1,509	167		0	0	0	0	36	
Belize	0	0	0	0	0	0	0		0	0	0	0	0	
Benin	0	0	0	0	0	0	0		0	0	0	0	0	
Bermuda	0	0	0	0	0	0	0		0	0	0	0	0	
Bhutan	0	0	0	0	0	0	0		0	0	0	0	0	
Bolivia	0	0	0	0	0	0	0		0	0	0	0	0	
Brazil	0	0	15	19	544	904	1,120		0	712	0	0	0	
British Virgin Islands	0	0	0	0	0	0	0		0	0	0	0	0	
Bulgaria	0	0	0	0	0	20	0		0	0	0	0	0	
Burkina Faso	0	0	0	0	0	0	0		0	0	0	0	0	
Burundi	0	0	0	0	0	0	0		0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0		0	0	0	0	0	
Cameroon	0	0	0	0	0	0	0		0	0	0	0	0	
Canada	0	0	0	0	3	111	692		0	0	1	0	0	
Cayman Islands	0	0	0	0	0	0	0		0	0	0	0	0	
Central African Republic	0	0	0	0	0	0	0		0	0	0	0	0	
Chile	0	0	0	0	0	0	0		0	0	0	0	0	
China	0	0	0	0	4	3	16		0	0	5	0	0	
Colombia	0	0	0	0	0	0	0		0	0	0	0	569	
Comoros	0	0	0	0	0	0	0		0	0	0	0	0	
Congo	0	0	0	0	0	0	0		0	0	0	0	0	
