List of importing markets for a product exported by Cabo Verde (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	15,917	22,207	21,623	23,320	30,327	51,562	48,630	52,583	51,839	63,583	76,117	85,335	124,597	
Albania	0	0	0	0	4	0	1	0	36	80	0	0	178	
Algeria	766	0	0	0	1	0	0	0	1,625	12	6	11	6	
Antigua and Barbuda					0		0		0	0	0	0	0	
Argentina	0	0	0	0	0	0	0	0	0	0	2	0	0	
Australia	1	0	1	0	0	132	12	18	242	134	758	803	146	
Austria	51	9	2	8	41	16	290	3	10	0	7	1	0	
Bahrain	0	0	0	0	0	0	0	0	0	0	0			
Bangladesh	0	0	0	0	1	2	0							
Barbados	0	0	0	0	2	1	34	1	0	0	0	3	1	
Belarus	0	0	0	0	0	0	5	0	1	0	0	0	5	
Belgium	0	10	16	0	136	0	339	112	9	2	151	77	40	
Belize	0	1	0	0	0	0	2	12	6	12	0	0	0	
Benin	2	0	0	0	1	0	0	0	218	0	0	0	0	
Bolivia	0	0	1	0	0	0	0	0	0	2	1	0		
Bosnia and Herzegovina			0	0	0	0	0	1	2	0	4	0	0	
Botswana	0	0	0	7	0	0	0	9	0	0	0	1	0	
Brazil	551	750	985	1,331	759	2,106	11,199	44	29	49	8	15	367	
Bulgaria	0	0	0	0	0	1	1	3	0	0	0	0	0	
Burkina Faso	0	0	0	0	66		0	0	0	2	1	2		
Cambodia	0	0	0	0	42	2	0	0	3	66	68	0		
Cameroon	0	0	0	0	0	0	0	0	0	0	0	0		
Canada	5	10	6	15	17	150	19	42	122	69	103	16	47	
Chile	0	2	17	209	0	29	9	3	15	2	294	79	21	
China	0	0	0	0	0	0	0	0	0	12	12	1	0	
Colombia	0	0	0	0	0	4	101	1	27	0	0	1	0	
Congo							12	0	6,106	5,781	0	0	50,834	
Costa Rica	0	0	1	2	0	14	68	2	1	0	0	39	0	
Côte d'Ivoire	6	0	0	0	7	0	5	7,858	191	9	0	0		
Croatia	0	0	1	9	0	25	0	1	0	0	1	0	0	
Cuba	152	138	210	0	1	0								
