List of importing markets for a product exported by Cambodia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	1,499,274	1,922,991	2,118,224	2,797,507	3,018,613	3,566,413	3,531,237	4,358,188	4,992,010	5,590,104	6,704,137	7,838,101	
Afghanistan	0	0	34	0	43	23	32	934	1,814	16,822	4,493	671	
Africa not elsewhere specified	0	0	0	0	2	0	0	0	0	0	0	35	
Albania	0	1	13	84	0	38	381	0	9	0	0	0	
Algeria	0	0	0	0	0	3	30	0	0	19	0	0	
America not elsewhere specified	0	0	0	0	30	0	0	0	0	0	0	0	
Andorra	0	0	0	0	0	0	0	0	18	0	15	0	
Angola	0	21	122	26	26	30	8	239	2	70	163	182	
Anguilla	0	0	0	0	0	0	0	0	0	0	0	0	
Antigua and Barbuda	0	0	0	0	0	0	0	0	83	0	0	0	
Area Nes	0	0	0	0	0	0	0	0	0	0	0	2,764	
Argentina	135	21	41	257	648	1,417	2,739	5,307	4,651	6,505	12,674	9,279	
Aruba	0	2	14	54	0	22	35	0	0	0	0	0	
Australia	1,284	1,378	1,043	3,213	5,246	6,546	9,996	10,868	17,387	21,831	32,272	36,858	
Austria	724	1,212	1,490	2,685	2,856	11,112	11,815	12,440	10,560	10,071	11,297	20,092	
Azerbaijan	0	0	0	0	0	0	0	5	0	11	0	0	
Bahamas	0	5	0	0	0	0	10	0	0	0	0	23	
Bahrain	0	0	3	5	56	13	110	21	0	22	0	1,098	
Bangladesh	3	110	20	30	7	80	258	756	387	201	392	676	
Barbados	0	0	0	0	2	0	0	0	0	0	0	0	
Belarus	0	0	0	0	0	0	0	0	0	862	27	547	
Belgium	3,018	4,050	4,794	9,962	10,140	22,975	29,355	50,973	39,718	63,840	134,873	163,348	
Belize	0	0	0	0	3	108	75	35	38	0	128	0	
Benin	0	0	0	0	0	0	54	0	51	111	56	0	
Bermuda	0	0	0	0	2	0	0	0	0	0	0	0	
Bhutan	0	0	0	0	0	0	1	0	0	5	0	0	
Bolivia	0	9	0	0	1	18	29	81	100	388	1,060	419	
Bosnia and Herzegovina	0	0	108	0	0	1	0	215	0	32	40	0	
Botswana	0	0	4	0	0	0	0	0	1	0	0	2	
Brazil	45	280	112	161	518	825	3,175	5,561	3,776	5,668	10,824	14,859	
British Indian Ocean Territories	1	0	0	0	0	0	0	0	0	0	0	0	
British Virgin Islands	0	0	0	0	0	0	0	0	0	0	0	0	
Brunei Darussalam	83	12	29	27	78	96	0	12	30	26	7	19	
Bulgaria	0	0	73	9	11	5	20	42	29	23	2,260	566	
Burkina Faso	0	192	62	0	160	470	159	60	309	483	296	66	
Burundi	4	0	0	50	2	6	60	0	9	19	0	24	
Cabo Verde	0	0	61	0	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	0	0	0	
Cameroon	0	6	0	35	20	4	0	2	1	0	0	104	
Canada	10,415	10,240	60,009	94,461	107,167	115,315	138,313	291,455	196,158	274,421	382,564	417,037	
Cayman Islands	0	0	0	0	2	0	0	44	0	0	0	0	
Central African Republic	0	0	0	0	0	0	0	0	119	0	0	0	
Chad	0	0	0	0	0	0	0	0	0	10	0	0	
Chile	59	96	134	315	1,121	3,009	2,887	4,419	4,446	5,463	12,091	12,869	
China	16,754	8,338	6,544	12,625	14,259	15,522	10,158	12,930	16,383	65,008	154,598	182,896	
Cocos (Keeling) Islands	0	0	0	0	0	0	14	68	0	0	0	0	
Colombia	17	9	18	143	122	121	182	309	220	1,086	467	375	
Comoros	0	0	0	0	0	0	0	0	1	0	0	26	
Congo	0	0	0	0	29	2	0	29	33	90	48	168	
Cook Islands	0	0	0	0	0	0	0	0	13	0	0	0	
Costa Rica	11	4	1	33	2	9	17	46	246	285	778	181	
Côte d'Ivoire	0	0	0	0	0	0	0	3	0	193	0	1,619	
Croatia	0	0	0	29	17	14	9	19	22	414	2,102	4,285	
Cuba	0	0	0	4	0	0	0	0	0	0	83	0	
Cyprus	57	8	28	48	248	76	327	35	0	4	41	160	
Czech Republic	141	304	336	336	191	966	1,527	1,008	294	1,993	2,522	8,761	
Democratic Republic of the Congo	0	0	0	0	0	0	31	0	0	0	0	0	
Denmark	2,368	879	1,618	2,156	993	7,652	8,497	8,741	4,217	4,727	11,847	24,478	
Djibouti	0	6	3	8	0	3	0	0	0	0	0	0	
Dominica	0	0	0	0	0	0	2	0	5	5	0	0	
Dominican Republic	0	0	0	3	0	0	0	0	0	0	88	3	
Ecuador	21	19	125	46	82	164	256	345	386	733	1,411	935	
Egypt	20	79	12	120	47	89	155	341	284	416	920	733	
El Salvador	28	0	12	0	77	4	178	39	62	238	365	308	
Equatorial Guinea	0	0	0	0	0	0	0	0	0	0	0	13	
Eritrea	0	0	0	0	0	0	1	18	180	0	0	0	
Estonia	0	4	0	23	175	1,282	1,306	948	432	672	1,589	1,249	
Ethiopia	2	3	0	1	0	129	460	408	27	0	8	5	
Falkland Islands (Malvinas)	0	0	1	0	0	0	0	0	29	0	0	0	
Faroe Islands	0	0	46	0	131	541	18	146	0	0	0	0	
Fiji	21	0	0	2	10	3	8	0	13	16	10	7	
Finland	429	497	616	1,097	506	132	159	1,974	2,213	2,022	1,549	1,831	
France	35,104	38,446	48,950	62,466	52,255	55,300	42,965	34,179	41,975	57,646	94,924	124,242	
French Polynesia	0	0	0	0	0	0	0	0	2	0	2	0	
Gabon	0	0	0	0	0	2	0	0	0	0	20	6,630	
Gambia	0	0	0	0	0	0	0	1	0	16	0	188	
Georgia	5	2	2	1	1	10	3	8	36	0	45	5	
Germany	98,873	118,396	155,138	237,588	225,402	233,807	185,132	138,191	108,892	112,450	323,998	469,722	
Ghana	2	0	0	23	0	1	0	8	20	177	136	1,873	
Gibraltar	0	0	0	0	0	10	0	0	0	0	82	313	
Greece	187	546	615	983	1,780	2,823	2,610	5,608	5,831	4,049	5,827	5,195	
Greenland	0	0	0	14	0	94	38	1	0	0	0	0	
Grenada	0	0	0	0	0	0	0	0	0	0	0	0	
Guatemala	0	1	3	9	9	0	47	239	16	0	185	35	
Guinea	0	2	0	3	0	0	0	3	24	6	26	173	
Guyana	4,066	5,214	0	0	0	0	0	1	0	0	0	0	
Haiti	0	0	0	0	148	0	36	64	0	0	52	1,468	
Honduras	93	35	0	0	0	50	0	38	155	35	15	20	
Hong Kong, China	208,739	438,149	347,530	615,785	541,696	543,295	464,614	840,820	1,649,384	1,386,447	1,198,995	1,682,659	
Hungary	61	354	309	128	103	596	226	255	108	550	478	478	
Iceland	0	2	20	136	3	44	105	61	208	16	42	0	
India	58	189	17	158	208	552	1,051	4,213	4,828	8,033	12,221	8,907	
Indonesia	578	950	2,042	1,533	1,195	1,624	1,625	4,692	4,162	4,168	6,312	8,101	
Iran (Islamic Republic of)	0	0	0	104	1	0	0	675	2,197	633	281	69	
Iraq	0	5	25	0	0	450	1,293	3,450	247	22	70	0	
Ireland	10,997	13,446	9,828	13,891	10,012	15,344	16,541	15,418	18,286	11,845	16,534	18,565	
Israel	84	111	43	63	113	256	187	1,083	1,415	1,522	2,471	4,267	
Italy	2,850	4,573	4,958	9,357	6,601	11,046	20,457	26,603	25,356	49,989	80,703	110,782	
Jamaica	3	0	0	3	2	41	15	33	45	21	22	0	
Japan	13,328	18,893	21,690	25,070	62,918	34,118	33,653	32,138	79,855	89,557	153,379	199,168	
Jordan	0	10	22	3	38	30	7	20	101	257	572	263	
Kazakhstan	0	0	0	0	1	0	86	485	217	510	497	55	
Kenya	16	1	7	0	8	4	19	25	91	303	962	69	
Kiribati	0	0	0	0	4	0	0	0	0	0	6	14	
Korea, Democratic People's Republic of	12	37	61	107	5	101	23	898	2,393	1,897	558	499	
Korea, Republic of	1,007	1,452	1,616	25,077	2,015	3,200	5,778	7,397	9,359	24,486	46,390	78,162	
Kuwait	0	31	18	13	5	14	18	49	1	36	26	31	
Kyrgyzstan	0	0	0	0	0	0	0	0	0	40	0	0	
Lao People's Democratic Republic	813	2,529	878	412	206	276	624	845	361	884	1,233	2,068	
Latvia	9	0	0	7	0	0	0	98	145	396	1,902	979	
Lebanon	0	17	2	31	26	88	24	270	191	6,122	478	307	
Lesotho	0	0	40	0	0	0	18	0	0	154	0	8	
Liberia	0	0	626	0	1	0	64	0	0	0	0	402	
Libya	0	0	0	0	0	0	0	1	0	36	0	2,041	
Lithuania	0	1	0	0	21	14	55	0	180	1,650	2,010	1,477	
Luxembourg	1,624	1,817	3,065	4,203	5,927	6,765	6,372	9,712	8,050	11,358	16,432	11,127	
Macao, China	2	13	0	1	35	0	0	3	184	45	288	560	
Macedonia, The Former Yugoslav Republic of	0	0	0	0	0	0	15	0	0	0	0	0	
Madagascar	11	1	46	426	2	7	2	0	4	1	42	58	
Malawi	0	28	0	0	0	0	0	0	0	1	0	26	
Malaysia	10,320	22,884	16,464	9,060	8,559	7,256	7,862	8,975	14,010	19,428	45,223	89,844	
Maldives	7	0	0	0	28	0	2	0	9	33	15	18	
Mali	2	0	0	0	0	48	165	0	87	79	1	0	
Malta	0	0	0	33	0	11	3	1	0	2	257	423	
Marshall Islands	0	0	0	0	0	0	0	1	0	0	0	0	
Mauritania	0	0	34	59	101	1	9	54	214	112	204	384	
Mauritius	0	6	3	30	3	0	0	9	1	106	4	107	
Mayotte	0	0	0	0	0	0	0	0	0	0	24	274	
Mexico	989	1,621	1,808	2,285	3,806	8,287	9,822	21,195	14,902	29,465	47,884	55,040	
Micronesia (Federated States of)	0	0	0	0	0	0	0	0	0	0	0	0	
Mongolia	0	0	0	3	3	19	48	2	0	3	84	73	
Montenegro	0	0	0	0	0	0	0	0	0	0	5	8	
Montserrat	0	0	0	0	0	0	26	79	0	0	0	0	
Morocco	0	0	3	10	2	7	6	43	0	0	78	0	
Mozambique	0	149	119	116	22	0	230	1	0	8	19	215	
Myanmar	39	56	8	324	70	33	11	1,384	39	2	79	83	
Namibia	0	0	0	0	0	0	0	0	0	3	0	0	
Nauru	0	0	0	0	0	0	0	12	26	16	186	142	
Nepal	0	7	9	2	5	1	9	2	168	96	133	103	
Netherland Antilles	0	0	0	0	0	9	8	0	215	760	537	0	
Netherlands	25,736	24,381	24,259	32,847	21,444	27,632	78,910	152,107	145,226	235,782	171,388	122,551	
New Caledonia	0	0	0	105	28	7	0	1	3	2	142	43	
New Zealand	357	304	1,227	627	353	395	673	999	0	0	2,289	1,628	
