List of importing markets for a product exported by Cambodia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	1,776,787	2,074,919	2,430,970	3,000,762	3,293,566	4,061,415	4,657,777	5,039,524	4,830,280	5,789,844	7,889,405	9,262,042	10,217,631	
Albania	0	23	0	2	4	2	14	10	16	11	58	101	126	
Algeria	116	131	121	103	678	614	949	342	1,064	744	594	1,305	3,047	
Andorra	3	20	3	73										
Antigua and Barbuda					0		0		11	6	7	16	21	
Argentina	213	76	51	337	83	1,547	2,548	5,301	5,997	6,522	14,291	12,230	15,252	
Armenia	0	1	0	0	0	68	113	173	159	134	328	627	1,279	
Australia	2,051	1,637	2,649	3,246	6,436	9,285	16,269	12,373	19,637	24,431	39,266	48,254	76,640	
Austria	11,512	14,170	18,759	27,776	26,689	35,214	42,317	46,398	9,755	7,562	4,954	12,062	20,138	
Azerbaijan	0	0	0	0	2	0	0	0	0	0	0	1		
Bahrain	30	90	6	7	80	6	95	280	10	72	261			
Bangladesh	0	93	1,092	478	52	11	154							
Barbados	20	4	0	2	19	26	6	67	107	20	42	55	42	
Belarus	71	0	0	166	135	85	200	379	338	2,091	2,119	1,366	1,018	
Belgium	11,741	9,555	9,980	23,065	16,313	27,556	44,526	62,053	48,488	74,476	112,933	121,666	162,171	
Belize	0	0	0	0	0	0	0	0	0	0	1	0	0	
Benin	0	0	0	5	0	0	75	27	22	89	104	8	15	
Bermuda												92	159	
Bhutan					0	6	0	24	0	0	0			
Bolivia	17	11	0	0	1	19	73	88	100	96	224	518		
Bosnia and Herzegovina			151	67	151	176	323	626	521	581	1,123	1,356	2,338	
Botswana	0	0	8	0	3	0	2	0	5	0	0	0	0	
Brazil	291	137	227	530	526	1,031	3,780	5,520	9,099	8,667	18,028	19,310	38,812	
Brunei Darussalam	23	4	136	3		45				10	10	44	48	
Bulgaria	1	12	45	101	9,679	198	843	1,493	49	35	2,418	277	25,949	
Burkina Faso	0	62	0	0	34		244	191	465	311	676	291		
Burundi	0	0	0	0	0	16	0	0	32	0	0	27	2	
Cabo Verde	0	0	0	0	0	0	0		0	0	0	0	152	
Cambodia	0	0	0	0	220	2	282	0	470	0	15,073	0		
Cameroon	0	0	10	0	17	12	35	2,990	26	6	65	180		
Canada	15,098	13,320	60,317	107,820	108,560	130,952	189,423	253,454	256,101	346,984	527,446	598,632	677,540	
Chile	109	49	219	351	204	2,177	7,262	5,142	4,824	5,513	12,261	13,408	16,763	
China	34,804	24,550	26,001	29,932	27,305	35,091	51,066	38,828	36,892	93,627	184,298	215,314	361,326	
Colombia	33	31	24	49	149	126	378	794	984	2,491	5,751	6,549	10,532	
Congo							0	0	0	0	0	16	0	
Costa Rica	1	2	0	11	9	126	816	1,036	1,242	1,077	2,097	2,809	3,378	
Côte d'Ivoire	4	19	8	492	157	335	61	62	139	0	836	2,731		
Croatia	162	171	251	469	615	899	2,434	3,205	3,756	3,683	7,476	12,079	3,836	
Cuba	2	19	169	8	40	13								
Cyprus	62	86	46	117	42	84	220	81	86	54	109	874	235	
Czech Republic	984	1,929	2,444	5,106	5,579	6,692	9,429	12,664	12,107	18,499	29,723	40,857	64,343	
Denmark	3,518	3,082	3,685	3,816	1,199	11,217	15,375	19,886	7,124	9,020	7,460	19,834	21,570	
Dominican Republic	1	2	0	0	0	0	2,784	281	200	326	386	768	1,157	
Ecuador	16	0	0	83	25	195	0	1	18	68	2,183	332	4,424	
Egypt	75	216	702	380	133	43	12	60	632	404	554	1,257	1,268	
El Salvador	14	0	15	0	102	21	130	26	46	271	751	480	3,142	
Estonia	184	344	339	815	661	1,422	2,960	2,565	1,646	1,953	2,768	3,378	5,212	
Ethiopia	91	15	10	0	0	2	0	2	3	8	1	50		
Faroe Islands	25	30	528	41	42	57	42	93	61					
Fiji		0	0	32	7	0	3	9	63	0	5	12		
