List of importing markets for a product exported by Canada Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	261,058,871	252,584,260	272,229,686	317,161,192	360,552,446	388,178,676	419,881,604	455,632,184	315,176,831	386,579,900	450,430,008	453,380,895	456,395,278	
Afghanistan	108	1,201	6,447	7,507	15,789	6,318	12,668	23,969	52,482	97,904	58,159	42,203	39,283	
Albania	1,624	1,645	1,714	1,841	4,767	11,354	12,246	35,046	18,866	33,698	61,416	44,617	35,773	
Algeria	191,937	282,332	249,377	218,651	189,284	223,913	471,265	830,568	306,681	290,349	250,687	420,080	362,029	
Andorra	111	95	148	54	102	103	220	152	100	86	108	149	26	
Angola	2,968	4,339	19,240	17,827	61,263	53,534	76,939	126,301	71,595	189,390	124,405	109,190	79,647	
Anguilla	1,810	907	585	951	1,304	1,494	1,514	2,524	1,685	890	2,446	640	958	
Antigua and Barbuda	6,885	5,740	13,104	13,069	15,327	62,225	17,840	21,218	18,581	19,512	10,337	18,986	15,537	
Area Nes	2,006	3	317	78	18	0	30	21	0	0	0	0	0	
Argentina	86,213	27,960	55,727	98,746	144,030	169,556	237,543	251,344	153,072	275,805	500,169	300,117	275,220	
Armenia	1,244	1,563	2,109	2,213	4,196	4,865	8,558	20,124	7,754	18,389	16,932	13,614	14,066	
Aruba	1,807	2,687	4,504	6,047	10,350	8,792	11,505	6,795	5,575	26,841	6,952	11,247	15,299	
Australia	697,181	745,653	1,051,942	1,212,578	1,354,309	1,623,443	1,629,150	2,021,237	1,558,017	1,701,764	1,916,685	2,040,262	1,619,210	
Austria	196,434	155,439	178,352	224,877	372,521	403,537	377,401	453,748	346,187	342,227	371,241	316,837	404,705	
Azerbaijan	2,636	2,216	20,544	9,863	15,320	18,688	29,651	18,610	27,264	19,357	13,579	40,658	30,776	
Bahamas	19,267	26,016	23,401	27,130	54,984	50,892	89,227	217,402	132,374	151,166	132,148	503,937	187,546	
Bahrain	8,767	9,953	12,301	18,843	23,213	27,408	37,923	49,171	34,243	63,655	73,266	69,518	37,493	
Bangladesh	84,377	44,588	90,567	84,193	85,062	145,243	344,109	270,923	551,288	578,339	557,235	525,481	642,052	
Barbados	22,153	24,556	32,779	38,273	50,673	58,374	56,707	46,741	50,758	39,077	49,011	61,382	147,247	
Belarus	1,887	2,849	5,634	4,134	7,286	10,689	5,549	4,017	1,289	1,622	2,182	2,817	1,624	
Belgium	1,248,590	1,222,314	1,316,421	1,740,429	1,893,185	2,124,880	2,773,240	3,230,501	1,666,209	2,092,976	2,416,180	2,307,764	2,403,107	
Belize	2,306	3,304	4,042	4,812	5,953	8,924	6,627	6,919	5,565	6,482	6,173	8,397	8,275	
Benin	4,989	3,591	4,372	4,532	3,113	14,089	10,253	13,250	8,019	14,900	14,219	21,818	23,323	
Bermuda	23,996	71,927	35,333	53,332	65,214	68,339	62,445	65,439	58,530	42,100	80,009	34,382	38,710	
Bhutan	57	12	0	62	42	43	290	28	151	1,574	568	20	210	
Bolivia	10,185	4,557	5,513	9,183	13,227	23,114	14,146	44,709	10,968	47,504	16,598	34,048	25,630	
Bosnia and Herzegovina	838	439	2,013	1,363	1,978	4,715	4,979	6,131	3,057	4,659	4,428	2,231	1,795	
Botswana	1,189	2,317	3,485	12,974	5,199	12,012	11,416	10,121	3,898	3,635	4,839	2,065	268,217	
Brazil	618,634	488,499	636,007	732,853	912,557	1,170,980	1,408,668	2,431,911	1,404,143	2,489,570	2,868,820	2,580,227	2,401,034	
British Indian Ocean Territories	3	8	870	1,212	1,860	1,356	837	892	1,030	2,129	21	131	222	
British Virgin Islands	1,496	1,563	3,300	3,401	2,951	3,852	2,418	9,095	3,338	21,760	48,824	1,804	3,529	
Brunei Darussalam	733	1,168	1,954	3,496	2,630	15,548	2,829	2,436	4,998	11,806	3,703	4,306	23,299	
Bulgaria	13,522	10,633	12,411	39,222	39,356	46,960	29,687	75,175	62,312	114,211	192,390	169,118	72,144	
Burkina Faso	3,463	1,391	2,153	7,248	12,572	3,496	12,306	11,731	36,201	29,921	50,701	66,691	50,480	
Burundi	318	500	1,759	1,106	2,103	724	1,811	1,879	1,074	901	1,107	1,434	2,540	
Cabo Verde	37	94	43	38	688	243	142	928	1,275	1,068	1,841	729	1,550	
Cambodia	1,004	1,063	1,032	1,240	2,020	3,003	5,321	3,214	6,189	4,050	11,533	7,602	5,134	
Cameroon	19,499	8,960	14,024	7,880	12,911	8,605	18,186	22,590	30,114	28,828	27,410	39,586	43,221	
Canada	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cayman Islands	42,241	5,625	7,030	10,988	20,527	33,351	54,151	14,868	6,957	7,488	8,552	9,164	58,104	
Central African Republic	178	277	96	528	259	224	445	328	878	126	312	194	32	
Chad	2,157	718	2,984	2,807	4,860	10,462	13,043	5,724	10,920	6,662	2,956	4,341	24,369	
Chile	238,455	180,164	231,526	276,671	344,906	417,011	702,068	683,352	566,305	570,637	826,887	789,751	784,838	
China	2,755,220	2,633,770	3,436,397	5,209,106	5,961,766	6,879,498	8,873,347	9,881,454	9,797,290	12,854,414	16,984,616	19,363,968	19,923,755	
Christmas Islands	13	290	153	266	422	365	119	253	242	892	494	329	1,232	
Cocos (Keeling) Islands	2	0	67	201	52	117	1,222	622	205	138	306	211	78	
Colombia	236,381	218,922	219,794	297,858	370,426	452,504	617,764	669,152	520,148	623,935	768,400	828,749	696,161	
Comoros	134	21	164	217	717	716	442	462	2,772	132	436	474	303	
Congo	8,753	2,728	4,839	9,081	9,772	15,025	24,222	36,025	26,832	18,254	26,462	20,384	18,566	
Cook Islands	8	2	659	289	362	239	498	517	69	80	240	436	156	
Costa Rica	40,618	49,048	50,556	58,951	70,273	60,832	76,094	101,547	70,205	97,077	162,343	185,602	111,583	
Côte d'Ivoire	10,176	12,597	4,279	7,950	10,519	16,682	16,319	25,778	23,612	21,630	20,642	37,776	37,020	
Croatia	8,897	8,746	34,171	15,636	16,866	22,193	26,063	67,100	90,983	91,638	36,370	17,051	21,067	
Cuba	254,800	178,870	195,613	253,709	370,229	453,191	525,476	722,558	279,313	379,140	466,975	422,266	454,716	
Cyprus	9,992	13,548	6,399	21,665	8,894	13,007	17,387	16,858	10,959	47,294	12,531	9,582	7,761	
Czech Republic	33,846	53,326	71,213	88,064	116,352	191,431	223,667	220,273	120,156	113,072	122,174	116,985	130,878	
Democratic Republic of the Congo	0	7,658	8,300	8,092	12,410	17,697	36,899	23,534	16,241	13,589	19,244	22,687	16,949	
Denmark	371,120	256,533	194,900	223,485	239,979	276,045	361,701	403,326	543,652	299,931	275,832	333,445	237,559	
Djibouti	183	665	432	1,569	1,654	2,438	1,084	1,484	2,387	4,676	1,684	1,974	2,548	
Dominica	1,807	1,719	5,704	4,228	4,195	5,393	4,588	5,744	4,219	4,700	4,078	5,400	5,061	
Dominican Republic	70,521	82,145	60,957	77,945	120,081	142,465	184,775	196,911	112,692	188,619	150,237	127,527	149,847	
Ecuador	86,111	85,293	106,146	125,179	130,540	139,385	227,549	224,716	236,442	255,347	284,095	265,265	294,548	
Egypt	143,112	117,826	165,758	155,090	260,383	372,463	323,660	597,305	561,729	610,405	718,354	447,540	485,627	
El Salvador	22,917	26,001	33,106	40,301	46,059	44,475	44,637	58,042	52,052	35,253	36,563	34,724	41,718	
Equatorial Guinea	1,901	1,338	2,269	1,447	2,095	1,357	2,301	21,613	7,276	4,622	11,556	10,882	5,238	
Eritrea	287	244	2,002	492	1,351	976	899	1,216	2,102	2,594	4,747	2,589	1,248	
Estonia	4,248	3,661	5,921	8,117	23,555	25,440	30,994	22,349	26,865	22,657	105,875	22,879	18,410	
Ethiopia	4,571	3,846	17,057	11,655	22,377	13,565	15,112	52,472	10,143	168,427	17,316	121,317	21,027	
Falkland Islands (Malvinas)	14	9	97	100	82	41	23	124	11	111	113	38	63	
Faroe Islands	177	137	150	1,601	1,991	2,144	1,731	1,826	917	462	548	596	434	
Fiji	1,827	4,666	4,092	3,092	7,633	3,196	4,573	2,610	4,474	4,064	7,409	8,525	5,815	
Finland	169,882	176,573	251,076	247,697	358,075	417,869	670,614	951,536	290,642	389,466	761,628	455,689	338,873	
France	1,402,916	1,276,550	1,565,142	1,833,678	2,096,744	2,540,996	2,916,351	3,058,325	2,351,621	2,282,191	3,111,145	3,154,235	2,940,290	
French Polynesia	6,242	5,267	7,881	12,090	13,075	12,686	15,135	17,339	9,655	11,965	12,276	8,428	20,561	
French South Antarctic Territories	135	1,698	3,345	1,928	2,036	424	1,105	3,541	1,784	801	1,034	7,796	1,685	
Gabon	2,756	4,097	2,284	8,444	9,242	15,341	18,495	30,241	30,505	19,479	20,674	26,120	27,958	
Gambia	360	364	257	203	257	565	739	795	679	769	820	966	1,306	
Georgia	4,757	1,580	1,931	6,806	9,169	12,896	14,262	23,041	15,366	18,531	22,854	19,960	27,947	
Germany	1,893,271	1,883,499	2,080,686	2,065,303	2,674,962	3,487,002	3,587,148	4,220,558	3,250,435	3,676,691	3,859,481	3,400,807	3,252,990	
Ghana	40,546	44,872	43,457	51,914	77,946	97,055	129,585	169,270	139,000	174,013	268,995	215,667	249,055	
Gibraltar	151	325	7,996	14,457	34,474	30,652	40,341	563,381	15,136	24,588	95,323	28,587	78,829	
Greece	165,612	92,828	132,875	224,590	115,032	135,278	144,299	143,744	98,200	111,568	89,014	98,409	87,218	
Greenland	5,512	2,932	5,704	10,789	16,824	21,501	17,551	12,776	11,138	14,140	15,957	10,889	10,392	
Grenada	2,094	2,873	4,519	5,345	6,535	6,525	6,750	6,235	5,298	5,317	4,797	5,618	4,656	
Guatemala	91,854	82,725	91,500	113,145	143,025	162,131	122,078	143,689	98,406	88,096	110,714	113,795	96,875	
Guinea	4,475	4,332	3,008	4,095	7,034	7,119	9,645	19,588	15,306	10,098	27,364	28,420	13,962	
Guinea-Bissau	43	23	118	11	32	67	110	667	13	65	239	77	73	
Guyana	5,381	7,015	7,143	9,075	13,530	21,470	25,362	20,419	25,241	28,483	38,123	26,776	18,881	
Haiti	17,362	19,574	14,766	15,467	27,903	27,283	29,551	48,562	36,228	46,594	38,101	35,970	37,242	
Honduras	9,845	10,572	22,824	19,328	36,668	32,895	48,267	81,999	32,051	39,616	49,661	38,678	43,865	
Hong Kong, China	802,182	765,995	840,151	1,069,066	1,198,537	1,418,702	1,446,769	1,671,709	1,312,174	1,819,476	2,989,717	2,459,542	4,778,861	
Hungary	27,214	47,623	72,782	41,125	58,512	115,360	190,742	224,604	241,032	161,175	371,388	214,219	143,057	
Iceland	17,646	34,767	34,030	73,743	74,207	138,215	90,962	48,218	71,296	102,276	52,980	49,981	43,228	
India	437,064	430,353	545,505	662,854	898,252	1,476,711	1,671,504	2,282,702	1,879,253	1,999,923	2,654,521	2,357,692	2,761,996	
Indonesia	301,459	314,089	325,369	514,594	572,953	703,030	922,885	1,385,164	852,797	1,031,153	1,660,832	1,681,590	1,842,439	
