List of importing markets for a product exported by Cayman Islands (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	171,063	228,719	651,163	679,464	796,486	2,152,137	325,218	510,816	219,299	1,159,966	993,327	625,486	863,683	
Albania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Anguilla	0	1	0											
Antigua and Barbuda					1		0		150	117	58	3	6	
Armenia	0	0	0	0	77	0	0	0	0	0	0	0	0	
Aruba					0				0	0	0	0		
Australia	0	12	1	1	177	10	73	41	760	36	1,946	703	661	
Austria	3	6	2	2	1	13	5	17	6	2	0	3	4	
Azerbaijan	48	0	0	0	80	0	0	0	0	0	0	0		
Bahamas	180	43	47	250	0	0	0	0	0	0	403	1,218		
Bangladesh	0	38	65	3	0	15	0							
Barbados	6	98	31	58	22	215	97	55	221	275	20	71	31	
Belarus	0	69	29	0	0	0	0	0	0	0	0	0	0	
Belgium	25	5	3	28	65	0	80	15	11	2	0	30	4	
Belize	5	1	28	32	99	75	18	4	5	680	3	3	23	
Benin	0	0	0	0	0	0	0	0	0	4	3	0	0	
Bermuda												77	69	
Bolivia	0	0	0	0	0	0	5	17	0	2	0	0		
Bosnia and Herzegovina			0	0	0	8	3	3	2	6	3	5	1	
Botswana	0	0	0	0	0	0	116	0	0	320	0	0	0	
Brazil	3,440	19,467	16,796	29,058	7,902	18,548	137,327	24,908	318	47	305	12,612	454	
Bulgaria	1	1	2	0	0	4	0	49	0	1	0	14	1	
Burkina Faso	0	0	0	0	0		2	0	0	0	0	0		
Cabo Verde	0	1	0	0	0	0	0		0	40	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	0	0	0		
Canada	17,806	2,390	1,602	831	364	238	292	182	567	296	783	414	175	
Chile	0	0	0	0	47	175	0	1	27	35	371	0	28	
China	0	1	0	0	0	116	5	0	7	316	90	123	264	
Colombia	18	6	30	252	3,724	145	409	437	1,962	867	1	295	205	
Comoros	0	0	13	0	0	0	0	0	0					
Costa Rica	49	0	2,663	178	341	265	618	1,714	13,118	5,056	4,407	1,319	47	
Côte d'Ivoire	0	0	0	0	0	0	0	0	0	0	0	189,586		
Croatia	1	2	1	11	24	11	1,258	10	3	118	2,943	5	32	
Cuba	16	7	1	5	81	5								
Cyprus	5	0	0	0	0	0	0	0	0	0	0	0	0	
Czech Republic	79	419	12	0	2	480	7	7	40	43	153	68	86	
Denmark	6	0	32	544	1	0	241	37	320	2,656	77	298	208	
Dominica	0	113	1	0	0	0	0	0	0	12	34	12		
Dominican Republic	0	0	4	0	0	134	2,120	37	0	17	284	738	1	
Ecuador	0	0	22	0	0	0	0	0	0	0	19	22	0	
El Salvador	0	49	0	1	0	0	303	11	1	1	1	0	196	
Estonia	1	0	0	81	0	0	0	0	0	0	0	0	0	
Ethiopia	49	230	11	1,096	2	179	0	0	0	0	0	0		
Faroe Islands	1	0	2	0	0	0	0	0	0					
Fiji		0	0	17	0	1	0	0	0	0	0	0		
Finland	0	3	0	0	0	0	0	12	0	0	10	0	0	
France	1,958	4,174	3,670	9,186	124	190,346	42,241	212,885	126,186	178,111	211,531	84,761	26,508	
French Polynesia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Germany	630	658	1,878	17,407	938	692,703	175	2,270	3,102	85	6,029	136,843	279,215	
Ghana	0		49		0	0	1	0	0	0	0	0		
Greece	648	44	0	4,400	0	2,567	13,030	7	7,728	0	0	129	1	
Grenada	6	2	153	0	0	0	0	19						
Guatemala	273	38	0	24,435	0	81	267	0	31	0	2	32	0	
Guinea	1,016	13		119	0	10	0	0		0	0	0		
Guyana	3	0	0	1	0	2	0	1	20	397	7	13	20	
Honduras	2	0	0	0	0	0	0	0	0	0	0	0	0	
Hungary	1	0	0	102	0	984	130	81	2	0	2	0	2	
Iceland	0	0	0	0	0	6,329	0	0	0	28,971	17,613	0	0	
India	0	0	0	4	1	109	25	150,101	1,436	26	2	5	13	
