List of importing markets for a product exported by Chad (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	84,923	67,742	97,919	1,387,493	2,172,062	2,513,129	2,514,590	3,923,673	2,331,034	3,206,106	3,894,386	3,276,086	3,105,303	
Algeria	2	24	236	2	1	168	25	25	17	2	193	3,024	88	
Andorra	0	0	0	0										
Antigua and Barbuda					0		3		0	0	0	0	0	
Argentina	0	0	5	0	0	8	0	45	88	30	104	138	65	
Australia	0	0	50	11	27	23	37	0	37	2	4	0	0	
Austria	601	43	217	146	4	12	66	1	2	0	0	46	65	
Bahrain	0	0	0	0	0	0	0	0	0	3	0			
Bangladesh	2,138	1,111	1,825	6,726	8,760	4,521	7,231							
Barbados	0	0	0	0	0	0	0	0	0	0	1	0	0	
Belarus	0	0	0	0	0	0	0	3	4	0	0	0	0	
Belgium	1,836	911	1,513	22	29	53	276	236	17	18	8	876	31	
Benin	7	25	30	2	1	0	91	14	0	2	0	0	0	
Bolivia	0	0	0	0	0	0	0	0	0	0	2	9		
Bosnia and Herzegovina			0	87	22	0	1	0	0	2	12	0	0	
Botswana	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brazil	4	0	23	0	7	5	10	0	273	1	2	100	22	
Brunei Darussalam	0	0	0	0		0				115	161	73	56	
Bulgaria	2	0	0	2	22	0	3	4	0	0	0	0	0	
Burkina Faso	0	0	739	27	290		0	8	602	961	3	4		
Burundi	5	0	0	0	0	0	0	1	1	3	6	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	0	0	3		
Cameroon	105	324	87	153	1	68	249	10	11	69	72	623		
Canada	111	28	27	78	11	27	23	228	195	1,052	440	115,320	261	
Central African Republic	974	483	572			4	447	295	180	600	1,580	909	355	
Chile	0	0	0	0	0	12	0	0	4	63	46	6	4	
China	11	1,534	2,838	222,586	191,083	260,313	84,069	41,604	65,367	495,797	265,319	220,729	103,500	
Colombia	0	470	65	5	25	0	30	7	33	0	3,471	27	44	
Comoros	0	0	0	0	21	0	0	0	0					
Congo							100	195	293	280	1,059	90	29	
Costa Rica	0	0	0	8	0	3	0	0	0	1	0	0	19	
Côte d'Ivoire	17	9	2	11	31	18	6	10	10	265	5,432	48		
Croatia	1,879	1,397	1,000	185	717	194	0	22	6	0	2	1	0	
Cuba	39	0	0	0	16	229								
Cyprus	11	0	1	28	1	0	0	0	0	0	1	3	1	
Czech Republic	4,205	2,456	2,906	2,173	2,010	1,794	3,214	620	347	423	1,583	4,551	562	
Denmark	27	0	0	0	0	4	82	0	5	5	1	14	0	
Dominica	0	6	0	0	0	0	6	0	0	0	0	0		
Dominican Republic	0	0	0	0	66	245	642	75	120	12	10	103	466	
Ecuador	804	17	0	0	0	0	0	297	0	1	1	26	0	
Egypt	180	236	187	119	59	0	1,595	0	56	429	125	124	179	
El Salvador	0	0	0	0	0	103	0	0	0	8	0	0	0	
Estonia	0	0	0	0	0	44	0	0	0	0	0	0	0	
Ethiopia	0	6	0	9	155	216	163	59	731	15	62	1		
Faroe Islands	0	0	0	0	0	0	0	0	4					
Fiji		0	0	0	0	0	0	0	4	2	0	0		
Finland	0	0	0	0	0	0	1	4	0	1	3	1	3	
France	5,735	4,052	4,066	8,635	15,291	14,331	9,082	56,782	111,025	46,205	219,936	11,379	51,208	
French Polynesia	0	0	0	0	0	1,742	1,565	1,946	2,181	0	0	2,545	0	
Gabon	0	0	31	43	53	54	32	6	43					
