List of importing markets for a product exported by Chile (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	18,693,153	19,071,339	22,631,622	33,795,669	41,723,757	59,454,273	68,751,616	70,735,616	55,267,817	71,925,084	85,962,063	80,832,786	77,923,387	
Albania	0	4	51	1	126	148	321	343	273	186	344	252	222	
Algeria	197	394	845	2,401	2,669	1,425	3,675	2,502	8,769	12,278	11,302	8,471	7,034	
Andorra	57	34	14	234										
Anguilla	13	30	24											
Antigua and Barbuda					842		709		1,421	1,293	1,752	1,698	1,334	
Argentina	505,723	176,629	289,835	404,331	671,937	599,471	708,485	951,770	664,986	885,049	1,092,801	1,011,094	964,971	
Armenia	0	11	0	0	77	538	359	834	494	1,170	704	982	2,028	
Aruba					2,100				2,125	2,550	2,374	2,007		
Australia	42,974	49,137	93,346	74,791	103,565	114,008	282,648	588,643	485,111	843,888	968,649	1,237,774	967,635	
Austria	50,773	36,906	48,688	93,757	198,856	193,848	235,567	267,462	53,246	98,180	105,050	86,681	99,826	
Azerbaijan	32	13	45	63	182	50	81	152	67	245	737	406		
Bahamas	472	958	839	1,098	1,165	894	1,074	1,404	1,704	1,612	659	2,627		
Bahrain	2,490	2,910	4,002	3,040	3,680	2,804	4,672	4,850	2,773	2,690	6,889			
Bangladesh	2,832	2,071	6,433	7,653	10,369	3,505	3,080							
Barbados	1,314	2,312	1,717	2,252	2,621	2,328	2,484	2,043	3,612	3,232	2,674	3,551	4,920	
Belarus	446	876	773	1,828	4,557	6,431	12,308	12,970	12,605	11,562	6,928	10,725	20,530	
Belgium	140,975	134,134	174,649	240,332	287,931	313,346	421,618	475,681	729,038	1,011,625	1,370,527	1,176,416	1,116,799	
Belize	207	166	491	553	1,204	1,530	1,380	1,709	1,673	965	1,392	1,779	2,528	
Benin	219	157	108	91	55	637	311	3	850	499	206	380	416	
Bermuda												435	395	
Bolivia	144,728	122,983	121,941	111,347	162,413	235,187	223,613	347,461	236,200	281,202	308,507	382,123		
Bosnia and Herzegovina			160	329	508	472	542	643	538	842	770	1,055	1,027	
Botswana	0	1	0	0	0	0	0	0	0	0	0	0	0	
Brazil	843,829	648,734	821,234	1,398,652	1,746,017	2,881,855	3,482,694	4,161,962	2,615,733	4,101,077	4,569,488	4,164,609	4,328,270	
Brunei Darussalam	70	154	98	167		105				111	271	149	281	
Bulgaria	42,324	21,991	60,130	180,874	171,687	405,825	566,376	492,950	339,938	237,996	6,733	3,233	3,377	
Burkina Faso	274	18	0	167	100		4,473	3,449	4,850	992	749	1,795		
Burundi	0	0	0	0	0	0	0	0	0	79	0	0	0	
Cabo Verde	38	56	118	65	21	31	25		62	151	290	178	153	
Cambodia	101	114	55	82	1	121	156	146	212	295	398	680		
Cameroon	1,113	1,199	1,524	2,923	3,406	5,924	15,772	15,225	8,002	2,513	3,048	2,509		
Canada	413,804	427,383	633,785	1,006,988	1,373,126	1,634,871	1,576,305	1,690,015	1,521,879	1,818,589	1,930,836	1,678,789	1,702,026	
Central African Republic	0	11	0			0	0	0	0	0	0	0	0	
Chile	0	0	0	0	0	32,931	8,969	29,963	8,548	0	0	0	9,252	
China	1,303,461	1,567,091	2,248,158	3,666,724	4,991,536	5,735,872	10,280,372	11,172,814	12,790,520	17,935,193	20,578,293	20,631,633	20,801,437	
Colombia	262,486	280,834	299,859	341,322	377,144	512,283	660,597	705,723	589,753	736,503	901,631	954,381	903,839	
Comoros	0	0	0	0	0	0	21	0	0					
Congo							2,055	4,312	100	59	308	556	642	
Cook Islands					2									
Costa Rica	54,250	73,559	79,332	109,087	106,265	214,084	179,502	206,621	172,851	218,986	265,144	290,949	271,617	
Côte d'Ivoire	2,846	1,491	247	754	395	255	1,874	10,742	10,525	7,450	2,261	2,943		
Croatia	1,617	2,001	3,472	3,742	3,763	5,834	7,423	11,653	22,450	10,701	5,522	4,193	795	
Cuba	46,296	48,243	57,407	77,179	64,201	48,802								
Cyprus	425	324	452	650	845	1,567	2,496	2,873	2,652	3,472	4,384	4,128	3,333	
