List of importing markets for a product exported by Christmas Islands (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	15,394	32,926	20,868	15,019	16,410	17,940	26,097	52,571	12,512	16,218	23,002	38,723	29,822	
Albania	0	0	9	2	0	0	0	1	0	0	0	0	9	
Armenia	0	0	0	0	0	0	0	1	0	0	0	0	0	
Australia	3,095	4,152	1,809	1,299	2,792	2,645	4,569	14,351	0	2,245	6,643	6,585	2,431	
Austria	0	2	83	0	0	0	9	0	0	0	17	0	0	
Bahrain	0	0	0	0	0	0	0	0	0	8	0			
Bangladesh	210	17	53	1	0	7	11							
Barbados	4	0	1	0	0	0	0	0	2	0	0	0	0	
Belgium	0	0	0	0	0	29	1	6	0	0	0	1	0	
Benin	0	0	11	0	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	0	0	0	0	1	0	0	1	0		
Bosnia and Herzegovina			0	0	0	0	0	1	0	0	0	0	0	
Brazil	0	3	0	0	0	0	0	0	0	1	1	7	0	
Brunei Darussalam	0	0	0	0		0				7	5	0	0	
Bulgaria	0	0	0	0	0	2	5	0	0	0	0	0	0	
Cameroon	0	0	0	0	0	0	0	0	0	0	0	0		
Canada	4	35	37	20	18	80	13	86	28	139	105	48	138	
Colombia	5	0	0	0	0	0	0	0	0	0	0	0	0	
Costa Rica	0	2	0	0	0	1	0	0	0	0	0	0	0	
Côte d'Ivoire	0	0	0	0	0	0	0	0	0	0	0	70		
Croatia	0	0	0	0	1	0	0	0	1	3	0	0	0	
Cyprus	0	0	0	0	1	0	0	0	0	0	0	0	0	
Czech Republic	4	0	4	2	10	1	0	0	1	22	7	7	76	
Denmark	0	0	6	0	98	0	1	0	0	37	3	0	0	
Dominican Republic	0	0	0	0	17	0	0	0	0	0	0	112	0	
Ecuador	0	1	0	0	0	0	0	0	0	0	0	2	111	
Estonia	0	0	0	0	0	0	1	0	9	1	0	0	0	
Ethiopia	0	0	0	0	0	0	0	1	0	0	2	4		
Faroe Islands	0	0	0	0	0	0	0	0	2					
Fiji		0	0	0	0	38	149	59	0	0	0	0		
Finland	1	0	0	0	0	0	0	0	0	0	0	0	0	
France	34	1	6	25	0	8	1	74	6	0	8	1	17	
Gabon	0	0	0	0	0	0	0	0	0					
Germany	0	167	170	13	7	15	14	0	60	32	28	25	71	
Greece	0	0	0	0	0	0	7	0	0	0	0	0	0	
Guatemala	8	0	0	0	0	0	0	0	0	0	0	0	0	
Guinea	0	7		0	0	0	0	0		0	0	0		
Guyana	0	0	0	0	0	0	0	0	0	85	0	0	0	
Hungary	0	0	0	0	0	1	5	0	0	0	0	0	0	
India	11	0	0	36	67	0	628	659	6,450	139	19	78	59	
Indonesia	1,590	3,055	3,811	2,090	956	153	0	126	6	218	5,110	6,244	6,251	
Ireland	0	0	0	0	2	15	1,004	12	3	124	55	43	45	
Italy	0	41	0	0	2	94	297	48	0	17	0	12	0	
Kazakhstan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Kenya	0	0	0	0	1	0	0	0	0	0	0			
Korea, Republic of	139	274	3	4	294	144	548	0	6	0	10	5	1	
Lebanon	0	0	0	18	0	0	1	3	0	0	0	2	0	
Luxembourg	0	0	0	0	0	0	0	2	0	0	0	1	0	
Madagascar	0	0	0	0	0	0	0	0	0	0	0	5	0	
Malawi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Malaysia	8,025	6,931	8,440	10,110	9,350	10,011	11,305	31,351	3,312	10,405	8,572	19,461	18,657	
Mauritius	0	0	0	0	0	0	0	0	0	1	0	0	0	
Mexico	38	0	0	0	2	0	13	80	2	45	8	61	58	
Montenegro						0	0	0	0	0	0	0	1	
Mozambique	0	0	0	0	0	0	0	0	0	0	8	88	61	
Myanmar										5				
Nepal			0						0	0	4			
Netherland Antilles					0	2	7	3						
Netherlands	0	0	0	0	16	16	60	3	144	123	5	32	4	
New Zealand	1,655	0	0	0	0	6	2,084	2	607	1,700	10	4,314	17	
Nicaragua	0	0	0	0	0	0	2	0	0	0	0	0	0	
Niger	0	0	0	0	0	0	2	0	0	0	1	0	0	
Nigeria	13	30	1,140			942	59	3,157	82	70	0	38		
Oman	28	0	0	0	0	0	0	0	0	0	0	0	0	
Pakistan			0	32	1,398	0	6	0	21	2	0	368	240	
Peru	0	0	0	0	0	0	4	0	0	0	0	0		
Philippines	0	2,860	430	0	0	0	0	0	0	0	0	0	163	
Poland	0	0	0	56	8	36	58	11	7	25	15	25	125	
Portugal	0	0	13	0	0	0	0	0	0	0	0	12	0	
Russian Federation	0	0	0	0	0	0	0	0	0	0	0	12	4	
Saint Kitts and Nevis	0	0	0	0	0	0	0	0	0	3	0			
Saint Lucia	0	0	0	0	0	0	0	3						
Saint Vincent and the Grenadines	0	0	0	0	0	0	0	0	1	0	0	0		
Sao Tome and Principe	0	0	19	0	0	0	0	0	0	0	0	0	0	
Serbia					2	35	0	1	0	0	0	0	0	
Serbia and Montenegro	0	0		2										
Seychelles	0	0	0		0	0		121						
Singapore	2	500	1	30	33	1,136	240	138	583	57	70	429	168	
Slovakia	0	0	0	346	613	1,080	406	2	11	2	31	0	5	
Slovenia	0	12	14	1	0	0	0	0	0	0	0	0	0	
South Africa	7	0	1	3	7	849	122	29	50	5	58	2	2	
Spain	0	0	0	0	0	0	0	0	0	1	0	0	0	
Sri Lanka	0	0	0	0	0	0	0	0	0	0	1	17		
Sudan (North + South)	0	0	0	0	0	0		1	26	0	247			
Sweden	0	0	0	0	0	0	0	0	179	4	0	0	14	
Switzerland	0	0	0	0	37	8	28	82	43	36	358	0	9	
Taipei, Chinese	0	0	0	0	0	0	1	0	1	0	0	0	2	
Tanzania, United Republic of	0	0	1	1	10	61	0	9	12	4	0	0	0	
Thailand	2	13,709	3,463	37	176	34	0	0	1	1	3	0	0	
Togo	4	2	0	21	0		0	2	0	0	0	0	0	
Trinidad and Tobago	0	0	0	0	0	2	0	0	0	0				
Turkey	0	412	866	267	12	0	0	0	1	51	59	51	1	
Uganda	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ukraine	0	0	0	0	0	0	0	0	0	1	0	0	0	
United Kingdom	9	48	62	13	16	5	37	0	67	0	35	54	20	
United States of America	205	665	382	590	464	484	4,399	2,145	788	599	1,503	507	1,062	
Viet Nam	300	0	33	0	0	0	0	0	0	0	0	0		
Zimbabwe	1	0		0	0	0	0	0	0	0	0	0	0	
