List of importing markets for a product exported by Cocos (Keeling) Islands (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	2,116	12,269	1,147	6,108	2,530	6,271	4,849	29,784	5,417	9,704	54,752	7,401	3,614	
Albania	0	0	0	14	3	0	12	0	0	1	0	3	0	
Australia	53	22	1	2	26	40	55	5	25	98	116	231	243	
Austria	0	18	0	0	9	0	71	1	0	18	0	0	0	
Bangladesh	0	0	0	0	47	11	79							
Barbados	4	0	22	0	25	0	0	3	0	2	5	0	5	
Belarus	0	1	0	0	0	0	16	5	0	0	15	0	0	
Belgium	0	23	0	0	5	142	3	13	0	1	37	116	13	
Belize	24	0	0	0	0	0	0	0	0	0	0	0	0	
Benin	16	0	0	0	0	0	0	0	0	0	0	0	0	
Bermuda												1	0	
Bolivia	0	2	0	0	0	1	0	0	0	12	24	0		
Bosnia and Herzegovina			0	8	5	15	8	0	0	8	2	0	0	
Botswana	0	5	0	0	0	0	0	0	0	0	0	0	0	
Brazil	234	5	304	22	56	475	608	1,801	237	236	2	95	14	
Bulgaria	0	7	0	0	3	28	343	3	0	0	0	0	0	
Burkina Faso	0	0	0	0	0		51	2	7	0	0	1		
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	3	
Cambodia	0	0	0	0	0	0	139	4	764	52	28	0		
Cameroon	0	0	0	0	0	0	0	30	0	8	207	4		
Canada	4	2	13	25	73	53	39	44	101	21	19	140	32	
Colombia	96	2	0	0	3	4	230	1	12	0	61	515	874	
Congo							0	1	0	0	0	0	0	
Costa Rica	0	0	0	0	0	0	14	15	5	40	1	0	4	
Côte d'Ivoire	0	1	0	0	0	0	0	0	0	0	0	0		
Croatia	1	1	0	3	2	2	0	6	0	2	3	4	0	
Cyprus	0	0	0	0	0	0	1	0	0	2	2	1	0	
Czech Republic	1	28	0	33	54	44	2	2	2	4	19	18	8	
Denmark	1	0	0	54	39	0	4	98	0	0	1	1	216	
Djibouti									32					
Dominica	0	0	0	0	0	3	0	0	0	0	0	0		
Dominican Republic	0	0	0	0	54	216	32	0	54	0	0	0	0	
Ecuador	0	1,507	0	2	0	6	0	21	0	4	146	248	55	
El Salvador	0	0	0	0	53	43	0	0	0	2	0	9	0	
Estonia	0	0	0	10	0	11	2	7	2	0	0	0	0	
Fiji		0	0	0	0	1	0	13	0	0	0	21		
Finland	0	0	0	0	0	0	3	0	0	0	0	0	0	
France	9	4	24	47	0	94	7	62	67	190	21	141	19	
Gabon	0	0	0	0	23	0	0	0	0					
Germany	0	105	40	263	52	0	37	25	4	122	139	413	0	
Ghana	0		0		0	0	0	11	0	0	0	0		
Greenland	0	0	0	0	0	0	0	0	1	0	0	0	0	
Grenada	10	17	26	0	0	0	1	56						
Guatemala	0	1	9	0	56	0	19	0	10	0	128	0	1	
Guinea	0	10		0	0	0	0	0		0	0	3		
Guyana	0	0	1	2	0	0	0	25	0	1	0	0	0	
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	0	
India	0	50	0	0	0	0	15	43	0	28	47,528	0	0	
Indonesia	40	132	178	9	4	9	44	11,926	41	14	9	11	33	
Ireland	0	0	0	26	7	0	3	1	0	36	107	4	4	
Italy	0	0	0	4	0	3	28	64	0	29	0	1	0	
Japan	22	4,516	35	45	0	0	0	0	0	0	0	0	0	
Kazakhstan	0	0	0	0	0	33	0	7	0	0	37	0	1	
Kenya	0	0	0	0	0	0	0	0	0	0	0			
Korea, Republic of	0	39	45	31	80	59	67	19	50	52	13	29	63	
Kyrgyzstan	94	0	0	0	0	0	0	0	0	0	0	0		
Lebanon	53	2	0	2	1	9	4	1	0	2	0	3	6	
Luxembourg	0	0	0	0	0	0	0	0	0	0	9	3	0	
Madagascar	6	19	0	0	16	8	11	0	0	0	30	1	44	
Malawi	0	0	0	0	0	0	0	0	0	1	0	7	8	
Malaysia	0	0	0	0	0	60	16	217	0	34	0	0	0	
Mali	0	0	0	0	0	0	0	0		0	1	0		
Mauritania	0	0	0	0	0		0	0	0	0	12	0		
Mauritius	0	0	0	0	0	0	0	3	0	0	15	0	0	
Mexico	66	0	0	0	3	73	35	89	3	13	5	28	173	
Montenegro						1	1	1	0	0	0	0	0	
Morocco	1	36	0	0	0	0	31	0	0	0	0	0	0	
Mozambique	0	0	0	0	0	0	0	5	0	0	7	0	0	
Myanmar										129				
Nepal			0						7	1	31			
