List of importing markets for a product exported by Colombia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	12,301,486	11,897,488	13,092,218	16,729,678	21,190,439	24,390,975	29,991,332	37,625,882	32,852,986	39,819,529	56,953,516	60,273,618	58,821,870	
Afghanistan	0	0	41	458	12	96	19	64	2,696	1,577	0	17	19	
Albania	2	4	707	146	26	7	129	394	176	7	537	279	1,108	
Algeria	1,224	299	4,632	3,273	1,185	1,228	1,323	123	167	765	1,159	2,151	1,812	
Andorra	204	172	101	336	111	0	2,475	2,789	557	28	42	0	0	
Angola	272	33	51	327	1,106	565	778	851	5,599	4,498	6,963	11,790	13,686	
Anguilla	318	265	222	299	402	43	273	65	73	93	69	0	0	
Antigua and Barbuda	196	603	3,738	2,497	1,366	1,933	11,200	2,402	1,735	674	664	1,927	611	
Area Nes	144,426	124,724	862	305,250	111	612	96	8,698	0	42,326	1,148	22,064	857,814	
Argentina	37,098	13,102	18,898	36,343	47,382	51,187	74,110	132,549	98,586	130,382	305,250	288,253	433,026	
Armenia	0	23	0	0	16	43	70	199	661	648	412	665	277	
Aruba	10,948	7,698	12,611	42,926	136,176	228,903	14,705	23,666	18,609	97,234	1,724,064	1,027,488	1,716,467	
Australia	13,581	12,974	13,290	21,135	17,206	16,264	17,110	22,238	19,466	33,672	37,954	40,205	47,764	
Austria	3,426	3,482	2,950	3,162	4,031	5,366	4,366	3,424	1,813	1,298	1,936	1,276	1,678	
Azerbaijan	10	0	0	7	2	5	7	9	83	198	149	142	166	
Bahamas	9,004	47,132	38,920	44,227	70,470	15,774	2,769	44,110	2,543	192,829	451,620	542,051	588,974	
Bahrain	28	547	459	205	666	368	536	1,308	697	1,615	1,491	1,474	612	
Bangladesh	5	878	13	663	4,935	777	641	277	219	1,104	141	45	209	
Barbados	3,020	1,830	2,463	1,941	3,258	36,509	32,890	117,862	73,797	5,307	5,171	6,226	39,220	
Belarus	0	0	0	34	3	596	181	91	227	617	1,128	826	1,202	
Belgium	210,404	241,066	227,777	288,942	368,176	369,093	389,174	460,193	408,716	450,234	620,668	488,151	494,721	
Belize	352	1,153	1,266	1,021	537	967	817	1,748	1,518	716	741	947	1,801	
Benin	126	94	776	885	362	423	2	74	327	130	1,995	2,009	928	
Bermuda	367	122	155	226	223	3,285	213	546	264	207	112	225	188	
Bhutan	3	0	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	41,761	36,939	36,421	59,599	49,801	58,501	65,550	101,851	90,412	106,646	141,300	125,255	143,726	
Bosnia and Herzegovina	0	2	22	208	0	9	13	0	0	16	13	0	16	
Botswana	0	36	23	34	0	0	0	2	0	0	0	0	0	
Brazil	166,704	107,823	92,848	141,188	141,348	190,701	471,366	648,941	576,636	1,040,263	1,370,308	1,290,579	1,590,629	
British Indian Ocean Territories	0	0	0	17	46	0	0	2	69	0	0	13	0	
British Virgin Islands	344	1,282	814	224	1,102	5,922	1,744	9,384	96,303	815	365	845	87	
Brunei Darussalam	3	0	0	0	0	2	0	11	3	111	92	5	49	
Bulgaria	140	271	384	248	1,618	1,915	16,291	7,073	1,785	310	149	467	831	
Burkina Faso	0	0	0	75	0	179	944	49	470	464	0	8	0	
