List of importing markets for a product exported by Colombia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	13,709,313	13,354,426	14,874,235	18,584,116	24,024,579	26,292,508	26,866,125	42,898,816	34,565,070	41,041,142	57,682,087	61,365,795	57,983,096	
Afghanistan								0	1,154	264	3	0		
Albania	807	466	7	445	2,053	390	581	1,912	1,395	322	1,833	498	1,563	
Algeria	9,432	7,559	9,146	8,886	3,557	2,680	3,512	302	386	4,600	18,158	7,693	17,832	
Andorra	101	90	58	81										
Anguilla	413	410	67											
Antigua and Barbuda					1,263		1,233		2,953	1,979	2,245	1,649	2,854	
Argentina	49,884	16,381	19,802	46,800	56,638	55,954	91,018	154,046	108,786	149,976	241,563	355,593	434,403	
Armenia	0	71	0	0	0	101	1,137	1,218	1,500	2,839	725	764	497	
Aruba					24,908				41,462	37,007	30,441	21,364		
Australia	9,646	14,561	15,873	20,922	21,268	18,979	18,619	26,740	24,032	36,387	48,221	46,799	51,383	
Austria	19,188	23,114	18,173	17,456	20,054	27,828	31,017	30,042	5,163	6,375	12,027	3,492	5,522	
Azerbaijan	9	0	17	180	121	19	74	17	2,979	1,952	50	203		
Bahamas	346	200	379	407	731	431	790	693	343	607	1,167	1,522		
Bahrain	281	66	86	106	104	111	261	1,081	1,127	2,713	1,380			
Bangladesh	4,960	1,409	179	675	4,327	183	1,328							
Barbados	4,533	3,495	4,681	3,349	5,365	6,314	7,492	7,892	6,223	6,636	5,816	6,765	6,974	
Belarus	6,712	212	8,782	3,144	2,506	5,703	6,099	5,910	6,396	17,661	7,951	7,095	8,225	
Belgium	218,468	284,233	370,685	527,272	558,277	599,441	575,064	968,952	756,498	761,916	846,185	713,846	698,386	
Belize	533	889	540	769	614	733	1,528	2,229	1,495	719	2,190	1,261	1,915	
Benin	26	77	348	358	433	260	65	503	152	18	3,972	1,239	122	
Bermuda												194	220	
Bolivia	47,859	42,718	48,074	61,229	57,283	63,880	71,206	111,685	98,214	118,456	195,005	161,506		
