List of importing markets for a product exported by Comoros Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	
World	7,687	9,346	6,479	7,907	3,741	2,589	8,533	5,420	12,588	
Afghanistan	0	0	0	0	0	0	0	0	0	
Algeria	0	0	0	0	0	0	0	0	0	
Andorra	0	0	0	0	0	0	0	0	0	
Antigua and Barbuda	0	0	0	0	0	0	0	0	0	
Area Nes	0	0	0	202	5	0	6,826	22	0	
Argentina	0	0	0	0	0	0	0	0	0	
Armenia	0	0	0	0	0	0	0	3	0	
Australia	0	0	0	0	0	0	0	0	0	
Azerbaijan	0	0	0	0	0	0	0	0	0	
Bahamas	0	0	0	0	0	0	0	0	0	
Bangladesh	0	0	0	0	0	0	0	0	0	
Belgium	0	0	0	0	0	6	0	24	22	
Benin	0	0	0	0	0	0	0	0	0	
Bermuda	0	0	0	0	0	0	0	0	0	
Bhutan	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	0	0	0	0	0	0	
Botswana	0	0	0	0	0	0	0	0	0	
Brazil	0	0	0	0	0	0	0	0	0	
Bulgaria	0	0	0	0	0	0	0	0	0	
Cameroon	0	0	0	0	0	0	0	3	0	
Canada	5	0	206	0	0	0	0	0	23	
Cayman Islands	0	0	0	0	0	0	0	0	0	
Central African Republic	0	0	0	0	0	0	0	0	9	
Chad	0	0	0	0	0	0	0	0	0	
Chile	0	0	0	0	0	0	0	0	0	
China	0	0	0	0	0	0	0	289	277	
Colombia	0	0	0	0	0	0	0	0	0	
Comoros	0	0	0	0	0	0	0	0	0	
Congo	0	0	0	0	14	2	0	0	0	
Côte d'Ivoire	0	0	0	0	0	0	0	0	0	
Czech Republic	0	0	0	0	0	0	0	0	0	
Democratic Republic of the Congo	0	0	0	1	0	0	0	0	0	
Denmark	0	0	0	0	0	0	0	0	0	
Djibouti	0	0	3	0	0	0	0	0	0	
Ecuador	0	0	59	0	0	0	0	0	0	
Egypt	0	0	0	0	3	0	6	14	23	
El Salvador	0	0	0	0	0	0	0	0	0	
Eritrea	0	0	0	0	0	0	0	0	0	
Ethiopia	0	0	0	0	0	0	0	3	0	
Finland	0	0	0	0	0	0	0	0	0	
France	6,092	4,130	4,531	1,002	2,802	1,376	1,017	2,300	5,480	
French Polynesia	0	0	0	0	0	0	0	0	0	
Gambia	0	0	0	0	0	0	0	0	0	
Germany	285	1,283	329	75	349	294	334	421	442	
Ghana	0	0	0	0	0	0	0	0	0	
Greece	0	0	0	0	0	0	0	24	163	
Guinea	0	0	0	1	0	0	0	0	0	
Honduras	0	0	0	0	0	0	0	22	0	
Hong Kong, China	0	0	2	6	48	0	0	0	0	
Hungary	0	0	0	0	0	0	0	0	0	
Iceland	0	0	0	0	0	0	0	0	0	
India	0	0	0	26	227	444	104	72	94	
Indonesia	0	0	0	0	0	0	0	0	0	
Iran (Islamic Republic of)	0	0	0	0	0	0	0	0	0	
Iraq	0	0	0	0	0	0	0	0	0	
Ireland	0	0	0	0	0	0	0	0	0	
