List of importing markets for a product exported by Congo Product: TOTAL All products
"Importers"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	6,293,206	9,169,742	8,201,530	6,917,585	16,070,857	7,574,830	10,470,889	
Afghanistan	0	0	0	0	0	0	0	
Albania	0	9	0	0	94	3	15	
Algeria	267	1,006	2,155	2,040	44	3	195	
Andorra	2,429	0	3	3	0	0	0	
Angola	332,341	150,754	952,954	903,444	1,386,775	375,651	889,046	
Antigua and Barbuda	0	25	8	8	0	0	0	
Argentina	0	3	82	78	259	74	203	
Armenia	0	0	0	0	0	0	0	
Aruba	0	0	0	0	0	0	0	
Australia	26,953	361	670	636	781,941	450,158	1,248,634	
Austria	3	0	0	0	17	0	0	
Azerbaijan	0	10	78	74	33	135	32	
Bahamas	0	30,297	0	0	0	0	39,072	
Bahrain	0	0	0	0	0	0	0	
Bangladesh	17	0	0	0	0	0	16	
Barbados	0	0	0	0	0	0	0	
Belarus	0	0	0	0	0	0	0	
Belgium	6,770	8,684	6,559	5,266	6,957	23,430	32,101	
Benin	2,596	19,116	2,591	6,718	57,857	104,305	1,098	
Bermuda	212	171	175	166	650	1	0	
Bolivia	0	0	0	0	0	0	0	
Bosnia and Herzegovina	0	0	0	0	0	0	0	
Botswana	40	0	0	0	0	0	0	
Brazil	365,367	20,086	200,086	163,257	133,036	665	2,531	
Brunei Darussalam	0	10	0	0	18	8	0	
Bulgaria	10	0	194	184	10	0	19	
Burkina Faso	136	28	0	0	62	26	37	
Burundi	53	1,527	0	0	0	0	0	
Cabo Verde	72	0	0	0	0	0	7	
Cambodia	0	0	0	0	0	0	0	
Cameroon	99,391	62,566	40,015	40,961	85,449	69,303	218,911	
Canada	67,989	288	79,554	64,278	488,406	101,997	193,652	
Central African Republic	586	1,171	751	713	454	270	465	
Chad	5,852	3,235	8,913	8,361	5,472	726	2,208	
Chile	0	0	0	0	0	0	0	
China	2,704,288	3,573,170	1,793,770	1,446,689	4,733,667	1,640,724	4,233,346	
Cocos (Keeling) Islands	0	0	0	0	373	0	0	
Colombia	137	4,859	56	53	2,215	1,028	0	
Costa Rica	0	0	10,756	8,685	1	0	0	
Côte d'Ivoire	54,752	8,858	64,415	58,493	166,719	42,489	91,328	
Croatia	0	76	0	0	0	0	8	
Cuba	82	0	0	0	0	0	51,940	
Cyprus	0	103	0	0	20	0	0	
