List of importing markets for a product exported by Costa Rica Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	4,715,784	4,950,394	5,800,404	5,952,582	7,150,688	7,254,866	8,927,619	9,744,538	8,836,345	9,044,841	10,222,241	11,250,804	11,589,542	
Afghanistan	1,017	1,226	0	0	0	75	38	252	26	423	86	0	0	
Africa not elsewhere specified	155	1	0	0	0	0	0	0	0	0	0	0	0	
Albania	3	0	0	0	119	13	0	0	0	0	92	227	0	
Algeria	153	0	159	399	283	12	93	0	17	0	0	61	8,238	
America not elsewhere specified	298	85	0	0	0	0	0	0	0	0	0	0	0	
American Samoa	0	0	0	0	0	0	0	0	0	0	0	0	0	
Andorra	0	0	0	0	0	0	0	0	31	110	488	101	1,074	
Angola	2	7	54	6	5	0	209	21	255	31	2	65	96	
Anguilla	0	0	6	74	43	24	16	2	22	9	0	21	6	
Antigua and Barbuda	136	243	309	1,029	292	463	638	526	737	1,530	1,045	401	401	
Area Nes	408	453	0	0	3,066	0	0	3,244	33,572	1,973	0	0	30	
Argentina	2,585	423	905	1,712	1,508	3,055	5,564	10,880	13,214	10,508	23,842	10,818	7,048	
Armenia	0	1	25	0	0	7	2	15	0	0	0	210	1	
Aruba	2,042	1,517	1,464	1,394	1,313	1,526	1,973	3,905	3,121	3,935	6,157	13,256	18,535	
Australia	3,423	4,522	7,307	5,720	5,565	5,846	11,329	37,551	31,353	33,127	38,050	20,990	17,485	
Austria	199	296	303	220	472	1,044	1,297	2,141	1,034	367	458	356	166	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bahamas	2,856	2,978	3,776	21,391	3,383	6,860	13,920	4,979	13,898	11,081	15,149	15,095	7,975	
Bahrain	165	33	1	0	4	0	48	0	37	0	0	23	34	
Bangladesh	0	0	0	29	85	382	279	238	61	51	24	30	26	
