List of importing markets for a product exported by Costa Rica (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	6,335,965	7,680,162	10,618,750	11,839,338	13,048,342	14,640,073	16,784,657	17,874,791	19,385,114	26,640,108	31,267,007	36,222,232	32,648,789	
Albania	79	1	789	16	508	657	55	119	102	880	762	1,025	465	
Algeria	1,030	1,118	2,919	2,407	1,519	4,800	1,104	1,254	2,883	8,521	12,841	13,391	25,716	
Andorra	61	11	108	3										
Anguilla	13	28	10											
Antigua and Barbuda					230		359		1,117	780	550	549	643	
Argentina	6,175	2,170	5,886	17,028	2,624	21,424	20,767	17,575	29,349	34,670	47,948	51,399	52,791	
Armenia	0	1,019	0	0	0	835	603	420	516	853	987	3,399	3,108	
Aruba					2,530				5,991	7,204	5,868	8,202		
Australia	6,888	7,487	13,104	21,736	21,684	35,365	49,099	99,310	72,931	100,058	133,971	151,473	129,927	
Austria	22,441	28,790	35,776	43,950	46,472	51,735	53,695	75,513	5,394	7,835	2,412	1,275	868	
Azerbaijan	1	1	2	13	10	318	522	148	347	129	134	178		
Bahamas	278	79	415	209	432	1,333	1,530	1,620	10,026	5,811	7,542	6,406		
Bahrain	107	61	66	73	103	31	474	476	421	410	316			
Bangladesh	3,714	3,738	890	1,407	1,117	1,870	2,923							
Barbados	2,334	2,400	3,987	4,159	6,557	6,649	6,395	7,909	7,293	12,079	9,527	9,171	9,978	
Belarus	3,217	150	327	2,956	2,894	2,797	3,416	4,319	8,209	31,782	6,277	10,787	16,691	
Belgium	193,373	208,993	295,499	390,070	373,252	363,664	577,639	676,810	521,887	466,188	496,351	441,711	476,895	
Belize	1,946	2,415	2,809	3,869	4,931	6,387	5,647	6,183	7,431	7,182	8,077	10,985	13,712	
Benin	10	0	0	0	2	22	9	1	0	0	0	0	5	
Bermuda												854	598	
Bolivia	643	438	311	542	606	646	1,408	1,778	1,376	1,756	2,130	2,181		
Bosnia and Herzegovina			694	442	343	408	919	1,320	977	1,661	2,763	3,973	3,510	
Botswana	0	0	0	0	0	0	0	0	0	0	0	0	70	
Brazil	36,922	33,278	49,095	77,406	92,357	117,704	154,843	211,280	305,843	388,400	445,228	504,341	448,497	
Bulgaria	605	769	1,982	2,831	1,563	2,512	4,512	4,147	3	729	163	65	78	
Burkina Faso	0	0	0	0	0		9	26	0	2	14	88		
Burundi	0	0	0	0	43	134	0	75	0	0	0	0	14	
Cabo Verde	0	0	9	33	21	50	27		7	8	10	12	15	
Cambodia	0	7	0	24	0	119	42	151	122	378	271	366		
Cameroon	1,502	2,664	2,141	7,068	8,542	4,589	9,330	9,478	10,175	7,281	10,375	2,400		
Canada	121,957	157,304	212,136	242,949	291,617	343,803	344,264	354,768	315,173	423,567	480,808	513,884	573,757	
Central African Republic	0	0	0			0	0	0	0	0	0	0	0	
Chile	2,931	4,094	9,455	9,299	9,500	8,739	20,315	21,588	18,367	30,572	28,855	28,889	26,973	
China	26,508	184,494	560,900	641,290	922,082	1,747,274	2,306,640	2,270,521	2,646,447	3,106,845	3,844,030	5,270,200	4,758,049	
Colombia	14,857	15,792	18,874	19,096	25,139	35,670	38,421	54,212	33,644	52,418	57,580	71,812	83,375	
Congo							18	15	75	70	947	0	8	
Costa Rica	0	0	0	0	27,382	0	0	0	0	0	0	0	0	
Côte d'Ivoire	9	15	23	27	100	84	114	447	86	1,065	478	202		
Croatia	1,926	1,587	2,183	2,750	2,080	2,955	3,947	4,061	3,956	6,254	7,222	7,246	8,339	
Cuba	12,361	13,510	16,705	15,505	14,604	9,959								
Cyprus	141	247	315	66	66	7	66	118	234	243	138	276	68	
Czech Republic	31,668	223,215	174,548	136,447	70,682	55,680	56,957	65,205	65,628	95,792	119,867	325,237	442,896	
Denmark	3,427	4,535	7,603	10,158	12,746	14,464	2,529	4,652	2,694	2,829	2,154	4,570	3,588	
Djibouti									1					
Dominica	762	427	742	607	574	602	631	623	437	465	456	455		
Dominican Republic	63,444	64,405	47,524	50,743	96,305	118,086	159,588	217,263	187,115	221,728	241,688	253,615	260,945	
Ecuador	11,192	14,293	15,556	12,684	20,608	21,507	22,142	30,364	28,050	25,975	41,311	54,954	75,647	
Egypt	24	0	10	7	0	0	0	173	91	697	1,472	1,005	4,692	
El Salvador	163,457	149,320	157,359	174,462	188,258	224,455	247,129	261,306	225,244	261,142	293,155	296,156	282,889	
Estonia	733	1,662	1,651	2,275	1,958	1,364	1,653	3,130	2,574	4,742	3,440	4,771	4,267	
Ethiopia	0	0	0	0	119	0	42	75	154	191	41	68		
