List of importing markets for a product exported by Côte d'Ivoire (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	3,818,735	4,468,933	5,162,974	5,611,747	5,942,904	6,237,139	7,441,786	9,090,607	7,906,417	9,633,441	10,781,127	9,963,979	8,864,032	
Albania	0	0	0	0	1	55	194	634	363	207	492	486	649	
Algeria	58,074	54,654	65,185	79,082	76,840	85,992	138,721	150,491	95,475	116,991	116,945	145,047	141,812	
Antigua and Barbuda					0		9		0	0	0	0	0	
Argentina	885	779	318	496	1,008	1,670	1,299	2,171	762	1,473	1,773	1,997	1,703	
Armenia	0	0	0	0	0	1,641	3,005	2,450	1,739	1,412	3,452	3,043	2,709	
Australia	7,679	10,851	15,855	13,806	10,513	8,121	10,207	9,114	14,381	16,931	22,728	32,121	7,972	
Austria	25,873	36,364	47,823	42,119	11,915	13,796	23,329	24,772	846	606	614	970	445	
Azerbaijan	12	0	0	0	8	1	0	50	0	0	3	4		
Bahrain	0	0	0	0	25	7	0	66	1,031	1	943			
Bangladesh	0	854	3,552	5,221	4,113	19,032	13,925							
Barbados	0	1	0	17	17	5	0	165	45	140	450	249	342	
Belarus	2,000	1,553	5,440	3,047	4,245	1,519	335	1,682	2,715	32,284	48,087	30,629	17,531	
Belgium	155,399	227,269	269,784	307,883	188,459	269,100	282,907	355,205	207,297	361,155	369,704	394,620	540,288	
Belize	0	0	0	0	0	1	0	0	0	0	9	0	0	
Benin	32,630	40,706	47,805	62,457	62,428	68,959	78,160	47,470	44,741	37,702	66,208	100,044	50,057	
Bolivia	0	0	0	0	0	6	3	4	3	5	8	1		
Bosnia and Herzegovina			128	79	52	175	167	239	472	505	305	139	516	
Botswana	0	63	0	40	8	0	2	26	2	0	8	1	0	
Brazil	18,751	24,570	41,494	14,568	17,695	34,801	62,664	100,012	80,500	57,290	92,892	174,542	34,447	
Brunei Darussalam	0	0	0	0		0				0	0	0	0	
Bulgaria	2,209	1,124	757	666	1,943	3,505	5,598	6,034	3,077	4,896	4,196	3,273	3,854	
Burkina Faso	111,921	115,786	69,211	143,589	208,253		265,713	287,970	271,531	328,023	257,026	316,068		
Burundi	67	7	4	7	6	62	16	268	56	0	174	567	0	
Cabo Verde	2,011	1,628	9,221	3,302	3,183	1,196	3,596		2,270	1,721	491	2,770	413	
Cambodia	0	0	0	0	0	0	0	0	16	2	0	10		
Cameroon	19,954	28,529	34,509	32,051	25,545	67,158	34,548	30,114	50,879	47,868	19,148	133,837		
Canada	33,372	44,865	71,594	87,696	110,816	170,413	264,894	125,411	196,373	407,983	636,068	452,136	466,088	
Central African Republic	616	581	401			10	1,217	1,503	1,259	1,372	749	1,616	1,433	
Chile	79	4	29	39,925	2	0	0	0	0	3	2	73	293	
China	7,775	14,131	36,758	108,455	85,085	125,489	40,637	70,580	62,761	110,529	162,103	142,556	257,483	
Colombia	496	530	1,063	578	459	1,233	843	672	688	84	33	176	15,663	
Comoros	0	0	0	4	32	0	0	0	31					
Congo							123,690	36,098	99,098	135,364	58,157	148,045	66,407	
Costa Rica	2	0	0	3	1	0	7	7	10	5	2	3	20	
Croatia	927	754	1,350	930	1,022	1,245	929	1,253	1,769	1,962	1,078	787	48	
Cuba	303	0	0	0	0	26								
Cyprus	253	451	471	593	1,003	621	940	1,634	15,352	376	421	291	79	
Czech Republic	11,716	7,683	15,458	25,362	9,879	16,028	15,682	34,716	16,705	40,994	40,234	47,369	43,526	
Denmark	4,628	4,007	2,040	3,208	12,423	1,201	10,604	7,219	1,372	1,348	6,667	1,021	10,971	
Djibouti									0					
Dominica	1	0	0	0	0	0	0	0	0	0	0	0		
Dominican Republic	94	5	4	1	41	134	445	479	247	705	1,013	559	1,308	
Ecuador	42	25	169	705	262	741	165	4,532	1,015	1,834	5,177	4	166	
Egypt	226	596	725	684	1,017	458	954	2,765	4,642	3,859	3,198	5,870	3,175	
El Salvador	0	0	0	0	6	4,250	9,402	524	635	0	0	3,198	76	
Estonia	60,881	85,037	107,317	89,721	60,467	107,460	67,567	51,684	60,885	90,753	88,043	71,067	68,488	
Ethiopia	0	0	19	203	15	22	0	132	51	592	3,220	2,646		
Faroe Islands	5	9	19	3	2	1	2	2	7					
Fiji		0	0	0	0	50	1	53	0	36	0	0		
Finland	11,443	1,919	2,837	2,674	7,889	3,551	5,285	8,406	4,795	4,979	29,046	1,015	897	
France	650,436	694,951	801,731	743,153	669,552	873,270	788,409	833,475	811,107	817,276	758,363	701,176	879,424	
French Polynesia	216	200	299	292	181	89	166	135	137	173	89	57	145	
Gabon	14,545	0	5,422	19,089	9,809	14,102	11,983	16,066	12,945					
Gambia	10,681	5,663	5,100	28,573	32,637	22,410	21,532	28,808	43,470	56,167	72,510			
Georgia	0	0	0	9	4	30	5,575	5,574	846	14	7	0	0	
Germany	239,873	296,235	358,478	311,360	349,807	721,103	1,092,135	1,488,638	1,258,141	1,101,493	1,514,910	1,236,909	1,275,428	
Ghana	63,425		13,381		10,966	16,957	119,144	151,397	54,298	49,908	69,093	95,020		
Greece	42,269	54,500	32,432	38,570	35,908	42,989	57,406	64,787	49,332	38,173	104,695	31,240	29,729	
Greenland	0	0	2	0	0	1	0	14	4	4	18	12	10	
Guatemala	9	228	0	0	163	15	0	5	16	533	4	0	28	
Guinea	76,376	96,875		177,143	236,515	169,303	55,230	31,089		53,251	26,175	11,716		
Guinea-Bissau			0	3	12									
Guyana	0	0	0	0	0	0	0	0	0	8	0	0	0	
Honduras	0	8	123	0	0	0	0	0	0	0	0	0	0	
Hong Kong, China	702	603	476	444	308	2,317	196	4,158	2,709	20,359	8,780	3,469		
Hungary	5,436	6,722	7,420	4,053	5,738	3,425	5,684	7,484	245	828	714	718	901	
Iceland	68	112	82	42	30	66	109	123	6	477	4,252	1,812	2,232	
India	80,347	94,977	88,162	157,637	193,383	184,067	183,424	294,755	307,327	261,878	418,974	442,139	331,576	
Indonesia	32,406	38,865	40,511	47,581	37,173	28,105	31,111	49,736	19,380	44,959	61,090	38,472	60,346	
Iran (Islamic Republic of)	213	248	17	1,224	4,587	0				419	0			
