List of importing markets for a product exported by Croatia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	3,375,738	3,534,603	4,904,653	6,784,853	7,414,057	8,845,005	10,374,640	11,398,438	9,289,967	10,314,048	12,379,061	11,407,465	11,353,919	
Albania	17,306	32,348	28,524	29,981	31,032	43,609	40,832	52,260	44,893	88,427	69,325	64,421	55,126	
Algeria	2,422	6,090	373	5,092	8,144	14,081	11,228	22,114	20,867	30,556	36,601	33,660	24,205	
Andorra	102	102	182	534										
Antigua and Barbuda					0		0		31	22	63	27	7	
Argentina	2,250	850	1,086	358	208	1,220	1,152	1,502	573	1,112	6,156	2,509	3,444	
Armenia	333	15	9	317	555	294	1,012	1,660	1,104	8,032	1,481	2,757	2,649	
Australia	4,329	6,116	8,437	13,758	16,260	13,317	14,825	17,528	32,176	26,561	24,870	33,813	23,325	
Austria	288,280	343,843	454,761	726,079	647,560	795,861	856,842	1,013,464	774,530	766,831	949,717	1,035,259	835,636	
Azerbaijan	2,311	133	136	871	439	1,550	1,014	30,726	814	1,902	8,639	3,408		
Bahrain	192	334	364	124	278	137	4,720	15,481	526	78	595			
Bangladesh	52	1,051	716	1,384	981	8,221	4,110							
Barbados	0	0	52	2	0	3	10	2	0	0	2	3	25	
Belarus	4,609	3,185	12,484	9,798	8,897	16,078	12,192	23,041	22,722	25,805	23,228	11,501	14,839	
Belgium	58,415	53,150	52,132	79,861	46,158	41,939	54,941	78,706	49,417	61,287	104,156	98,898	89,353	
Belize	37	11	0	17	0	0	0	0	0	0	2	1	0	
Benin	0	0	0	285	372	230	0	11	44	133	17	45	72	
Bermuda												42	46	
Bolivia	56	0	25	39	178	250	209	416	178	293	706	313		
Bosnia and Herzegovina			642,564	902,379	1,190,102	1,292,256	1,712,849	2,079,193	1,255,661	1,394,372	1,584,625	1,446,669	1,327,503	
Botswana	0	5,506	0	2	0	0	0	0	2	2	0	2	1	
Brazil	4,506	737	13,556	1,335	3,350	11,410	6,737	12,647	15,079	23,476	34,302	41,064	35,937	
Bulgaria	2,314	13,918	30,822	32,748	42,929	52,343	90,563	96,136	50,266	47,674	38,190	39,016	48,810	
Burkina Faso	0	0	0	0	0		16	40	20	0	39	56		
Burundi	0	0	0	0	0	0	28	0	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	0	0		0	0	1,140	0	0	
Cambodia	0	4	0	1	0	6	0	0	1	68	0	0		
Cameroon	0	0	4	20	123	67	89	142	39	925	1,947	938		
Canada	10,324	11,143	15,142	19,027	20,952	23,350	35,071	47,553	22,383	63,913	27,260	32,806	96,975	
Central African Republic	0	0	0			0	14	10	0	3	1	0	0	
Chile	1,067	548	1,037	1,691	2,382	45,909	1,055	1,608	4,746	2,902	2,958	26,655	2,039	
China	5,124	5,745	6,809	21,904	43,831	55,033	67,625	67,836	74,856	50,890	79,531	74,514	106,776	
Colombia	385	111	193	457	4,346	532	3,051	9,408	262	1,272	1,091	1,089	7,862	
Congo							0	0	11	12	151	0	0	
Costa Rica	3	0	52	70	194	158	1,017	1,166	570	285	7,064	358	489	
Côte d'Ivoire	5	0	0	3	40	33	74	8	6,774	80	7,148	7,439		
Croatia	0	0	0	0	0	0	0	0	0	0	0	0	22	
Cuba	179	1,376	154	333	715	1,653								
Cyprus	3,284	3,243	3,658	13,447	9,607	8,022	21,050	13,376	28,171	38,401	18,149	11,608	10,779	
Czech Republic	38,502	51,727	48,840	59,379	73,246	120,222	124,253	133,442	107,314	114,799	185,706	162,938	155,374	
Denmark	10,081	10,228	11,758	19,517	22,469	26,705	31,554	34,675	23,540	31,939	35,472	40,246	37,646	
Djibouti									358					
Dominican Republic	0	46	100	20	130	1	12	388	63	52	480	47	335	
Ecuador	29	47	25	1	7	14	0	3	10	134	485	1,360	594	
Egypt	35,388	30,873	27,498	22,674	35,704	49,546	31,546	74,341	78,510	71,634	91,382	101,585	79,358	
El Salvador	0	5	45	0	0	168	87	89	5	179	7	102	139	
Eritrea			121											
Estonia	872	1,884	1,043	3,104	1,728	8,695	2,728	6,708	2,913	4,324	5,263	7,291	45,036	
Ethiopia	337	242	91	117	118	248	310	10	7	33	284	139		
Faroe Islands	22	36	165	177	112	94	350	116	126					
Fiji		0	1	3	0	0	1	2	0	0	0	0		
Finland	4,481	4,266	6,272	9,590	13,007	17,604	24,316	24,942	20,282	17,299	29,464	17,481	27,733	
France	169,152	164,092	164,090	147,547	150,061	154,166	172,165	216,758	161,362	147,299	396,444	182,423	160,895	
French Polynesia	0	3	18	22	23	17	29	109	88	73	174	177	284	
