List of importing markets for a product exported by Cuba (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	1,480,213	1,379,614	1,286,173	2,144,452	2,142,592	2,495,274	3,583,784	3,171,817	2,233,726	2,584,726	3,351,839	2,957,839	2,962,303	
Afghanistan								0	339	1	26	0		
Albania	0	0	25	22	14	16	85	84	128	87	174	104	191	
Algeria	3,324	10,779	5,679	3,860	1,754	2,302	5,166	2,273	1,609	1,735	14,132	3,276	2,550	
Andorra	3,446	1,920	3,149	3,062										
Anguilla	1	13	1											
Antigua and Barbuda					51		43		24	17	26	22	18	
Argentina	3,327	1,146	1,164	1,509	1,770	2,621	3,017	2,534	3,707	11,967	8,835	10,886	11,248	
Armenia	1,779	0	1,254	1,881	2,268	231	67	149	53	165	66	209	148	
Aruba					281				0	0	0	0		
Australia	4,026	5,059	2,955	3,066	3,272	6,617	7,258	5,812	5,360	4,153	6,108	6,629	7,310	
Austria	2,467	2,035	3,096	2,258	3,465	2,880	3,614	5,438	2,251	2,217	3,146	5,283	3,577	
Azerbaijan	0	314	0	51	66	3	1	8	8	3	22	5,155		
Bahamas	1,753	671	1,922	1,660	1,557	3,870	4,220	8,180	4,553	421	93	102		
Bahrain	444	514	584	631	463	634	588	672	499	723	299			
Bangladesh	0	0	9	7	0	124	15							
Barbados	250	287	382	179	429	259	73	197	189	136	100	145	89	
Belarus	13,550	26,756	17,918	28,264	7,071	11,643	6,401	14,604	872	546	16,053	57,164	24,414	
Belgium	14,791	10,853	8,514	7,920	5,507	4,304	2,088	8,492	17,714	11,367	80,671	89,250	149,586	
Belize	57,857	47,209	0	252	64,703	61	78,117	9	58,443	79	75	35	8,623	
Benin	0	17	0	0	29	0	1	4	0	0	34	70	28	
Bermuda												0	34	
Bolivia	743	471	430	363	1,364	6,523	6,042	5,864	2,573	1,520	6,905	3,908		
Bosnia and Herzegovina			4	39	0	0	1	5	13	16	13	27	24	
Botswana	0	85	0	0	0	1	0	0	0	0	0	0	0	
Brazil	10,603	14,117	22,385	45,309	38,877	31,595	88,790	45,364	53,390	73,417	91,778	93,513	96,619	
Brunei Darussalam	4	0	0	0		0				5	0	0	0	
Bulgaria	9,308	10,194	7,376	6,154	593	11,469	7,255	5,504	10,512	629	615	6,663	15,090	
Burkina Faso	0	28	0	0	21		1	29	0	1,584	0	80		
Burundi	0	0	0	0	0	0	16	0	0	0	0	0	0	
Cabo Verde	25	10	0	15	18	15	28		25	46	71	86	129	
Cambodia	0	0	0	0	0	0	0	4	12	64	127	75		
Cameroon	1	1	0	1	1	1	2	0	0	6	5	4		
Canada	233,353	207,239	265,445	454,129	456,459	555,071	988,008	843,258	440,008	633,881	710,001	540,197	483,540	
Central African Republic	0	0	0			0	187	0	0	0	0	0	0	
Chile	779	1,082	1,482	832	2,223	1,918	3,693	5,149	5,412	6,877	7,840	7,537	8,685	
China	114,049	115,687	120,507	194,943	236,955	528,313	1,115,463	903,057	574,439	764,609	904,045	569,203	504,674	
Colombia	13,466	3,942	4,696	5,887	5,515	4,071	8,626	19,735	8,243	7,334	8,198	29,096	31,149	
Congo							0	0	263	262	29	0	35	
Costa Rica	2,173	1,380	3,537	8,160	7,541	884	6,212	34,370	907	445	776	5,658	5,571	
Côte d'Ivoire	53	37	7	10	7	31	374	119	287	19	65	12		
Croatia	148	5,134	310	378	429	493	663	817	7,034	663	884	975	1,527	
Cyprus	9,613	6,840	13,074	13,233	38,836	32,694	34,035	33,544	33,370	34,497	40,133	46,725	44,603	
Czech Republic	903	1,054	1,754	2,203	4,675	4,484	4,140	4,588	5,205	8,535	4,302	4,339	5,228	
Denmark	1,230	968	1,653	2,071	1,321	2,568	27,307	61,841	1,292	5,504	1,125	981	810	
Dominica	0	0	0	0	0	0	289	236	190	1	4	0		
Dominican Republic	27,633	30,704	32,228	23,202	27,064	26,290	26,721	59,271	17,882	23,959	27,937	28,098	83,794	
Ecuador	629	867	362	266	319	747	2,619	2,751	3,171	3,110	10,218	14,515	9,824	
Egypt	221	649	0	22	191	0	65	12	135	309	18,119	2,234	322	
El Salvador	164	251	204	274	306	448	344	135	151	126	3,414	271	274	
Eritrea			1											
Estonia	216	358	1,593	2,655	5,903	6,585	6,865	3,372	40,644	953	1,029	2,044	7,146	
Ethiopia	0	0	148	894	82	23	31	25	116	299	65	22		
Faroe Islands	3	2	3	2	2	8	11	32	30					
Fiji		2	0	0	40	3	9	0	0	0	0	8		
Finland	760	688	1,171	12,843	1,661	2,115	9,423	9,609	7,386	23	20	89	42,753	
France	47,861	46,881	40,794	42,213	49,518	49,874	69,105	41,941	35,558	28,821	29,699	54,405	44,194	
French Polynesia	10	6	30	27	59	47	27	43	48	52	47	55	58	
Gabon	6	0	12	0	3	0	9	0	0					
Gambia	0	0	0	0	0	0	0	0	0	0	0			
Georgia	0	0	58	108	0	0	4	5,228	198	218	160	1,699	282	
Germany	29,892	27,663	31,621	44,903	45,413	42,178	59,211	60,024	51,153	58,935	56,129	61,658	66,216	
Ghana	0		17		30	55	185	1,540	2,414	15	21	14		
Greece	31	154	843	1,719	3,185	3,743	6,848	4,529	3,128	3,994	5,070	9,372	11,996	
Greenland	0	0	1	0	0	1	0	6	9	14	7	3	2	
Grenada	289	615	415	166	91	390	6	3						
Guatemala	5,393	3,430	2,215	1,962	9,194	2,803	2,824	1,818	2,642	1,450	26,781	6,271	2,041	
Guinea	0	8		5	251	126	1	0		0	0	0		
Guyana	111	116	96	162	158	87	69	34	1,923	1,036	952	25	52	
Honduras	10,533	1,747	2,433	3,700	4,882	10,120	12,796	22,242	7,761	10,354	17,647	19,486	23,277	
Hong Kong, China	6,579	7,200	8,076	11,952	10,967	14,718	19,006	17,395	20,364	25,679	36,444	35,385		
Hungary	408	349	441	204	125	87	174	303	211	80	79	46	12,709	
Iceland	31	39	44	54	95	84	120	534	97	79	1,108	12,117	93	
India	4,981	3,730	893	2,806	2,499	1,895	928	13,292	1,439	1,073	3,301	3,861	2,632	
Indonesia	258	0	0	2	4	12	56	229	1,270	1,083	1,689	1,253	380	
Iran (Islamic Republic of)	11,798	34,741	10,216	9,515	1,677	3,511				0	401			
Ireland	1,086	887	1,431	622	385	438	447	349	223	294	150	370	383	
Israel	197	238	142	754	1,775	366	687	473	1,448	972	23,928	2,113	2,425	
Italy	13,932	14,820	15,450	16,482	11,765	19,746	26,167	72,632	31,362	34,291	89,622	59,910	94,275	
Jamaica	4,602	3,993	7,351	3,790	3,872	2,008	16,733	6,527	3,993	4,912	4,980	1,337		
Japan	37,214	28,181	28,152	26,424	31,195	18,235	16,609	14,970	13,698	13,074	14,432	14,938	15,092	
Jordan	122	59	25	39		55	9	12	71	72	17	72	117	
Kazakhstan	6,488	22,331	13,644	26,517	7,033	34,422	4,369	43,727	13,141	701	13,936	589	220	
Kenya	0	1	4	5	0	13	2	0	0	25,373	149			
Korea, Republic of	0	0	28	311	0	3,226	3,008	4,423	8,455	8,754	29,769	2,172	9,730	
Kuwait	0	40	115	86		277	275	256						
Kyrgyzstan	66	3	1	2	3,883	7	6	48	27	26	22	101		
Latvia	27	25	273	353	239	102	202	12	5	0	3,810	0	0	
Lebanon	1,411	1,923	1,141	1,805	2,186	2,402	2,127	2,792	3,741	3,298	3,378	4,426	4,973	
Libya							35	0	2,234	0				
Lithuania	65	81	345	33	66	64	72	58	36	1	0	0	1	
Luxembourg	29	15	16	3	6	87	5	4,292	3,055	4,305	4,252	4,931	3,560	
Macao, China	752	782	1,398	1,848	2,956	4,040	5,652	5,923	8,009	16,632		11,135		
Macedonia, The Former Yugoslav Republic of	2	1	70	19	72	58	59		1,446	114	86	103	135	
Madagascar	40	19	20	116	27	92	75	110	0	0	53	45	48	
Malawi	0	0	0	0	0	0	0	0	0	9	4	8	0	
Malaysia	198	4,685	160	101	735	555	690	20,128	1,051	832	712	6,916	2,696	
Maldives	0	0	0	0	0	0	0	0	0	0	0	1	0	
Mali	0	5	0	0	0	0	1,237	4		0	0	228		
Malta	245	233	265	107	149	178	146	181	70	226	159	37	43	
Mauritania	0	0	0	0	0		0	0	0	0	0	0		
Mauritius	117	70	79	110	110	158	156	257	164	222	184	196	224	
Mayotte	1	2	0	4	0	4	2	6	0					
Mexico	25,632	24,258	20,280	21,129	20,300	43,403	15,649	53,403	13,099	17,775	17,137	16,490	13,825	
Mongolia	3		3	0	4	15	21						31	
Montenegro						11	173	248	178	61	92	73	54	
Morocco	78	492	646	1,633	2,922	2,439	2,609	2,723	3,682	24,051	15,277	4,330	13,793	
Mozambique	146	7	0	0	21	20	31	21	0	0	57	10	15	
Namibia	6	6	1	13	1	0	29	2	0	2,200	867	3,251	640	
Nepal			43						8	8	14			
Netherland Antilles					326	686	1,832	1,644						
Netherlands	58,251	73,591	29,255	506,012	574,972	592,433	432,728	172,114	32,566	71,059	78,276	52,841	72,404	
New Caledonia	1	0	2	3	19	13	96	204	172	170	203	298	269	
New Zealand	543	588	546	718	864	879	1,178	851	842	882	727	727	800	
Nicaragua	687	343	404	600	334	974	6,269	1,568	2,985	3,438	1,329	2,622	1,410	
Niger	0	0	0	0	0	0	0	0	7	6	0	0	0	
Nigeria	252	12	143			78	920	4,356	181	0	6,189	13		
Norway	489	451	378	931	514	684	17,882	1,224	1,331	1,540	1,709	2,271	4,442	
Oman	59	14	0	8	0	62	0	0	0	39	39	228	217	
Pakistan			747	171	1,280	2,417	996	1,098	660	662	783	226	408	
Palestine, State of							75	0	166	10	0	24		
Panama	614	137	219		15,773	24,781	28,871	27,416	38,994	13,216	8,067			
Papua New Guinea	0	0	0	0							6	5		
Paraguay	356	226	77	144	140	27	436	808	640	708	1,425	835	689	
Peru	448	336	399	456	583	451	826	891	843	1,283	1,440	1,529		
Philippines	157	0	99	9	1,320	960	679	2,588	2,852	2,406	1,847	2,270	2,877	
Poland	1,653	1,005	1,127	3,703	6,465	2,868	5,284	3,510	2,573	3,224	18,441	55,620	25,142	
Portugal	18,302	18,743	21,872	44,665	9,930	24,119	30,558	50,525	27,075	22,601	8,876	41,443	43,337	
Qatar	13	27	30	12	299	938	818	1,136	1,033	1,374	1,720	1,609	2,361	
Republic of Moldova	0	6,306	63	3	2	13	62	196	292	111	122	172	125	
Romania	18,196	14,871	14,447	8,963	6,757	673	903	1,235	775	238	750	33,322	1,195	
Russian Federation	435,455	288,014	180,627	180,725	61,379	46,614	67,967	82,660	69,477	54,282	49,639	49,580	27,615	
