List of importing markets for a product exported by Cyprus (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	945,722	1,006,194	1,282,361	1,728,358	2,253,909	4,622,685	3,947,642	3,735,080	2,821,599	3,654,645	5,114,774	5,645,371	4,831,555	
Afghanistan								19	0	0	61	0		
Albania	3,875	3,199	4,822	3,011	4,171	5,109	4,202	3,159	2,887	3,158	4,139	1,757	2,212	
Algeria	4,366	5,722	4,154	3,983	4,107	6,142	11,062	5,129	3,809	2,804	2,271	3,726	33,377	
Andorra	4	166	0	0										
Antigua and Barbuda					29		37		50	114	102	94	83	
Argentina	90	132	96	46	71	52	10	11	50	44	330	288	105	
Armenia	8,184	2,407	14,932	18,925	10,534	811	4,557	1,596	1,699	1,592	3,438	2,298	1,628	
Aruba					69				0	0	0	0		
Australia	2,237	2,412	3,017	1,725	2,794	4,553	6,202	9,480	8,812	8,226	11,288	12,931	16,628	
Austria	7,313	4,964	5,441	11,877	16,952	12,170	15,850	16,024	33,441	104,044	133,636	44,584	85,178	
Azerbaijan	160	224	413	153	412	191	850	1,262	1,783	5,409	2,680	50,253		
Bahamas	53	82	222	28	109	13	119	0	39	1,052	64	144		
Bahrain	2,128	1,722	1,865	1,542	2,237	1,917	2,301	3,045	1,709	3,481	4,500			
Bangladesh	1,393	362	646	826	1,786	1,209	4,051							
Barbados	238	289	337	283	409	443	306	432	447	432	218	396	240	
Belarus	3,597	4,244	15,958	3,084	5,435	13,848	13,272	25,238	23,602	22,704	19,713	28,838	22,506	
Belgium	23,814	28,117	42,866	69,706	84,431	82,016	148,366	101,059	50,617	85,659	122,543	163,624	199,765	
Belize	0	0	25	3	5	25	40	13	9	10	10	13	23	
Benin	293	13	55	0	34	59	77	44	219	8	111	198	489	
Bhutan					0	9	5,144	0	0	0	0			
Bolivia	5	3	9	6	1	7	1	3	2	2	3	44		
Bosnia and Herzegovina			978	3,215	3,474	3,551	2,470	3,483	2,785	2,521	2,731	2,501	2,364	
Botswana	0	2,124	1,363	536	1,819	808	881	524	2,500	3,122	6,183	3,280	4,187	
Brazil	1,102	1,276	1,128	8,395	4,340	44,098	405	74,844	567	782	796	2,374	3,664	
Brunei Darussalam	22	18	75	77		187				217	39	85	53	
Bulgaria	7,962	3,027	3,040	4,384	29,609	20,088	29,362	20,553	44,535	36,957	110,471	101,941	57,322	
Burkina Faso	0	0	0	0	0		26	11	5	38	34	28		
Burundi	0	0	0	23	52	2,368	1,345	0	0	15	0	6	42	
Cabo Verde	20	5	0	3	2	0	7		15	26	0	0	0	
Cambodia	132	84	74	259	373	312	850	768	508	564	662	852		
Cameroon	19	101	474	53	3	5	80	141	273	461	9,714	372		
Canada	9,166	1,495	1,756	1,308	14,552	3,439	2,928	2,767	1,962	3,034	2,983	3,709	3,702	
Central African Republic	0	0	0			0	0	0	0	0	1	0	0	
Chile	109	33	64	151	225	125	100	60	127	150	391	604	653	
China	1,334	762	1,119	1,693	2,840	2,991	8,018	10,585	15,433	17,207	26,261	120,612	52,889	
Colombia	14	39	31	23	53	42	103	1,578	42	84	520	667	1,643	
Congo							2	0	32,427	30,981	128	64	261	
Costa Rica	30	10	18	19	961	17	37	48	45	18	158	170	168	
Côte d'Ivoire	16	5	6	69	134	41	108	22	125	184	106	172		
Croatia	2,589	2,867	1,644	2,116	2,968	3,105	3,058	3,344	2,343	2,312	11,389	18,663	9,725	
Cuba	167	4	52	0	3,705	41								
Cyprus	2,141	1,001	661	75	0	0	0	0	0	0	0	0	0	
Czech Republic	5,833	11,082	16,986	15,179	17,334	16,718	13,480	22,665	26,480	38,995	40,140	60,142	39,068	
