List of importing markets for a product exported by Czech Republic Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	33,384,210	44,263,576	48,720,350	65,771,587	78,208,548	95,140,986	120,900,492	146,087,029	112,884,321	132,140,914	162,391,721	156,422,743	161,001,987	
Afghanistan	157	832	1,449	5,226	4,742	4,452	7,563	47,224	30,417	20,352	13,555	11,020	8,224	
Africa not elsewhere specified	0	0	12	66	0	0	225	194	578	466	450	252	487	
Albania	10,996	17,072	13,840	18,494	24,349	20,310	20,402	29,499	28,984	32,782	39,550	28,638	28,896	
Algeria	28,357	44,331	67,352	65,003	79,924	63,631	62,097	91,294	158,966	121,948	136,220	179,732	221,179	
Andorra	278	166	241	1,165	1,485	3,543	2,142	2,255	1,891	1,471	1,547	3,099	3,964	
Angola	1,312	230	270	2,400	3,623	7,871	7,886	35,238	11,782	27,604	39,162	32,033	24,569	
Anguilla	0	0	0	0	108	124	8	11	119	39	10	0	28	
Antigua and Barbuda	0	31	93	55	4	247	107	328	218	256	4	43	23	
Area Nes	95	90,420	132,713	38,186	17,543	201	962	187,647	5,021	8,097	26,894	39,586	28,293	
Argentina	9,997	22,250	16,327	23,300	32,270	35,807	42,002	43,590	273,762	59,552	85,724	69,718	98,357	
Armenia	5,123	4,464	4,288	7,346	7,564	12,441	17,053	32,376	22,580	27,996	85,265	38,768	25,260	
Aruba	135	41	24	32	45	287	1,178	84	57	3	125	270	149	
Australia	28,992	50,541	56,939	100,578	103,900	159,972	246,614	306,061	192,724	296,526	405,761	517,664	678,595	
Austria	1,921,348	2,652,784	3,042,768	3,852,483	4,302,665	4,856,498	5,566,282	6,921,695	5,314,517	6,211,637	7,396,031	7,232,771	7,319,828	
Azerbaijan	14,707	17,560	24,882	25,708	37,140	48,898	60,004	90,400	88,255	103,320	186,753	141,142	170,343	
Bahamas	628	2,295	876	2,593	4,990	6,813	1,491	377	21	111	235	339	1,489	
Bahrain	2,145	1,641	2,148	4,658	5,761	5,640	8,807	9,512	14,613	12,939	10,840	17,254	11,927	
Bangladesh	8,028	6,293	5,994	15,356	14,259	20,761	21,608	25,987	24,617	28,624	25,638	24,843	20,653	
Barbados	1,520	2,791	447	568	350	529	218	174	146	99	77	72	65	
Belarus	51,907	49,481	63,483	87,249	98,155	115,780	179,367	299,560	195,950	328,559	345,769	401,862	485,104	
Belgium	998,315	1,022,972	1,091,690	1,646,733	2,076,542	2,726,804	3,453,866	3,918,942	2,871,733	3,266,503	4,004,560	3,742,017	4,062,618	
Belize	1,469	1,075	1,595	111	290	1,385	1,497	1,053	1,410	1,697	1,008	3,997	6,360	
Benin	999	959	1,100	585	1,477	1,421	2,017	2,853	1,549	1,139	1,316	1,431	1,577	
Bermuda	41	354	34	829	26	54	77	43	66	380	277	86	114	
Bhutan	0	0	34	2	0	6	0	12	2	0	9	4	3	
Bolivia	1,234	631	574	1,347	1,127	1,705	2,277	2,346	1,661	3,265	3,718	3,278	4,195	
Bosnia and Herzegovina	69,890	82,648	86,718	106,045	132,784	145,488	161,923	198,524	156,272	162,987	199,872	145,762	139,385	
Botswana	1,581	1,693	3	20	2	18	428	60	140	749	805	1,364	860	
Brazil	39,041	49,524	52,217	95,182	184,056	185,772	225,413	318,955	278,360	387,181	439,081	409,144	422,657	
British Indian Ocean Territories	0	134	24	9	51	580	9	0	0	19	49	0	0	
British Virgin Islands	8,998	2,987	1,645	2,654	5,580	15,990	24,145	36,467	7,721	7,750	6,922	8,373	11,284	
Brunei Darussalam	16	25	15	0	21	2,909	242	507	92	253	527	813	748	
Bulgaria	99,902	127,090	144,068	235,003	286,434	376,216	533,869	716,068	505,657	517,474	573,700	677,905	733,359	
Burkina Faso	225	83	248	1,316	2,454	1,112	623	1,037	695	829	906	1,794	3,475	
Burundi	0	23	101	118	697	240	231	165	402	445	190	195	185	
Cabo Verde	51	14	349	8	35	1,169	744	888	438	552	718	582	550	
Cambodia	111	10	185	119	215	1,093	179	2,091	1,904	285	2,028	2,452	4,183	
Cameroon	1,782	1,648	977	488	1,572	1,492	1,694	1,853	7,885	3,781	3,424	4,195	4,637	
Canada	60,574	74,705	73,188	102,899	162,305	231,341	155,638	195,248	148,299	149,295	258,311	252,619	279,719	
Cayman Islands	49	0	0	0	8	819	5	0	3	19	444	37	13	
Central African Republic	105	892	359	189	249	62	101	121	153	78	259	308	361	
Chad	60	140	31	104	187	555	130	99	1,074	4,320	468	1,180	913	
Chile	6,443	6,687	4,633	9,687	15,557	21,224	23,339	31,585	82,777	41,564	60,343	74,448	64,082	
China	80,561	153,822	243,342	270,514	298,484	400,773	696,677	777,529	843,971	1,214,996	1,667,836	1,670,840	1,916,786	
Christmas Islands	0	0	0	0	12	0	0	0	0	0	0	0	0	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Colombia	13,950	18,424	7,790	15,359	17,985	18,162	21,892	19,337	18,987	23,088	32,999	37,265	43,265	
Comoros	18	27	88	48	16	33	118	46	60	197	120	195	0	
Congo	598	975	480	1,273	1,492	1,362	2,846	2,704	2,768	2,016	2,843	2,565	2,914	
Cook Islands	4	23	4	8	4	15	0	0	0	8	2	30	14	
Costa Rica	1,613	2,007	2,083	2,665	2,828	2,334	6,538	5,773	6,810	8,813	5,666	6,641	9,374	
Côte d'Ivoire	1,423	3,898	1,689	2,813	4,679	2,007	2,414	2,602	4,890	2,397	2,578	5,189	11,855	
Croatia	188,883	262,791	287,694	376,777	414,647	479,644	600,146	655,953	442,896	448,554	516,722	454,474	448,248	
Cuba	5,425	3,269	8,063	11,486	16,454	30,595	19,807	22,577	9,212	24,517	54,185	39,471	25,136	
Cyprus	10,490	17,365	23,436	19,327	19,811	34,468	44,818	44,796	57,999	114,178	88,915	177,338	157,336	
Czech Republic	0	0	0	0	0	0	0	0	0	0	0	0	0	
Democratic Republic of the Congo	269	75	1,562	2,162	1,704	1,398	1,419	2,486	2,398	2,873	4,830	2,347	4,430	
Denmark	193,546	270,554	289,756	370,716	588,997	911,762	1,070,733	1,157,655	859,577	1,048,214	1,257,051	1,183,503	1,324,194	
Djibouti	119	130	160	89	140	174	258	51	7	71	4,265	372	92	
Dominica	9	53	48	2	0	396	12	126	8	43	0	1	8	
Dominican Republic	12,104	17,830	4,363	5,184	14,226	8,014	9,803	11,076	7,231	9,105	6,050	4,365	6,262	
Ecuador	10,640	14,644	4,361	7,830	11,033	11,958	14,159	17,045	17,422	17,265	15,166	16,685	15,975	
Egypt	54,734	51,212	36,309	69,056	116,660	155,150	167,882	231,243	212,137	252,472	194,377	218,747	283,113	
El Salvador	26,958	17,192	24,541	19,240	13,961	8,107	41,909	52,105	45,533	63,662	52,942	46,767	56,611	
Equatorial Guinea	0	0	95	144	1,138	38	2,678	2,930	17,291	491	4,729	2,331	357	
Eritrea	331	88	193	69	179	151	60	13	0	48	105	1	9	
Estonia	29,002	38,497	55,827	83,252	104,243	146,323	196,589	204,751	116,171	157,686	244,180	246,732	258,952	
Ethiopia	1,340	1,434	2,262	2,218	4,099	3,316	16,213	13,145	13,640	4,088	6,021	5,555	5,320	
Europe Othr. Nes	0	0	0	20,540	26,569	2,115	2,272	21,677	8,678	32,260	17,924	39,381	40,141	
Falkland Islands (Malvinas)	2	0	0	0	19	0	7	0	0	0	0	0	38	
Faroe Islands	37	91	88	89	457	205	420	457	696	570	709	1,189	2,071	
Fiji	210	60	82	269	337	373	4,120	739	484	151	183	218	799	
Finland	141,984	153,810	204,696	266,642	432,697	549,680	694,012	930,196	679,300	764,104	922,821	751,106	774,779	
France	1,430,237	2,015,193	2,303,960	3,068,659	4,139,348	5,268,095	6,515,460	7,887,134	6,351,707	7,100,947	8,845,137	7,911,709	7,962,061	
Free Zones	76,835	260	0	0	0	0	661	0	0	0	0	0	0	
French Polynesia	14	29	144	23	386	134	48	164	104	732	256	166	246	
French South Antarctic Territories	0	0	26	1,083	0	106	0	1	40	3,981	75	196	388	
Gabon	679	378	449	2,007	1,250	158	984	1,561	116	3,734	2,006	1,494	2,689	
Gambia	109	50	99	134	575	438	946	390	940	80	216	232	172	
Georgia	5,272	6,433	11,427	13,688	40,984	40,120	44,855	65,974	45,758	60,026	102,113	113,646	80,003	
Germany	12,736,693	15,442,116	18,025,635	23,835,740	26,200,643	30,366,436	37,191,790	44,867,595	36,438,817	42,212,766	52,221,249	49,142,434	50,376,624	
Ghana	4,100	3,782	3,614	5,026	5,741	14,664	12,836	16,571	11,392	11,652	31,145	21,196	17,605	
Gibraltar	7,030	9,649	11,016	5,849	134	538	76	1,183	277	181	224	207	323	
Greece	133,994	192,062	236,475	255,808	297,508	409,514	446,397	529,679	419,353	367,120	393,696	280,321	278,894	
Greenland	206	148	221	379	209	288	577	817	828	1,005	828	769	732	
