List of importing markets for a product exported by Czech Republic (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	32,410,876	37,438,046	48,566,368	58,091,053	67,369,228	83,616,870	108,529,254	129,765,449	103,369,593	119,728,899	144,880,038	138,870,840	145,243,162	
Albania	6,275	5,443	13,366	20,747	25,619	32,599	32,732	43,735	61,164	64,948	80,059	51,302	38,959	
Algeria	39,125	35,456	48,735	80,517	123,970	143,184	136,605	132,183	189,702	184,852	170,983	208,251	239,936	
Andorra	920	778	981	1,251										
Anguilla	1	0	0											
Antigua and Barbuda					0		2		11	9	19	25	11	
Argentina	16,549	12,745	21,929	38,610	6,319	60,682	63,671	74,616	70,714	138,959	162,633	156,915	163,816	
Armenia	1,914	2,566	3,289	1,970	7,575	8,602	15,855	22,706	15,075	18,371	23,972	20,221	20,473	
Australia	36,391	58,266	78,665	111,625	136,601	152,260	188,776	316,381	184,973	236,317	382,579	440,028	614,608	
Austria	1,898,090	2,110,867	2,975,812	3,509,508	3,964,239	4,194,609	4,989,566	6,224,037	4,843,700	5,707,191	7,044,523	6,709,608	7,472,772	
Azerbaijan	2,046	1,911	9,832	5,274	17,632	25,485	19,504	21,347	27,927	37,781	102,678	98,223		
Bahamas	1	19	214	10	44	6	2	9	0	4	1	1		
Bahrain	967	3,861	4,139	3,875	5,308	2,519	7,400	12,889	8,729	15,366	14,061			
Bangladesh	1,499	1,686	3,221	12,864	10,735	16,057	19,235							
Barbados	1,183	1,090	1,311	1,507	859	768	423	357	483	192	180	198	583	
Belarus	57,192	54,227	74,480	111,091	99,364	139,221	197,314	336,014	238,304	317,084	353,460	437,336	494,006	
Belgium	749,714	711,845	932,333	1,515,684	1,912,831	2,523,309	2,999,959	3,540,739	2,767,695	3,109,746	4,036,805	3,847,237	4,525,811	
Belize	1	14	47	7	129	53	160	150	204	49	52	124	380	
Benin	955	483	455	232	80	285	1,007	2,524	2,940	4,555	7,821	3,947	7,354	
Bermuda												99	28	
Bhutan					0	0	0	35	0	213	0			
Bolivia	923	1,020	589	660	1,064	1,441	1,651	1,860	2,035	3,285	5,040	3,813		
Bosnia and Herzegovina			0	0	144,631	204,030	212,247	220,480	172,262	185,998	232,535	178,389	167,219	
Botswana	0	141	8	30	7	33	220	100	42	274	382	732	393	
Brazil	52,342	54,748	65,311	110,086	215,820	237,484	274,655	378,370	330,600	459,742	547,772	541,974	597,340	
Brunei Darussalam	27	70	15	56		6,963				0	143	953	334	
Bulgaria	116,437	124,115	176,865	244,034	264,029	343,484	513,499	703,509	644,367	484,482	562,832	630,395	701,337	
Burkina Faso	266	641	367	127	0		1,714	1,711	842	2,874	3,593	6,269		
