List of importing markets for a product exported by Democratic Republic of the Congo (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	1,238,803	1,458,971	1,089,716	1,222,670	1,495,882	1,480,589	2,079,868	3,754,483	2,804,682	5,660,285	6,977,988	5,647,364	5,143,985	
Algeria	31	35	313	13	5	29	17	22	2	7	0	32	11	
Andorra	0	13	5	3										
Antigua and Barbuda					0		7		0	0	0	0	0	
Argentina	0	0	0	0	0	0	0	1	0	0	0	106	0	
Armenia	0	0	0	0	0	0	0	183	8	1	4	11	2	
Australia	0	18	27	20	178	82	373	88	94	11,387	89	6,031	2,631	
Austria	86	22	351	393	467	297	496	509	63	372	372	17	3	
Azerbaijan	0	1	0	0	0	0	0	0	0	0	0	0		
Bahrain	1	0	0	0	0	0	0	0	0	13	0			
Bangladesh	365	3,953	0	46	98	171	298							
Barbados	0	0	0	1	11	0	0	0	0	0	0	0	0	
Belarus	0	6	4	8	4	6	2	6	1	0	7	35	0	
Belgium	778,721	1,001,031	686,103	579,531	575,747	513,592	502,446	509,632	234,628	294,204	366,249	365,191	327,828	
Belize	0	3	0	0	0	0	0	0	355	0	0	1	0	
Benin	75	12	0	12	6	9	103	89	272	123	64	23	30	
Bolivia	0	0	0	0	0	0	0	0	2	1	1	2		
Bosnia and Herzegovina			0	0	1	0	1	1	2	7	0	0	2	
Botswana	3	3,562	40	17	909	2	23	568	278	358	1,368	53	192	
Brazil	81	457	223	368	222	132,437	175,289	3,843	4,783	13,318	107,141	15,719	16,938	
Brunei Darussalam	5	0	83	3		0				0	0	0	0	
Bulgaria	0	74	0	0	5	10	2	226	0	0	0	0	0	
Burkina Faso	0	0	0	0	5		2,301	2,745	1,270	6,036	205	0		
Burundi	731	598	1,342	2,003	1,120	685	804	305	652	701	5,330	6,342	3,878	
Cabo Verde	0	2	1,136	346	475	0	489		0	0	470	16	206	
Cambodia	0	22	0	2	0	0	36	0	0	0	0	0		
Cameroon	5	2	133	8	14	13	160	0	759	35,487	93	301		
Canada	0	27	46	240	434	571	769	769	519	733	1,028	1,564	3,678	
Central African Republic	109	88	530			21	705	1,375	1,895	499	1,015	0	0	
Chile	0	0	8	59	1	0	0	0	0	0	0	0	0	
China	7,885	12,473	26,242	99,585	175,772	368,550	460,176	1,583,860	1,136,448	2,505,716	3,161,988	3,527,095	2,756,655	
Colombia	6	0	14	0	0	0	0	0	1	0	0	11	28	
Comoros	0	0	0	0	0	0	0	0	0					
Congo							19,468	16,472	14,084	13,036	0	37,322	196,931	
Costa Rica	2	34	4	39	113	72	69	22	351	194	80	339	59	
Côte d'Ivoire	6	5	279	50	322	30	92	349	1,323	29,835	22,314	830		
Croatia	53	4,185	95	4	50	127	341	42	18	23	35	28	27	
Cuba	34	0	3	1	0	474								
Cyprus	78	67	33	36	153	112	574	291	550	0	309	637	123	
Czech Republic	126	74	15	146	181	697	1,035	1,070	974	698	673	309	446	
Denmark	14	175	1,118	154	172	191	980	3,970	617	127	158	401	281	
Dominican Republic	0	0	0	0	55	29	133	302	2	111	2	0	0	
Ecuador	0	0	0	0	0	0	0	4	43	29	15	67	45	
Egypt	0	22	0	173	63	0	0	953	163	188	10,679	70,758	30,641	
El Salvador	0	2	28	10	41	0	0	0	0	0	0	0	0	
Estonia	0	446	0	0	638	165	0	59	157	0	2,311	30	10	
Ethiopia	0	0	79	42	14	14	0	0	0	0	98	0		
Faroe Islands	0	1	6	6	2	0	0	0	1					
Fiji		0	0	27	0	0	0	8	0	0	3	0		
Finland	93,785	81,544	57,606	257,417	116,107	125,342	192,857	325,967	98,793	131,002	219,287	177,239	147,706	
France	7,141	36,134	31,489	14,578	124,373	34,643	142,022	57,083	28,474	31,085	27,982	25,132	19,021	
French Polynesia	1	0	0	0	0	9	27	0	0	0	1	18	0	
Gabon	0	0	20	134	1,626	44	91	64	28					
Gambia	0	0	0	0	0	0	0	0	0	0	0			
Germany	10,335	8,141	12,766	7,931	16,153	17,585	16,956	14,214	21,072	22,978	14,754	100,913	135,398	
Ghana	260		152		0	6	0	0	0	1,058	54	48		
Greece	101	92	137	109	93	124	204	751	1,362	11,052	2,083	1,097	3,802	
Greenland	0	0	3	0	0	0	0	0	3	0	0	0	0	
Grenada	0	0	0	13	0	0	0	0						
Guatemala	33	22	0	7	5	0	1	28	1,021	11	0	0	0	
Guinea	0	57		5	10	24	30	4		0	0	0		
Guyana	0	0	0	0	0	0	0	0	6	3	0	0	0	
Honduras	0	0	0	0	0	0	0	0	1,866	0	1	0	1	
Hong Kong, China	95	96	1,271	980	214	111	208	147	1,058	157	413	684		
Hungary	185	107	133	3	9	11	1	76	26	1	69	1	0	
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	1	
India	121	0	96	1,292	5,171	18,670	17,122	114,316	137,747	11,910	6,014	19,933	24,146	
Indonesia	0	26	0	0	0	0	0	0	0	0	3,077	3,775	4,419	
Iran (Islamic Republic of)	0	0	0	0	0	0				0	0			
Ireland	9	1	5	109	48	50	70	227	84	137	93	194	201	
Israel	0	0	0	0	0	0	0	21	0	1	0	6	175	
Italy	22,804	12,517	11,876	15,256	19,650	25,538	31,180	19,597	13,394	86,751	23,001	124,414	694,535	
Jamaica	14	0	0	0	0	0	0	0	0	0	0	0		
Japan	10,349	31,126	13,779	9,258	3,344	2,321	3,080	24,648	5,608	844	1,443	3,989	1,798	
Jordan	0	0	0	0		0	0	0	0	5	0	0	0	
Kazakhstan	0	0	0	1	0	0	0	191	80	51	4,500	15,295	10,470	
Kenya	9,509	0	0	0	11,999	12,819	22,685	14,251	11,390	16,770	28,428			
Korea, Republic of	822	618	1,010	611	139	225	5,935	2,753	22,848	97,879	149,197	236,584	221,462	
Kuwait	0	0	1	0		1	1	4						
Kyrgyzstan	0	0	0	1	0	0	0	0	0	0	0	0		
Latvia	0	0	0	0	0	299	602	178	0	0	0	0	36	
Lebanon	2	4	16	79	0	0	138	2,053	0	1	4	0	0	
Lesotho	0	0	0					0	0	6				
Lithuania	0	10	26	15	475	1,109	100	986	65	2	0	0	0	
Luxembourg	40	6	33	32	0	130	0	7	2	13	26	2	2	
Macao, China	13	0	0	0	0	0	0	0	0	0		0		
Macedonia, The Former Yugoslav Republic of	0	0	6	0	0	0	0		0	0	0	0	0	
Madagascar	22	15	48	26	81	92	345	126	1,656	258	32	57	29	
Malawi	30	140	269	9	1	10	1	37	60	42	70	85	96	
Malaysia	2,001	711	1,009	13,418	2,379	3,784	6,042	15	14	553	519	1,908	31,331	
Mali	21	0	0	184	22	8	0	10		78	177	166		
Malta	0	0	0	1	0	0	0	40	37	61	65	35	111	
Mauritania	0	0	0	0	0		0	0	0	0	315	0		
Mauritius	0	0	0	1	7	0	0	0	0	0	0	0	0	
Mayotte	0	0	0	0	0	0	0	0	0					
Mexico	69	904	15	0	0	0	0	0	0	0	0	157	74	
