List of importing markets for a product exported by Denmark Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	50,973,842	55,673,560	64,614,226	74,740,558	81,779,552	90,638,722	101,616,124	115,876,233	94,082,818	96,473,937	111,947,890	105,535,979	111,109,154	
Afghanistan	812	9,440	7,412	17,684	8,417	9,288	11,312	10,742	17,360	14,235	22,172	19,581	20,882	
Africa not elsewhere specified	4,029	3,610	3,027	4,267	3,952	1,190	2,179	2,358	0	0	0	0	0	
Albania	2,910	2,003	5,037	3,385	4,759	2,143	4,086	5,184	3,831	11,297	4,797	4,977	4,036	
Algeria	41,312	44,205	35,348	58,291	41,832	59,755	55,250	70,523	89,601	118,442	233,386	197,892	209,505	
Andorra	627	910	959	1,035	1,252	1,168	2,298	2,326	1,263	832	1,026	840	759	
Angola	20,563	9,535	11,320	8,882	7,026	10,719	9,432	18,277	13,220	24,069	20,308	28,215	59,139	
Anguilla	55	56	186	126	0	34	1,844	9	10	97	128	149	135	
Antigua and Barbuda	1,279	682	1,209	1,208	6,185	4,801	21,870	3,722	2,849	3,302	3,122	7,495	2,330	
Area Nes	71,318	65,364	78,446	71,253	77,802	20,695	31,220	166,013	0	0	0	0	0	
Argentina	65,249	24,355	48,174	83,490	74,302	81,466	108,329	105,513	116,767	148,967	173,680	160,118	160,260	
Armenia	2,276	1,763	1,703	1,517	1,739	1,962	3,673	5,046	4,445	5,420	5,572	4,010	4,356	
Aruba	2,001	920	944	1,101	25,285	1,334	1,985	1,445	53,333	2,050	3,085	26,598	2,618	
Australia	289,501	342,747	434,936	636,274	585,601	621,729	708,476	762,017	840,279	840,965	1,253,847	1,079,425	1,075,221	
Austria	414,653	487,034	635,002	646,229	608,127	646,119	753,338	797,047	636,319	676,028	746,051	699,200	732,118	
Azerbaijan	3,316	6,142	10,372	8,097	5,165	4,226	7,631	15,742	9,426	23,149	22,654	38,419	43,650	
Bahamas	4,487	103,994	3,494	15,103	6,974	41,852	8,950	51,623	32,486	43,295	22,906	16,477	12,580	
Bahrain	16,222	15,878	17,441	17,197	16,493	19,214	23,261	30,160	21,445	29,694	26,392	31,075	25,354	
Bangladesh	26,822	19,524	20,602	24,748	21,253	27,567	36,547	29,119	19,279	48,282	59,424	59,872	60,888	
Barbados	4,993	2,575	2,812	2,476	1,972	36,149	2,719	2,906	1,890	2,507	5,272	5,506	4,473	
Belarus	22,272	25,271	29,655	32,050	44,985	63,113	59,149	61,347	48,821	56,764	51,179	68,084	68,466	
Belgium	734,498	778,641	1,030,970	1,113,020	1,020,638	1,110,908	1,284,444	1,455,245	1,457,263	1,375,935	1,570,397	1,483,867	1,886,288	
Belize	2,142	4,171	4,662	2,006	2,787	1,621	2,493	2,786	1,917	2,679	2,355	3,134	3,855	
Benin	3,829	5,007	3,470	4,030	2,725	1,777	2,417	5,753	2,093	2,621	5,050	1,192	9,926	
Bermuda	1,756	648	1,153	5,324	2,055	44,167	38,385	2,804	1,636	2,618	7,333	2,513	2,122	
Bhutan	114	140	274	790	484	347	209	214	152	156	134	367	224	
Bolivia	1,990	2,475	1,853	3,353	3,403	5,549	4,852	9,682	10,705	13,942	10,194	14,897	18,397	
Bosnia and Herzegovina	17,816	12,933	8,818	12,263	15,140	9,719	14,800	22,264	15,642	22,781	19,894	19,108	17,738	
Botswana	890	899	916	2,074	3,169	3,362	1,025	8,016	1,576	1,014	586	538	341	
Brazil	147,644	114,670	145,582	184,139	190,386	261,295	306,884	421,782	332,725	493,701	788,323	775,817	1,052,303	
British Indian Ocean Territories	0	680	43	100	18	596	328	503	332	155	257	145	0	
British Virgin Islands	604	66,261	16,597	16,943	5,417	1,056	93,769	13,855	1,193	829	186,037	130,615	24,937	
Brunei Darussalam	404	759	279	487	629	690	1,262	3,875	7,917	1,591	2,347	3,878	5,005	
Bulgaria	52,118	56,306	59,348	69,044	73,488	77,677	99,828	150,465	274,161	91,605	100,723	93,567	101,372	
Burkina Faso	8,045	4,290	3,987	7,282	2,258	3,473	2,849	2,365	1,587	2,711	1,828	4,990	4,990	
Burundi	656	1,791	1,537	2,247	2,011	2,364	712	1,662	1,118	2,282	1,820	1,150	1,366	
Cabo Verde	872	1,046	895	841	823	875	546	1,251	1,099	984	1,546	608	938	
Cambodia	1,168	825	1,497	1,448	3,134	1,031	2,033	2,272	2,355	3,975	5,038	7,837	6,511	
Cameroon	2,708	3,014	3,780	4,768	2,682	2,809	3,341	4,194	2,169	4,703	4,482	10,236	6,465	
Canada	347,653	405,777	489,395	493,668	638,766	804,244	859,651	1,060,241	890,676	1,193,216	1,186,507	770,227	708,448	
Cayman Islands	445	418	549	101	11,965	13,754	7,675	875	13,567	1,314	24,642	357	548	
Central African Republic	455	336	689	839	866	704	1,803	988	745	1,022	1,060	939	535	
Chad	2,913	3,225	1,773	1,265	1,255	1,140	1,628	3,921	3,234	3,461	2,851	1,384	5,600	
Chile	51,886	57,088	53,413	59,778	90,058	89,510	117,640	133,449	120,332	125,305	176,806	182,449	281,340	
China	417,104	500,516	686,927	917,953	972,614	1,110,364	1,660,379	2,024,600	1,929,424	2,342,674	2,789,433	2,856,376	3,307,613	
Christmas Islands	0	30	9	0	1,806	14	0	28	1	0	37	0	277	
Cocos (Keeling) Islands	46	87	0	73	20	0	0	0	0	33	0	0	98	
Colombia	25,689	26,633	26,955	17,964	22,378	27,544	33,480	61,421	39,670	65,082	76,063	111,033	109,489	
Comoros	27	47	144	210	119	33	27	53	143	160	421	219	67	
Congo	2,752	2,420	2,604	3,004	5,015	4,781	12,259	4,683	2,169	3,588	5,289	4,588	4,426	
Cook Islands	94	120	299	16	417	58	5	2,272	55	69	338	136	213	
Costa Rica	15,110	6,640	7,190	7,914	6,116	9,466	10,098	11,323	11,281	18,135	17,778	21,008	23,751	
Côte d'Ivoire	3,951	3,937	3,710	6,010	6,141	5,661	5,741	5,582	7,896	8,177	7,474	7,734	10,427	
Croatia	59,507	70,217	94,972	118,526	110,451	125,198	157,916	209,627	110,538	112,864	163,160	105,388	143,345	
Cuba	12,073	9,374	11,770	12,965	14,092	31,116	23,020	7,718	11,229	17,507	18,141	23,573	26,222	
Cyprus	41,254	35,518	74,541	50,729	46,715	51,929	94,617	87,755	75,401	72,862	131,311	87,356	70,738	
Czech Republic	181,504	206,115	270,241	319,164	358,062	480,835	652,033	640,839	778,272	879,378	1,063,958	1,051,397	1,016,896	
Democratic Republic of the Congo	1,233	1,549	5,524	5,741	6,525	5,138	4,931	5,290	5,101	4,311	4,739	2,583	3,107	
Djibouti	1,347	1,919	2,340	2,379	2,024	1,372	1,197	2,226	1,046	4,234	8,072	11,568	5,959	
Dominica	250	451	344	278	323	641	233	786	867	1,174	726	462	677	
Dominican Republic	57,028	56,307	30,986	48,521	79,222	56,293	94,508	89,511	76,487	79,818	79,565	77,614	82,759	
Ecuador	6,745	5,750	6,437	10,408	7,903	6,967	8,527	10,933	14,138	17,441	18,062	28,665	27,296	
Egypt	131,630	65,976	86,143	81,789	95,475	93,733	147,982	143,221	201,177	246,410	255,203	253,715	258,777	
El Salvador	6,233	9,543	11,616	7,547	13,524	8,278	11,341	9,896	6,799	9,310	10,082	8,196	8,164	
Equatorial Guinea	368	1,016	987	2,495	1,358	814	474	726	1,470	1,461	1,677	1,272	3,006	
Eritrea	3,730	3,288	3,843	4,488	2,036	1,764	1,097	1,025	1,991	957	2,127	1,518	1,442	
Estonia	118,086	142,235	162,584	174,641	194,998	256,247	327,776	332,438	240,165	213,403	248,295	286,543	273,535	
Ethiopia	19,363	8,717	9,343	13,083	11,040	6,572	10,009	6,729	13,556	10,476	15,358	16,749	18,434	
Europe Othr. Nes	120,455	131,193	251,191	344,184	454,509	345,675	358,405	751,347	0	0	0	0	0	
Falkland Islands (Malvinas)	74	52	96	37	26	486	350	128	33	110	42	66	162	
Faroe Islands	224,200	240,246	279,967	299,814	303,748	361,090	463,127	458,863	347,987	392,328	430,475	452,098	487,014	
Fiji	360	362	570	750	560	245	188	976	249	1,348	896	1,075	1,320	
Finland	1,439,427	1,682,958	1,994,554	2,077,486	2,179,460	2,678,989	2,699,072	2,731,305	2,095,682	2,296,055	2,583,355	2,521,960	3,208,735	
France	2,355,136	2,354,183	2,907,572	3,344,453	3,553,998	3,655,855	4,095,952	4,583,541	4,031,087	4,145,447	4,532,701	3,723,943	3,904,677	
French Polynesia	2,752	1,726	2,421	2,698	3,453	2,443	2,179	2,453	2,248	2,565	2,807	3,617	5,326	
French South Antarctic Territories	18	67	59	235	454	1,481	476	503	402	601	384	251	499	
Gabon	3,699	1,216	2,673	1,907	1,645	9,353	1,968	5,958	2,584	3,175	8,863	3,207	4,626	
Gambia	1,854	1,431	2,372	3,845	5,283	2,511	4,505	4,639	4,164	5,178	6,124	3,491	3,518	
Georgia	9,114	6,069	4,740	8,174	5,464	5,755	7,845	10,429	13,984	19,270	19,383	13,013	8,226	
Germany	9,166,926	10,012,178	11,182,088	12,315,985	12,617,215	13,579,504	15,036,998	17,472,674	15,573,537	16,220,888	18,074,010	16,388,460	18,655,439	
Ghana	13,033	17,170	15,752	22,215	20,818	12,839	15,106	19,790	16,966	25,328	33,324	27,258	32,519	
Gibraltar	9,120	4,847	5,181	4,623	7,937	9,855	27,680	25,494	44,022	15,704	48,335	138,195	18,911	
Greece	387,789	406,485	487,228	579,395	556,375	656,541	695,715	754,104	635,898	550,561	611,954	472,386	542,355	
Greenland	233,006	319,135	354,285	414,364	434,186	446,102	497,296	559,796	498,785	515,824	568,749	543,905	549,919	
Grenada	876	1,376	1,299	1,276	1,364	1,322	1,402	1,645	1,227	1,134	1,124	1,363	1,058	
Guatemala	6,398	9,193	10,547	10,208	8,148	8,545	11,322	8,907	6,942	6,889	8,747	7,463	11,682	
Guinea	2,272	4,822	3,610	2,580	2,820	2,537	3,041	1,971	1,047	5,927	1,820	1,841	2,592	
Guinea-Bissau	394	654	343	225	507	184	721	607	170	444	791	313	492	
Guyana	812	704	1,156	1,079	1,215	1,784	1,861	2,803	1,151	1,282	2,140	2,755	2,651	
Haiti	1,051	1,940	1,729	2,873	2,747	2,897	4,029	4,174	4,393	7,032	6,698	4,189	3,565	
Honduras	2,619	7,214	5,360	6,781	5,941	4,113	5,431	8,101	7,521	8,656	12,315	13,692	12,954	
Hong Kong, China	437,110	533,615	597,215	744,669	667,220	1,098,499	781,667	1,026,893	892,338	1,408,316	1,718,347	1,858,490	2,065,909	
