List of importing markets for a product exported by Denmark (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	44,842,876	48,560,033	58,465,812	68,023,690	76,128,724	84,189,566	92,687,489	105,797,573	84,938,105	88,601,025	104,018,136	96,989,570	95,182,790	
Afghanistan								35	323	989	947	0		
Albania	2,411	3,522	7,051	7,188	6,331	4,906	5,243	7,516	6,626	7,996	5,055	3,974	4,821	
Algeria	39,715	56,053	51,391	79,522	55,585	208,445	133,354	136,128	193,163	144,747	245,272	234,395	241,839	
Andorra	1,762	942	1,341	1,228										
Anguilla	169	115	60											
Antigua and Barbuda					819		866		1,449	1,187	948	540	623	
Argentina	78,914	44,381	67,813	101,502	75,748	114,685	165,150	143,221	140,047	140,739	177,571	150,228	160,477	
Armenia	1,089	1,093	1,303	1,691	3,690	2,905	4,094	6,928	6,522	6,628	6,200	6,366	5,539	
Aruba					2,331				1,906	1,361	1,654	1,180		
Australia	289,723	407,945	511,612	718,910	721,413	777,060	815,818	863,920	877,305	917,477	1,021,188	1,178,067	1,054,230	
Austria	397,451	426,855	536,064	555,746	682,172	621,539	697,944	749,809	656,539	643,670	767,438	699,490	739,283	
Azerbaijan	6,338	4,806	6,765	5,659	6,378	13,137	15,192	18,498	10,021	12,999	43,196	20,119		
Bahamas	1,583	1,799	1,524	175	431	1,801	1,239	1,273	192	1,211	1,238	3,761		
Bahrain	19,059	21,247	23,357	18,462	20,733	14,099	19,002	33,297	20,905	34,372	28,035			
Bangladesh	45,989	53,306	42,425	44,204	44,906	62,185	64,809							
Barbados	6,187	9,959	9,043	4,274	7,452	6,678	4,237	8,633	8,693	6,854	6,209	6,006	7,111	
Belarus	31,045	32,257	40,449	54,376	53,857	86,871	90,329	106,106	91,855	94,513	110,009	171,146	127,838	
Belgium	806,783	886,575	1,125,294	1,281,572	1,277,385	1,334,863	1,617,229	1,834,118	1,473,853	1,484,174	1,615,284	1,389,401	1,583,510	
Belize	1,936	1,948	2,143	1,862	1,988	1,991	2,786	2,948	1,789	1,806	2,205	2,852	3,314	
Benin	5,008	5,145	5,501	7,892	4,166	4,980	9,395	6,780	5,247	8,935	7,586	13,613	11,571	
Bermuda												3,492	1,433	
Bhutan					3,542	716	587	1,016	1,192	373	1,044			
Bolivia	2,236	2,127	2,011	2,612	2,606	4,928	4,023	5,787	5,680	11,240	7,095	9,336		
Bosnia and Herzegovina			9,255	16,229	19,705	20,153	25,250	31,656	27,398	25,796	23,792	20,931	26,140	
Botswana	1,045	4,177	5,420	2,675	4,197	4,027	4,654	7,272	4,416	2,254	2,534	1,554	3,374	
Brazil	188,658	157,195	185,284	188,118	237,286	267,542	357,239	456,424	351,160	540,978	732,774	721,971	905,511	
Brunei Darussalam	964	1,360	575	1,123		1,283				2,419	3,334	5,196	6,168	
Bulgaria	57,111	63,375	71,688	84,148	94,333	99,995	136,733	144,291	145,562	127,338	122,763	116,901	123,796	
Burkina Faso	3,300	7,532	5,712	6,954	4,780		4,841	11,807	8,499	7,075	3,642	10,650		
Burundi	2,799	4,076	285	3,771	4,638	9,213	3,710	3,782	8,290	6,455	83,986	9,780	8,940	
Cabo Verde	661	993	1,338	849	957	1,456	928		857	3,159	743	983	666	
Cambodia	2,763	1,448	2,981	3,225	4,700	2,994	2,649	1,921	2,977	4,430	3,045	5,668		
Cameroon	2,423	3,519	3,343	5,170	2,640	3,276	2,669	3,272	3,385	3,292	4,292	12,660		
Canada	493,468	655,103	769,958	772,000	1,293,705	1,255,648	1,231,400	1,650,574	1,412,631	1,829,819	1,461,103	951,110	974,638	
Central African Republic	285	605	943			0	3,060	2,396	2,126	3,444	1,270	1,443	4,112	
Chile	65,545	66,491	76,689	67,871	107,509	118,322	156,377	159,271	153,113	133,522	179,267	191,768	231,044	
China	625,700	636,798	964,146	1,205,774	1,190,358	1,309,134	1,839,868	2,597,147	2,290,654	2,645,588	2,813,452	2,904,080	3,374,076	
Colombia	32,758	31,235	29,393	21,680	30,250	46,117	44,581	78,046	51,507	67,863	83,498	94,595	133,384	
Comoros	71	82	100	167	176	223	267	63	357					
Congo							100,111	32,724	1,256	1,412	2,133	1,119	2,536	
Costa Rica	15,706	7,844	10,339	11,282	6,467	9,083	11,164	24,130	14,763	22,073	20,627	20,955	29,582	
Côte d'Ivoire	6,458	5,193	6,465	10,424	7,845	8,179	8,508	8,815	10,363	8,486	11,448	8,274		
Croatia	73,041	92,203	117,616	126,398	134,648	133,786	185,655	253,746	146,879	137,080	183,816	119,918	259,327	
Cuba	9,990	8,341	16,761	15,437	11,731	16,712								
Cyprus	30,197	31,118	37,530	39,988	34,481	35,321	55,628	51,705	68,439	36,299	49,647	36,595	31,755	
Czech Republic	223,263	274,682	334,782	419,478	492,537	761,325	928,689	906,434	727,857	772,179	879,233	791,936	856,968	
Djibouti									424					
Dominica	210	300	278	269	378	192	348	968	543	413	539	521		
Dominican Republic	42,126	44,789	24,720	40,794	52,744	65,951	83,950	103,524	70,433	82,566	78,490	77,392	90,239	
Ecuador	7,264	5,186	7,487	19,530	9,350	10,525	11,966	11,373	10,358	13,058	22,989	17,736	26,728	
Egypt	139,157	73,506	55,182	56,612	67,266	46,397	110,518	159,406	208,116	187,693	228,500	263,047	218,954	
El Salvador	6,549	8,962	16,460	10,146	17,153	11,066	11,635	14,808	8,938	12,121	10,695	10,608	11,930	
Eritrea			4,437											
Estonia	78,584	75,251	79,110	148,077	193,658	232,853	258,745	257,505	185,473	181,310	217,317	219,433	222,982	
Ethiopia	21,013	10,318	19,624	21,469	41,163	75,017	45,628	30,771	29,308	20,212	21,036	29,003		
Faroe Islands	147,397	155,867	191,922	206,802	199,438	235,443	293,306	313,652	237,922					
Fiji		1,048	1,942	1,829	2,180	2,068	1,740	2,917	2,168	2,165	840	1,084		
Finland	1,203,569	1,397,545	1,740,143	1,751,992	1,845,077	2,178,974	2,061,012	2,138,545	2,065,407	2,092,764	2,550,832	2,407,941	3,030,072	
France	2,154,017	2,373,472	2,850,756	3,450,827	3,790,124	3,831,212	4,008,494	3,992,268	3,268,987	3,523,656	3,722,697	3,286,602	3,179,739	
French Polynesia	3,867	4,105	5,198	5,586	6,085	4,972	5,067	5,448	4,896	4,717	4,060	6,322	5,634	
Gabon	1,347	4,654	1,432	695	1,244	1,333	1,536	2,788	1,123					
Gambia	1,234	1,276	3,324	15,604	29,103	42,931	46,188	23,650	4,913	2,088	4,909			
Georgia	6,859	9,640	10,972	8,384	7,059	10,620	13,754	12,879	10,746	15,026	11,319	25,001	13,080	
Germany	7,601,949	8,262,290	10,176,141	11,621,795	12,590,705	13,306,196	15,046,737	17,462,725	14,562,982	14,700,253	17,007,798	14,963,750	15,000,614	
Ghana	26,981		22,473		29,096	19,052	23,032	24,238	147,852	31,911	33,432	74,067		
Greece	346,269	315,020	397,275	495,723	487,067	633,683	650,840	719,601	740,698	643,867	674,346	717,633	553,998	
Greenland	226,552	285,429	284,785	488,905	500,328	382,290	542,976	535,716	471,604	489,585	526,652	507,227	513,592	
Grenada	749	856	2,328	1,294	1,790	1,596	2,625	2,090						
Guatemala	9,934	14,275	11,254	8,895	14,170	8,451	7,492	5,527	13,293	8,678	6,343	9,117	13,056	
Guinea	9,455	1,297		3,552	6,440	7,469	3,833	4,387		16,589	5,092	9,214		
Guinea-Bissau			78	10	0									
Guyana	1,470	613	741	630	1,253	2,049	2,978	3,683	2,820	2,736	4,553	39,121	3,814	
Honduras	557	6,805	4,173	5,405	10,563	6,635	5,962	5,055	6,579	6,248	8,441	10,665	16,671	
Hong Kong, China	396,007	422,826	473,153	564,247	577,759	694,201	606,436	682,099	577,021	841,982	1,100,381	1,333,458		
Hungary	195,528	254,756	298,878	381,969	433,173	470,815	629,166	756,509	552,209	649,208	615,751	553,459	656,529	
Iceland	196,900	193,333	226,997	280,935	354,101	372,820	495,578	451,547	262,172	276,007	300,987	270,062	302,952	
India	150,865	128,407	189,720	266,633	360,591	497,656	404,327	506,091	603,084	440,918	596,494	522,871	490,192	
Indonesia	57,954	45,445	41,172	73,824	74,289	80,861	101,326	102,646	116,551	168,387	176,244	173,488	199,312	
Iran (Islamic Republic of)	70,776	90,353	95,607	172,855	248,222	0				136,976	147,390			
Ireland	657,281	655,823	925,166	930,574	936,002	823,694	914,827	1,538,304	1,103,791	1,032,442	841,834	878,812	907,787	
Israel	154,885	193,994	146,649	139,236	186,640	175,182	185,550	215,274	200,794	200,440	232,392	234,277	250,548	
Italy	1,707,262	1,718,070	2,177,360	2,623,007	2,787,571	2,989,301	3,268,750	3,415,970	3,132,661	2,805,583	3,099,742	2,820,763	2,641,878	
Jamaica	6,521	4,558	6,104	4,751	4,717	28,382	18,544	14,036	47,166	16,169	7,445	8,470		
Japan	2,121,954	2,173,438	2,381,469	2,794,036	2,369,359	2,035,605	2,026,810	2,443,374	2,183,842	2,264,103	2,419,709	2,353,484	2,046,524	
Jordan	24,083	23,356	37,256	30,034		23,822	36,104	41,875	40,064	48,897	61,542	56,220	72,692	
Kazakhstan	14,702	26,955	29,856	33,565	37,395	45,161	54,020	114,848	56,786	71,907	76,185	85,613	76,303	
Kenya	18,930	13,546	11,727	19,351	23,376	22,826	22,963	68,958	74,737	58,206	98,227			
Kiribati					0		0	0	30	0	43	231		
Korea, Republic of	332,730	425,171	404,283	471,347	559,996	574,906	701,528	709,085	586,303	574,507	714,520	748,643	918,943	
Kuwait	51,205	50,863	68,632	70,502		57,495	59,041	68,374						
Kyrgyzstan	1,891	839	1,124	1,014	3,012	1,743	3,089	3,797	2,716	3,200	4,171	5,920		
Latvia	130,381	137,528	178,808	215,555	251,239	310,489	405,311	457,002	251,046	255,312	344,663	362,901	371,537	
Lebanon	42,232	43,466	53,157	51,773	51,566	64,918	90,628	76,986	82,110	92,094	104,076	115,142	146,631	
Lesotho	217	523	588					0	0	195				
Libya							4,788	7,612	14,005	32,182				
Lithuania	185,499	223,618	278,640	445,339	463,073	558,390	669,097	668,522	404,679	398,412	493,957	509,430	571,576	
Luxembourg	27,680	27,897	32,512	38,453	34,921	41,199	41,923	64,958	44,580	52,607	65,178	48,999	39,815	
Macao, China	4,031	3,966	15,758	8,837	12,391	7,575	12,533	10,677	9,675	8,422		8,115		
Macedonia, The Former Yugoslav Republic of	7,971	7,255	11,242	14,818	14,293	16,856	19,360		19,490	20,680	21,592	24,454	38,307	
Madagascar	2,411	2,577	3,898	6,883	14,230	6,919	7,920	9,410	6,382	5,461	1,884	2,055	3,007	
Malawi	3,404	5,721	6,926	9,580	13,844	20,725	32,923	40,850	34,971	22,374	43,372	37,285	29,229	
Malaysia	109,397	122,038	113,194	141,638	154,253	140,428	172,224	167,871	161,136	163,453	200,600	208,773	248,227	
Maldives	11,552	6,310	2,512	2,118	7,864	2,919	3,333	5,973	12,975	15,204	23,196	4,394	5,973	
Mali	2,888	3,972	4,167	4,336	3,294	1,862	10,412	5,818		3,289	1,748	2,450		
Malta	19,679	20,919	27,522	43,980	30,249	34,440	37,985	68,156	43,135	113,829	70,789	23,603	25,520	
Mauritania	655	479	2,517	1,388	1,030		627	2,132	54,253	7,651	11,341	4,328		
Mauritius	5,343	7,254	10,116	7,095	34,176	7,568	13,579	10,914	11,001	36,214	32,263	51,034	9,871	
Mayotte	93	144	166	225	98	105	341	392	1,211					
Mexico	168,988	177,110	198,579	201,384	219,984	271,216	320,569	369,323	371,620	528,237	443,203	465,797	421,354	
Mongolia	7,625		3,919	5,024	3,273	1,951	3,215						18,997	
Montenegro						4,473	4,265	3,865	2,920	3,900	4,527	4,811	2,184	
