List of importing markets for a product exported by Djibouti (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	61,609	77,186	67,845	27,669	98,602	208,226	207,859	273,278	182,309	98,220	117,268	84,651	46,551	
Albania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Algeria	0	0	0	0	2	0	0	14	0	0	2	0	0	
Argentina	1	0	732	486	0	0	0	0	0	0	0	0	0	
Australia	0	0	0	3	57	162	94	217	136	102	356	528	386	
Austria	62	25	26	133	87	57	47	325	20	5	77	1	0	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	0		
Bahrain	12	0	0	0	606	294	1,114	808	3	0	24			
Bangladesh	640	1	34	6	51	431	1							
Barbados	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belgium	237	975	175	1,877	263	187	661	1,554	144	632	688	40	293	
Belize	0	0	0	0	0	0	0	0	0	0	0	0	0	
Benin	0	3	0	6	0	0	2	0	10	94	6	75	3	
Bolivia	16	0	0	0	0	0	0	3	0	0	0	0		
Bosnia and Herzegovina			0	0	0	0	0	0	2	4	0	0	1	
Brazil	0	0	0	0	0	2	0	0	0	0	0	0	0	
Bulgaria	0	1	3	0	0	0	0	37	0	0	63	0	11	
Burkina Faso	0	0	0	0	1		0	1	32	0	135	34		
Burundi	82	0	0	0	4	24	0	0	0	277	105	29	345	
Cambodia	1	0	0	0	0	0	0	422	0	0	1	0		
Cameroon	0	0	0	0	0	516	1	1	0	0	0	0		
Canada	76	416	235	141	28	86	1	41	30	11	15	26	27	
Central African Republic	0	0	0			0	0	0	0	0	0	6	0	
China	322	21	149	514	536	384	1,639	1,792	110	691	176	617	274	
Colombia	0	77	3	189	624	228	167	118	729	192	0	0	0	
Comoros	0	7	0	0	0	2	14	29	0					
Congo							0	1	0	0	8	0	0	
Costa Rica	0	0	0	0	0	8	22	0	1	1	0	0	1	
Côte d'Ivoire	0	24	0	0	0	7	0	0	0	5	0	0		
Croatia	0	0	0	1	0	7	4	6	4	0	0	0	0	
Cuba	30	6	127	23	0	0								
Cyprus	129	26	181	49	0	0	0	0	0	0	0	968	1,600	
Czech Republic	0	0	0	6	1	98	3	21	139	17	22	9	22	
Denmark	2	44	31	52	0	5	0	1,180	917	1,547	0	354	41	
Dominican Republic	0	0	0	11	31	16	0	24	0	43	123	0	0	
Ecuador	0	0	0	0	0	80	0	0	0	0	0	21	0	
Egypt	666	7,325	3,934	983	1,310	7,239	6,738	13,933	15,629	43,575	29,738	12,273	8,988	
El Salvador	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eritrea			11,985											
Estonia	1	0	0	0	0	0	0	0	0	0	0	0	0	
Ethiopia	48,853	60,304	26,829	11,029	69,250	176,237	457	5,784	78	13	307	195		
Faroe Islands	0	0	0	0	0	0	0	0	7					
Fiji		0	3	2	0	0	0	5	0	0	0	0		
Finland	2	2	0	2	38	5	1	9	0	358	35	0	0	
France	449	1,075	1,683	1,072	559	2,708	1,009	706	18,234	477	5,748	3,627	3,753	
Gabon	5	0	0	11	9	1	23	0	39					
Gambia	0	0	0	0	0	0	0	0	0	0	2			
Georgia	0	0	0	0	0	0	0	0	136	0	0	4	0	
Germany	771	118	275	236	176	222	237	340	378	562	696	335	39	
