List of importing markets for a product exported by Dominican Republic (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	4,863,298	4,909,762	5,339,752	5,758,404	5,931,876	6,323,826	6,574,522	6,680,098	5,345,541	6,141,564	7,042,519	7,629,129	8,235,211	
Albania	0	0	0	0	0	3	14	2	22	153	98	168	81	
Algeria	0	17	392	1,115	636	460	4	280	921	1,523	732	377	600	
Andorra	276	311	525	417										
Anguilla	202	411	663											
Antigua and Barbuda					2,519		6,953		8,002	3,840	3,264	4,467	4,410	
Argentina	964	442	540	918	1,612	2,487	4,234	3,338	2,259	2,769	3,246	3,774	2,715	
Armenia	254	193	3,361	2,170	240	29	27	93	68	269	286	211	108	
Aruba					2,332				0	0	0	0		
Australia	3,417	2,827	2,471	4,061	8,556	13,997	18,409	17,259	15,169	19,139	20,990	25,514	27,664	
Austria	2,538	3,385	6,258	5,822	8,847	17,197	18,614	18,138	6,822	2,364	453	407	700	
Azerbaijan	4	0	0	2	195	2	0	5	12	0	1	4		
Bahamas	261	403	450	706	995	2,032	2,348	4,348	4,740	6,767	7,074	8,377		
Bahrain	49	35	46	19	31	7	31	127	233	159	223			
Bangladesh	3	35	38	199	884	7,833	10,968							
Barbados	2,738	3,003	3,107	3,124	4,036	5,989	5,362	7,591	7,927	6,789	9,484	9,833	10,008	
Belarus	5	9	12	98	100	366	343	727	766	867	711	1,028	651	
Belgium	27,293	51,425	51,147	82,674	106,416	154,594	241,515	236,524	194,983	233,808	200,070	149,687	200,438	
Belize	71	69	180	2,667	59	33	116	134	377	214	158	80	98	
Benin	0	0	0	0	0	2	0	0	345	14	0	17,416	17	
Bermuda												2,057	1,064	
Bolivia	12	34	261	706	308	388	725	627	205	502	710	710		
Bosnia and Herzegovina			25	22	63	84	279	264	347	281	673	639	440	
Botswana	0	0	0	0	0	0	0	0	9	0	0	0	0	
Brazil	1,749	1,635	1,707	2,240	3,453	4,290	12,784	21,859	10,841	14,823	19,666	17,845	18,788	
Brunei Darussalam	0	0	3	0		4				0	7	4	6	
Bulgaria	8	22	60	136	263	432	626	840	292	483	330	326	18,369	
Burkina Faso	0	0	0	0	0		0	1	459	470	168	12,987		
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cabo Verde	0	0	0	0	7	62	0		227	0	0	0	20	
Cambodia	0	0	0	0	110	0	331	1	0	19	0	13		
Cameroon	3	0	0	1	1	1	3	0	45	7,277	88	321		
Canada	61,729	75,350	81,885	98,644	99,089	100,692	105,945	122,334	129,729	139,607	150,075	283,794	1,194,675	
Central African Republic	0	0	0			10	0	0	0	0	0	0	0	
Chile	280	1,008	2,345	2,914	3,542	5,038	8,399	15,364	16,049	18,853	23,750	27,632	20,241	
China	224	1,814	3,514	15,590	29,102	94,445	126,342	146,291	98,100	130,741	292,447	409,574	293,745	
Colombia	1,614	3,053	2,631	3,371	3,184	8,290	9,590	10,817	10,363	21,322	25,475	30,745	46,904	
Congo							0	0	49	45	15	0	0	
Costa Rica	4,106	5,389	5,617	12,191	10,571	18,074	48,055	76,041	25,618	27,200	42,951	39,165	30,367	
Côte d'Ivoire	1	0	0	0	0	0	14	1	31	268	384	13		
Croatia	364	585	697	567	620	583	872	1,039	1,237	878	1,800	1,633	170	
Cuba	18,088	16,011	17,241	30,303	26,710	32,204								
Cyprus	146	95	468	565	68	320	234	363	276	201	197	216	214	
Czech Republic	1,046	1,565	4,804	3,257	5,117	5,809	7,152	11,262	15,226	13,417	12,317	10,348	8,345	
Denmark	1,193	642	767	1,539	1,460	1,509	1,358	1,337	590	986	1,150	3,320	4,839	
Dominica	844	909	679	689	927	1,087	3,423	5,023	5,596	4,437	3,324	3,735		
Dominican Republic	0	6	0	0	0	0	0	0	0	0	0	0	0	
Ecuador	1,778	501	3,530	2,460	5,437	6,119	6,808	6,043	6,058	91,413	9,935	15,103	10,090	
Egypt	0	0	0	24	0	2	2	2	1,955	364	1,678	112	173	
El Salvador	1,283	1,775	4,206	3,729	4,950	5,361	6,339	8,954	13,529	13,013	14,427	70,115	46,916	
Estonia	127	196	202	584	503	376	450	477	2,402	3,691	4,036	4,231	4,535	
Ethiopia	0	0	0	0	0	0	0	0	21	0	25	12		
Faroe Islands	1	2	5	4	2	3	3	8	1					
Fiji		0	0	0	21	0	0	0	0	8	0	0		
Finland	10,630	14,997	32,653	80,223	75,790	131,749	214,114	134,908	706	223	177	157	288	
France	49,613	56,125	44,907	53,996	41,107	45,919	73,374	88,601	96,575	89,284	112,804	114,734	144,224	
French Polynesia	16	18	31	21	112	66	100	90	42	101	108	83	149	
Gabon	0	0	0	0	0	0	0	0	0					
Georgia	0	120	486	2,484	1,606	0	0	0	0	0	6	0	0	
Germany	47,224	54,441	54,921	59,303	60,232	95,701	100,046	132,923	134,583	148,917	177,395	184,999	228,741	
Ghana	0		0		0	0	34	125	18	149	273	87		
Greece	1,679	1,399	1,712	1,175	1,704	1,774	2,383	2,118	2,716	2,275	1,696	707	981	
Greenland	0	0	0	0	0	23	0	0	0	0	5	15	0	
Grenada	226	299	487	428	544	1,343	815	1,912						
Guatemala	2,414	3,247	20,211	17,101	12,089	13,186	24,227	23,725	15,153	39,492	83,402	124,711	126,193	
Guinea	0	0		0	0	7	4	71		142	85	15		
Guyana	1,824	2,292	1,050	2,140	1,521	3,321	9,553	17,166	15,276	12,713	10,598	14,451	14,090	
Honduras	3,211	7,280	3,821	8,715	8,251	6,717	9,812	27,255	11,583	21,315	18,546	52,557	11,995	
Hong Kong, China	1,159	1,875	4,279	7,712	10,195	17,867	12,027	15,901	13,409	13,016	15,769	18,919		
Hungary	377	544	870	98	83	82	149	205	124	133	78	108	91	
Iceland	63	55	119	134	99	111	146	108	130	130	160	357	485	
India	0	70	1,083	3,264	1,842	5,168	2,228	10,151	8,453	15,367	8,358	10,401	13,073	
Indonesia	0	17	3	21	11	48	8,695	4,520	1,918	932	9,299	3,843	3,198	
Iran (Islamic Republic of)	0	0	0	0	0	0				30	0			
Ireland	409	684	1,382	339	1,958	3,028	6,982	8,130	8,152	8,782	9,463	8,747	9,035	
Israel	68	280	388	303	221	747	1,001	1,086	720	1,514	2,713	2,018	3,869	
Italy	23,180	31,153	28,100	36,044	37,522	58,425	51,481	65,057	24,465	50,378	48,452	59,996	84,031	
