List of importing markets for a product exported by Ecuador Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	4,647,487	5,041,492	6,038,494	7,606,116	9,869,357	12,727,796	13,800,364	18,818,325	13,863,050	17,489,922	22,342,524	23,852,017	24,957,644	
Afghanistan	277	106	3	205	145	86	520	71	276	376	0	4	0	
Albania	469	0	30	19	3	238	48	1	0	3,092	7,492	10,134	13,396	
Algeria	27	1,118	22,048	9,410	4,044	73	3,673	5,985	5,480	23,239	35,131	45,669	34,052	
Andorra	57	0	0	0	0	0	1	0	0	0	0	0	0	
Angola	13	600	1,351	27	432	590	509	1,264	70	22	15	32	1,091	
Anguilla	0	0	0	0	0	0	0	0	0	0	0	24	0	
Antigua and Barbuda	0	34	4	22	155	50	38	196	69	94	77	101	48	
Area Nes	50,051	52,769	26,308	12,667	1,222	2,720	32,491	5,398	3,344	2,869	3,322	17,173	77,234	
Argentina	70,855	15,257	31,706	33,803	41,876	44,160	74,812	94,519	99,706	114,297	89,106	105,341	145,507	
Armenia	0	19	0	0	0	1	2	0	79	80	116	99	569	
Aruba	136	196	118	123	12,562	150	150	189	219	518	404	317	300	
Australia	1,235	1,594	2,123	4,405	5,281	5,923	7,670	7,879	9,350	14,142	16,680	17,292	19,590	
Austria	215	437	453	415	665	994	1,263	1,392	2,410	5,729	1,857	2,360	2,004	
Azerbaijan	21	26	44	74	86	176	104	41	468	10,618	2,033	1,589	4,360	
Bahamas	2,563	8,827	1,188	1,361	1,737	1,544	65,272	657	1,629	2,681	554	682	660	
Bahrain	6	7	31	21	72	101	77	62	134	299	609	653	1,057	
Bangladesh	0	0	0	0	177	1,244	4,401	2,422	450	0	28	17	48	
Barbados	190	350	368	777	551	594	347	383	428	799	1,090	913	826	
Belarus	0	88	198	125	104	213	809	162	97	179	238	336	2,359	
Belgium	80,880	71,698	73,526	74,903	77,255	103,129	168,017	199,018	190,138	244,398	264,959	208,432	233,780	
Belize	47	71	8	394	84	58	38	56	94	74	77	107	285	
Benin	0	0	0	29	0	0	39	0	0	9	0	135	527	
Bermuda	0	26	0	0	0	0	59	0	0	0	0	0	45	
Bhutan	3	0	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	5,454	4,919	5,326	7,115	7,991	9,290	12,957	22,982	10,670	13,676	22,523	22,157	23,470	
Bosnia and Herzegovina	0	2	3	16	0	0	0	0	0	0	31	68	82	
Botswana	6	0	0	2	4	0	0	0	0	0	0	0	0	
