List of importing markets for a product exported by Ecuador (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	6,252,665	6,286,932	7,423,252	9,873,947	12,430,331	14,774,154	15,760,815	22,384,880	15,991,674	19,242,673	23,967,178	26,927,859	26,416,803	
Albania	4,632	3,933	7,205	6,825	7,875	9,673	16,385	14,798	11,698	12,405	12,876	11,842	15,660	
Algeria	11,934	59,891	68,980	83,557	55,669	43,233	59,954	89,762	86,514	101,487	170,195	167,981	176,343	
Andorra	56	20	2	11										
Antigua and Barbuda					24		85		205	163	126	122	98	
Argentina	116,744	23,339	39,590	54,526	62,552	71,504	110,007	138,579	137,406	163,413	209,751	238,524	271,072	
Armenia	0	706	0	1	317	3,694	10,076	10,506	11,026	11,403	16,424	15,348	8,291	
Aruba					303				0	0	0	0		
Australia	1,661	1,706	3,047	4,332	4,643	9,448	12,894	12,489	12,240	16,801	18,133	19,944	19,497	
Austria	36,735	32,762	47,377	46,917	55,730	67,851	51,154	68,918	4,526	4,577	3,389	3,143	1,990	
Azerbaijan	826	144	468	1,277	2,339	3,143	3,794	5,209	6,829	17,554	24,201	16,460		
Bahamas	2,347	31	71	46	134	67	117	219	322	168	220	296		
Bahrain	94	158	135	198	250	160	210	723	442	657	859			
Bangladesh	0	6,398	1,394	18,049	3,552	9,001	13,932							
Barbados	596	533	436	604	758	1,170	831	823	682	798	788	532	929	
Belarus	4,581	5,186	6,355	2,970	7,196	12,743	15,926	32,779	25,402	26,550	26,283	10,791	19,479	
Belgium	112,035	110,398	156,156	230,111	252,773	305,366	437,863	455,118	406,670	409,606	496,922	417,628	390,935	
Belize	302	460	616	263	331	292	374	0	129	146	0	20	10	
Benin	1	0	13	10	0	0	0	0	0	0	0	7	42	
Bermuda												9	1	
Bolivia	6,033	6,542	7,505	9,659	12,243	9,751	13,393	20,825	18,414	16,860	27,325	33,546		
Bosnia and Herzegovina			17,624	14,438	17,762	17,576	19,485	22,373	19,243	19,838	17,068	17,703	18,468	
Botswana	0	2	0	3	5	0	28	147	21	0	1	0	0	
Brazil	17,566	14,907	18,893	82,781	91,707	30,393	30,279	42,580	41,429	56,705	95,148	133,027	140,856	
Brunei Darussalam	0	21	55	48		15				153	0	3	1	
Bulgaria	3,915	5,297	9,733	9,494	12,985	12,172	27,288	32,209	10,021	9,057	5,424	11,856	10,401	
Burkina Faso	0	0	0	0	83		0	1	1	30	4	90		
Burundi	0	0	0	0	0	6	0	0	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	39	0		0	0	0	0	154	
Cambodia	5	1	0	0	0	5	9	0	15	57	3	1		
Cameroon	23	192	371	66	95	62	173	312	137	384	332	185		
Canada	86,605	102,132	100,914	96,506	94,483	115,244	204,009	166,811	205,637	208,397	226,989	261,950	285,498	
Central African Republic	0	0	0			0	0	0	0	0	1	0	0	
Chile	123,272	92,451	80,324	139,152	271,554	607,723	758,500	1,597,728	938,438	799,443	1,298,165	2,154,893	2,514,879	
China	28,097	13,570	39,725	92,217	42,718	87,202	141,191	849,022	763,157	507,159	579,890	938,410	775,565	
Colombia	318,226	367,199	409,667	380,083	529,001	696,929	732,792	809,616	694,567	834,936	1,065,846	1,068,475	881,687	
Comoros	0	0	0	0	0	0	0	20	0					
Congo							113	3	173	189	0	34	107	
Costa Rica	5,920	8,274	6,831	7,633	23,587	14,766	14,614	14,007	13,655	16,707	20,289	26,830	33,772	
Côte d'Ivoire	5	4	7	53	5	365	411	269	50	62	173	3,342		
Croatia	13,823	13,372	15,916	17,622	19,193	19,871	26,666	37,650	35,414	35,210	36,979	35,615	14,986	
Cuba	12,053	8,350	8,227	10,970	14,208	9,495								
Cyprus	114	163	249	95	27	184	363	1,001	909	273	984	1,576	1,959	
Czech Republic	16,902	13,165	18,481	21,024	47,189	31,752	26,189	32,596	23,701	27,897	41,509	48,539	52,679	
Denmark	2,101	2,040	2,527	6,760	18,942	17,973	25,024	31,540	22,374	18,590	19,043	18,187	25,747	
Dominica	77	12	72	35	2	5	0	42	44	192	125	217		
Dominican Republic	12,092	8,690	6,764	15,534	37,025	39,778	37,752	44,776	53,269	41,143	37,973	53,308	72,569	
Ecuador	0	0	0	0	0	0	0	0	0	0	0	0	441	
Egypt	1,966	1,036	605	1,146	1,349	4,112	5,171	6,311	1,632	3,430	15,597	39,443	23,651	
El Salvador	127,409	152,485	168,259	94,722	108,716	152,446	275,857	327,092	223,239	254,140	255,786	187,464	76,427	
Estonia	2,904	2,546	3,308	6,395	4,980	8,478	7,255	4,930	1,710	2,178	964	2,567	3,516	
Ethiopia	761	233	896	5,284	1,029	438	4,206	6,193	2,871	1,124	603	1,599		
Faroe Islands	97	176	32	18	7	14	20	58	203					
Fiji		58	84	28	253	148	133	0	0	0	0	134		
Finland	6,130	7,279	7,162	8,140	9,554	14,762	21,091	20,921	1,336	2,444	3,474	4,177	5,675	
France	71,250	82,690	100,962	126,140	173,016	187,236	245,417	318,766	280,452	309,036	384,381	363,752	434,688	
French Polynesia	0	0	0	33	84	183	161	126	160	156	187	247	40	
Gabon	2	0	26	0	64	0	62	0	0					
Georgia	557	834	1,517	1,512	2,237	1,806	2,579	4,242	6,620	13,152	16,662	16,054	14,907	
Germany	274,661	323,902	403,910	453,173	537,430	473,810	518,003	665,362	558,857	519,883	700,541	664,222	647,834	
Ghana	1		66		241	37	80	79	1,655	1,626	3,372	332		
Greece	13,659	28,213	22,187	28,801	40,869	28,467	31,242	41,306	46,011	58,719	91,019	77,719	74,722	
Greenland	0	0	71	0	0	197	0	4	4	13	33	3	0	
Grenada	44	42	50	3	86	1	2	17						
Guatemala	36,380	57,632	8,672	10,024	92,562	146,083	190,147	124,122	206,817	178,339	184,022	220,178	134,743	
Guinea	0	14		0	1	0	21	0		1	0	0		
Guyana	105	122	1	75	279	177	124	47	242	844	611	218	263	
Honduras	1,385	9,092	11,275	8,745	99,991	74,119	66,549	238,912	125,269	93,691	239,658	227,590	144,740	
Hong Kong, China	7,856	6,723	7,584	11,022	12,725	24,756	21,966	15,897	13,505	16,792	27,186	17,221		
Hungary	5,750	11,993	14,435	2,173	4,372	726	567	929	92	1,069	8	340	4,908	
Iceland	596	534	393	453	773	624	1,134	1,030	536	784	1,380	1,067	3,428	
India	3,721	3,441	3,981	21,304	18,872	38,400	193,170	53,322	67,445	166,544	55,638	764,572	373,233	
Indonesia	3,484	1,093	959	1,987	3,298	3,451	4,901	5,790	3,698	2,494	6,479	6,830	13,119	
Iran (Islamic Republic of)	8	1,008	4,042	3,605	5,325	0				12,796	3,040			
Ireland	698	637	622	1,346	2,086	2,192	2,454	2,093	1,922	2,231	2,736	4,257	4,397	
Israel	6,183	3,652	3,885	5,704	7,116	2,968	3,515	4,571	3,691	4,061	8,469	4,063	5,587	
Italy	200,958	274,185	284,155	295,912	389,169	394,008	414,959	511,211	491,555	470,459	563,150	436,217	488,831	
Jamaica	8,823	55,063	89,613	53,950	30,580	3,404	3,541	3,907	5,171	2,942	2,154	2,313		
Japan	227,000	182,306	173,441	169,697	137,599	181,161	205,269	195,416	165,137	291,484	559,467	1,204,460	1,092,425	
Jordan	1,078	510	474	1,201		446	2,211	531	594	1,064	1,487	2,851	2,910	
Kazakhstan	1,178	1,793	3,999	7,203	9,746	13,390	22,641	30,627	31,941	32,273	27,296	30,121	38,871	
