List of importing markets for a product exported by El Salvador (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	3,068,052	3,074,700	3,259,703	3,293,566	3,416,133	3,196,410	4,044,351	4,650,652	3,799,172	4,534,213	5,549,667	5,268,775	5,124,591	
Albania	0	0	0	24	25	0	0	0	0	0	0	0	6	
Algeria	39	363	218	155	317	425	87	860	291	345	419	823	691	
Andorra	16	13	27	13										
Antigua and Barbuda					18		50		41	12	33	79	204	
Argentina	274	58	60	41	129	51	133	370	256	300	581	315	605	
Armenia	0	0	0	0	4	33	153	103	120	136	213	29	60	
Aruba					428				0	0	0	0		
Australia	313	1,001	684	606	1,229	2,434	2,100	2,100	3,321	3,688	6,068	8,804	8,900	
Austria	4,708	3,398	3,109	3,458	3,364	2,634	4,616	4,484	1,087	999	1,013	384	431	
Azerbaijan	0	0	17	137	240	350	708	47	0	12,584	0	0		
Bahamas	0	9	12	0	0	0	0	0	0	0	0	62		
Bahrain	0	2	3	0	2	0	0	9	1	6	4			
Bangladesh	0	15	22	1	149	0	115							
Barbados	238	2,143	1,186	545	378	545	467	2,228	720	421	451	328	393	
Belarus	22,100	0	1,913	268	1,156	5	26	43	16	21	8,911	35	28	
Belgium	4,015	6,211	7,649	6,279	13,797	10,168	12,175	13,153	16,287	18,818	20,556	12,266	10,574	
Belize	6,142	5,444	5,725	7,632	8,620	11,605	9,511	14,061	12,815	10,221	8,951	10,093	11,369	
Benin	54	0	0	0	0	0	3	5	14	0	0	2	14	
Bermuda												10	15	
Bolivia	68	48	107	322	146	79	109	266	321	1,100	582	801		
Bosnia and Herzegovina			14	11	11	38	72	10	49	2	27	22	3	
Botswana	0	0	0	0	0	0	0	0	0	0	0	0	0	
